blockname,0
IP变现,"['000673', '000793', '000802', '000892', '002174', '002175', '002235', '002292', '002343', '002354', '002425', '002502', '002555', '002571', '002624', '002699', '002712', '002717', '002739', '300027', '300043', '300051', '300081', '300133', '300144', '300251', '300299', '300315', '300336', '300364', '300418', '300426', '300459', '301052', '600229', '600551', '600576', '600593', '600637', '600640', '600652', '600715', '600880', '601098', '601599', '601949', '603533']"
MCU芯片,"['000333', '000559', '000651', '002180', '002405', '002448', '300077', '300183', '300184', '300223', '300287', '300327', '300386', '300455', '300458', '300474', '300671', '300681', '600060', '600171', '600460', '603068', '603160', '603421', '603893', '603986', '688018', '688385', '688396', '688595']"
MSCIA50,"['000001', '000002', '000333', '000568', '000725', '000858', '002027', '002142', '002304', '002352', '002475', '002594', '002714', '002812', '300015', '300059', '300122', '300750', '300760', '600000', '600028', '600030', '600031', '600036', '600048', '600050', '600276', '600309', '600436', '600519', '600585', '600809', '600887', '600900', '601012', '601088', '601166', '601288', '601318', '601328', '601398', '601601', '601668', '601888', '601899', '601919', '601985', '603259', '603288', '603501']"
MSCI中盘,"['000009', '000021', '000027', '000066', '000301', '000401', '000402', '000415', '000423', '000513', '000540', '000547', '000581', '000596', '000598', '000623', '000629', '000630', '000671', '000686', '000729', '000738', '000750', '000786', '000807', '000825', '000830', '000860', '000932', '000961', '000975', '000977', '000983', '000997', '000998', '002001', '002013', '002019', '002030', '002049', '002050', '002064', '002065', '002074', '002078', '002081', '002085', '002110', '002127', '002129', '002138', '002152', '002157', '002174', '002179', '002195', '002217', '002223', '002252', '002266', '002268', '002271', '002294', '002299', '002340', '002353', '002368', '002371', '002372', '002373', '002385', '002399', '002405', '002409', '002410', '002414', '002430', '002439', '002444', '002463', '002465', '002500', '002506', '002507', '002541', '002572', '002601', '002603', '002648', '002690', '002727', '002797', '002812', '002821', '002920', '002925', '002938', '002958', '300012', '300014', '300070', '300136', '300146', '300207', '300251', '300253', '300285', '300296', '300308', '300357', '300383', '300418', '300496', '300529', '300558', '300595', '300628', '300661', '300676', '300699', '300751', '300759', '600004', '600021', '600026', '600038', '600039', '600050', '600056', '600062', '600089', '600132', '600150', '600153', '600160', '600161', '600176', '600201', '600219', '600256', '600258', '600260', '600298', '600315', '600372', '600373', '600376', '600380', '600392', '600415', '600426', '600446', '600460', '600466', '600486', '600498', '600511', '600521', '600522', '600536', '600549', '600572', '600598', '600655', '600675', '600699', '600704', '600733', '600739', '600754', '600763', '600779', '600801', '600803', '600808', '600820', '600827', '600845', '600863', '600872', '600879', '600885', '600895', '600909', '600918', '600989', '601058', '601098', '601099', '601100', '601128', '601162', '601231', '601233', '601598', '601615', '601636', '601696', '601699', '601799', '601865', '601866', '601872', '601878', '601958', '601990', '603019', '603127', '603218', '603267', '603290', '603338', '603369', '603392', '603444', '603456', '603517', '603589', '603605', '603613', '603658', '603659', '603707', '603712', '603858', '603866', '603882', '603883', '603885', '603899', '603986', '688002', '688006', '688008', '688009', '688111', '688126', '688169', '688185']"
MSCI成份,"['000001', '000002', '000050', '000063', '000069', '000100', '000157', '000166', '000338', '000413', '000425', '000538', '000568', '000625', '000627', '000651', '000656', '000661', '000703', '000709', '000723', '000725', '000728', '000733', '000739', '000768', '000776', '000783', '000799', '000858', '000876', '000883', '000895', '000938', '000951', '000963', '000987', '000988', '001914', '001979', '002007', '002010', '002024', '002027', '002032', '002044', '002075', '002120', '002131', '002142', '002146', '002153', '002156', '002180', '002185', '002202', '002212', '002230', '002236', '002241', '002242', '002250', '002304', '002311', '002352', '002382', '002384', '002389', '002396', '002415', '002422', '002456', '002459', '002460', '002466', '002475', '002493', '002497', '002508', '002511', '002555', '002557', '002558', '002563', '002594', '002600', '002602', '002607', '002624', '002625', '002673', '002683', '002705', '002709', '002714', '002736', '002739', '002747', '002831', '002841', '002916', '002926', '002939', '002966', '300003', '300015', '300033', '300037', '300059', '300085', '300088', '300122', '300124', '300142', '300144', '300168', '300212', '300298', '300316', '300347', '300408', '300413', '300433', '300450', '300454', '300459', '300482', '300498', '300601', '300726', '300750', '300760', '300773', '300782', '300841', '300896', '300999', '600000', '600009', '600010', '600011', '600015', '600016', '600018', '600019', '600027', '600028', '600029', '600030', '600031', '600036', '600048', '600061', '600066', '600068', '600085', '600104', '600109', '600111', '600115', '600118', '600170', '600177', '600183', '600188', '600196', '600208', '600211', '600221', '600233', '600271', '600276', '600305', '600309', '600316', '600332', '600340', '600346', '600352', '600362', '600369', '600383', '600406', '600436', '600438', '600487', '600489', '600516', '600519', '600547', '600559', '600562', '600570', '600583', '600585', '600588', '600600', '600606', '600637', '600642', '600660', '600674', '600685', '600688', '600690', '600703', '600705', '600741', '600760', '600795', '600809', '600837', '600848', '600867', '600875', '600886', '600887', '600893', '600900', '600919', '600926', '600958', '600977', '600988', '600998', '600999', '601006', '601009', '601012', '601018', '601021', '601066', '601077', '601088', '601108', '601111', '601117', '601138', '601155', '601166', '601169', '601186', '601198', '601211', '601216', '601225', '601229', '601288', '601318', '601328', '601336', '601360', '601377', '601390', '601398', '601456', '601555', '601600', '601601', '601607', '601618', '601628', '601633', '601658', '601668', '601669', '601688', '601689', '601766', '601788', '601800', '601816', '601818', '601838', '601857', '601877', '601881', '601888', '601899', '601901', '601919', '601933', '601939', '601966', '601985', '601988', '601989', '601992', '601995', '603027', '603129', '603160', '603185', '603233', '603259', '603288', '603486', '603501', '603638', '603678', '603799', '603806', '603833', '603927', '603939', '603993', '688012', '688029', '688036', '688088', '688099', '688188']"
MiniLED,"['000016', '000050', '000100', '000701', '000725', '000727', '000810', '002005', '002008', '002217', '002245', '002384', '002389', '002429', '002449', '002579', '002587', '002635', '002654', '002745', '002845', '002913', '002938', '002983', '002992', '300076', '300097', '300102', '300162', '300201', '300219', '300223', '300232', '300241', '300269', '300296', '300303', '300323', '300389', '300545', '300566', '300567', '300632', '300650', '300671', '300708', '300752', '300802', '300812', '600060', '600703', '603773', '605218', '688012', '688055', '688328', '688383', '688699']"
NMN概念,"['000525', '000639', '002038', '002277', '002317', '002562', '002626', '002728', '300199', '300221', '300254', '300261', '300267', '600062', '600298', '600496', '603139', '603299']"
OLED概念,"['000012', '000045', '000050', '000100', '000413', '000536', '000725', '000727', '000810', '000960', '000973', '000990', '002008', '002036', '002055', '002149', '002217', '002326', '002341', '002371', '002384', '002387', '002409', '002426', '002455', '002456', '002547', '002559', '002579', '002585', '002600', '002618', '002635', '002643', '002660', '002845', '002870', '002876', '002885', '002952', '003015', '300032', '300037', '300054', '300057', '300076', '300088', '300097', '300120', '300128', '300131', '300134', '300155', '300184', '300200', '300221', '300223', '300256', '300260', '300263', '300296', '300305', '300306', '300317', '300327', '300331', '300346', '300395', '300398', '300400', '300410', '300429', '300433', '300457', '300476', '300481', '300512', '300537', '300545', '300566', '300576', '300604', '300632', '300655', '300657', '300661', '300666', '300667', '300686', '300706', '300721', '300751', '300812', '300940', '301013', '600064', '600135', '600206', '600330', '600355', '600363', '600458', '600460', '600510', '600552', '600641', '600666', '600667', '600707', '600836', '600839', '600961', '601208', '601958', '603010', '603078', '603203', '603212', '603228', '603629', '603773', '603920', '603929', '603931', '603985', '603996', '605218', '605588', '688001', '688019', '688028', '688093', '688138', '688181', '688328', '688378', '688538', '688550', '688630', '688669', '688689']"
PPP模式,"['000008', '000010', '000016', '000027', '000040', '000068', '000090', '000157', '000413', '000544', '000598', '000605', '000628', '000633', '000652', '000711', '000753', '000826', '000885', '000900', '000925', '000961', '000967', '002002', '002034', '002051', '002060', '002062', '002081', '002135', '002140', '002200', '002205', '002236', '002298', '002307', '002310', '002340', '002353', '002374', '002383', '002411', '002421', '002431', '002480', '002524', '002532', '002542', '002551', '002586', '002587', '002596', '002628', '002630', '002663', '002672', '002674', '002717', '002743', '002775', '002822', '002887', '002973', '003013', '300002', '300010', '300020', '300021', '300023', '300030', '300044', '300055', '300056', '300067', '300070', '300075', '300098', '300137', '300139', '300145', '300152', '300165', '300167', '300172', '300187', '300190', '300197', '300198', '300203', '300205', '300210', '300212', '300213', '300237', '300262', '300263', '300266', '300273', '300275', '300284', '300296', '300332', '300334', '300355', '300374', '300388', '300422', '300495', '300517', '300603', '300692', '300746', '300815', '600008', '600072', '600100', '600126', '600170', '600187', '600292', '600320', '600323', '600326', '600340', '600461', '600475', '600491', '600499', '600502', '600510', '600512', '600515', '600548', '600562', '600568', '600602', '600610', '600618', '600651', '600654', '600704', '600728', '600797', '600820', '600831', '600853', '600874', '600939', '600963', '601068', '601117', '601186', '601200', '601390', '601789', '603007', '603081', '603316', '603388', '603568', '603588', '603603', '603616', '603636', '603686', '603717', '603778', '603797', '603815', '603817', '603828', '603843', '603903', '603955']"
QFII新进,"['000068', '000078', '000099', '000151', '000159', '000301', '000404', '000407', '000413', '000417', '000421', '000425', '000510', '000531', '000533', '000552', '000593', '000605', '000622', '000623', '000626', '000637', '000666', '000677', '000680', '000709', '000716', '000717', '000757', '000778', '000795', '000816', '000819', '000833', '000838', '000848', '000850', '000852', '000856', '000880', '000882', '000888', '000889', '000905', '000911', '000930', '000963', '000966', '000978', '000985', '001208', '002003', '002069', '002087', '002110', '002114', '002118', '002138', '002144', '002155', '002160', '002165', '002171', '002178', '002205', '002209', '002241', '002242', '002248', '002256', '002263', '002272', '002284', '002295', '002305', '002328', '002337', '002370', '002379', '002390', '002391', '002411', '002419', '002433', '002443', '002448', '002463', '002469', '002476', '002491', '002511', '002514', '002527', '002533', '002584', '002585', '002630', '002633', '002641', '002658', '002663', '002682', '002687', '002690', '002691', '002733', '002743', '002752', '002763', '002774', '002809', '002842', '002871', '002886', '002893', '002929', '002930', '002953', '002955', '002960', '003000', '003043', '300004', '300007', '300021', '300040', '300057', '300062', '300092', '300105', '300106', '300117', '300153', '300154', '300163', '300164', '300165', '300173', '300195', '300210', '300237', '300256', '300260', '300262', '300288', '300295', '300311', '300323', '300329', '300335', '300381', '300383', '300402', '300411', '300421', '300425', '300446', '300472', '300501', '300510', '300513', '300581', '300588', '300641', '300647', '300660', '300664', '300668', '300705', '300713', '300727', '300746', '300752', '300775', '300780', '300793', '300811', '300821', '300827', '300828', '300839', '300852', '300854', '300858', '300922', '300927', '300930', '300933', '300943', '300946', '300957', '300967', '300970', '300973', '300986', '300995', '300997', '301012', '301018', '301025', '301027', '301028', '301029', '301032', '301036', '301038', '301040', '301049', '600008', '600022', '600076', '600105', '600117', '600121', '600125', '600168', '600169', '600186', '600187', '600192', '600218', '600259', '600268', '600269', '600308', '600331', '600366', '600367', '600399', '600403', '600408', '600463', '600467', '600475', '600493', '600500', '600512', '600531', '600533', '600560', '600561', '600575', '600594', '600613', '600618', '600653', '600665', '600678', '600696', '600702', '600744', '600749', '600753', '600773', '600817', '600829', '600839', '600853', '600887', '600901', '600961', '600968', '600971', '600982', '600995', '601002', '601008', '601020', '601199', '601226', '601388', '601515', '601566', '601798', '601827', '601969', '603009', '603015', '603093', '603126', '603171', '603200', '603279', '603299', '603309', '603329', '603332', '603348', '603399', '603601', '603603', '603616', '603619', '603628', '603650', '603676', '603706', '603726', '603757', '603817', '603833', '603855', '603861', '603908', '603937', '603939', '603969', '603992', '605011', '605020', '605028', '605117', '605158', '605162', '605180', '605199', '605277', '605337', '605338', '605339', '605580', '688003', '688063', '688078', '688083', '688092', '688122', '688129', '688161', '688177', '688198', '688208', '688233', '688303', '688305', '688355', '688367', '688396', '688499', '688517', '688528', '688529', '688555', '688558', '688560', '688601', '688660', '688669', '688678', '688681', '688685', '688718', '688768', '688777', '688788', '688789', '688800', '688981']"
