blockname,0
分散染料,"['002010', '002099', '002440', '002513', '002748', '300067', '300107', '300586', '300758', '300798', '600200', '600352', '603188', '603790', '603823', '603980', '605566']"
创业300,"['300001', '300002', '300003', '300006', '300008', '300009', '300010', '300012', '300014', '300015', '300017', '300020', '300024', '300026', '300031', '300033', '300034', '300036', '300037', '300045', '300053', '300054', '300055', '300058', '300059', '300066', '300068', '300070', '300072', '300073', '300075', '300078', '300079', '300080', '300082', '300085', '300087', '300088', '300091', '300101', '300110', '300113', '300114', '300115', '300118', '300119', '300122', '300123', '300124', '300127', '300130', '300131', '300132', '300133', '300134', '300136', '300138', '300142', '300143', '300144', '300145', '300146', '300147', '300149', '300151', '300158', '300166', '300170', '300171', '300177', '300180', '300182', '300183', '300184', '300185', '300188', '300190', '300191', '300194', '300203', '300206', '300207', '300212', '300215', '300219', '300222', '300223', '300224', '300225', '300226', '300229', '300232', '300233', '300236', '300238', '300244', '300251', '300253', '300255', '300257', '300263', '300266', '300267', '300271', '300274', '300276', '300284', '300285', '300287', '300294', '300296', '300297', '300298', '300303', '300308', '300315', '300316', '300318', '300319', '300322', '300324', '300326', '300327', '300328', '300339', '300342', '300346', '300347', '300348', '300349', '300352', '300355', '300357', '300365', '300369', '300373', '300376', '300377', '300379', '300383', '300386', '300388', '300390', '300393', '300394', '300395', '300397', '300398', '300401', '300406', '300408', '300409', '300413', '300418', '300423', '300427', '300428', '300429', '300432', '300433', '300438', '300441', '300443', '300448', '300450', '300451', '300454', '300455', '300456', '300457', '300458', '300459', '300463', '300468', '300470', '300474', '300476', '300482', '300485', '300487', '300496', '300497', '300498', '300502', '300516', '300523', '300525', '300527', '300529', '300531', '300548', '300552', '300558', '300559', '300567', '300568', '300572', '300573', '300576', '300579', '300590', '300595', '300596', '300598', '300601', '300602', '300604', '300607', '300613', '300616', '300618', '300623', '300624', '300627', '300628', '300630', '300633', '300634', '300638', '300639', '300653', '300657', '300659', '300661', '300662', '300663', '300664', '300666', '300672', '300673', '300674', '300676', '300677', '300679', '300682', '300684', '300685', '300696', '300699', '300702', '300709', '300715', '300722', '300723', '300724', '300725', '300726', '300735', '300737', '300738', '300739', '300740', '300741', '300747', '300748', '300750', '300751', '300755', '300759', '300760', '300761', '300762', '300763', '300765', '300766', '300767', '300768', '300770', '300773', '300775', '300776', '300777', '300782', '300783', '300785', '300788', '300791', '300792', '300799', '300803', '300805', '300815', '300821', '300829', '300832', '300841', '300846', '300850', '300855', '300860', '300861', '300866', '300867', '300869', '300872', '300888', '300891', '300896', '300900', '300999']"
创业创新,"['300003', '300007', '300009', '300012', '300014', '300026', '300030', '300033', '300037', '300059', '300114', '300115', '300119', '300124', '300130', '300136', '300142', '300161', '300171', '300177', '300188', '300203', '300206', '300207', '300212', '300229', '300253', '300259', '300271', '300274', '300285', '300286', '300298', '300308', '300316', '300327', '300347', '300348', '300358', '300369', '300379', '300396', '300397', '300408', '300416', '300433', '300450', '300454', '300458', '300463', '300474', '300482', '300496', '300503', '300520', '300523', '300525', '300529', '300552', '300558', '300562', '300567', '300579', '300593', '300601', '300602', '300604', '300607', '300608', '300624', '300627', '300628', '300630', '300638', '300639', '300648', '300659', '300661', '300672', '300674', '300676', '300682', '300685', '300687', '300702', '300709', '300725', '300732', '300737', '300747', '300750', '300751', '300760', '300766', '300768', '300773', '300785', '300832', '300866', '300869']"
创业大盘,"['300001', '300003', '300012', '300014', '300015', '300033', '300037', '300059', '300122', '300124', '300136', '300142', '300146', '300207', '300223', '300251', '300253', '300274', '300285', '300308', '300316', '300347', '300357', '300408', '300413', '300433', '300450', '300454', '300482', '300496', '300529', '300558', '300595', '300601', '300628', '300661', '300676', '300677', '300699', '300724', '300750', '300751', '300759', '300760', '300782', '300832', '300866', '300869', '300888', '300896']"
创业板50,"['300001', '300003', '300009', '300014', '300015', '300017', '300033', '300037', '300058', '300059', '300070', '300073', '300088', '300115', '300122', '300124', '300136', '300142', '300146', '300207', '300223', '300251', '300253', '300274', '300296', '300315', '300316', '300347', '300383', '300408', '300413', '300418', '300433', '300450', '300496', '300558', '300567', '300595', '300601', '300618', '300661', '300676', '300677', '300748', '300750', '300759', '300760', '300773', '300782', '300896']"
创业板指,"['300001', '300003', '300009', '300012', '300014', '300015', '300017', '300024', '300026', '300033', '300037', '300058', '300059', '300070', '300072', '300073', '300088', '300115', '300122', '300124', '300136', '300142', '300144', '300146', '300188', '300207', '300212', '300223', '300244', '300251', '300253', '300271', '300274', '300285', '300294', '300296', '300298', '300308', '300315', '300316', '300347', '300357', '300369', '300383', '300408', '300413', '300418', '300433', '300450', '300451', '300454', '300456', '300457', '300463', '300474', '300476', '300482', '300496', '300498', '300502', '300529', '300558', '300567', '300595', '300601', '300616', '300618', '300628', '300630', '300661', '300674', '300676', '300677', '300682', '300699', '300724', '300725', '300726', '300741', '300747', '300748', '300750', '300751', '300759', '300760', '300761', '300763', '300768', '300770', '300773', '300775', '300782', '300783', '300832', '300841', '300866', '300869', '300888', '300896', '300999']"
创业蓝筹,"['300003', '300009', '300012', '300015', '300033', '300036', '300079', '300088', '300113', '300122', '300124', '300137', '300142', '300144', '300146', '300188', '300226', '300244', '300251', '300271', '300284', '300285', '300296', '300298', '300315', '300327', '300349', '300357', '300369', '300408', '300418', '300450', '300454', '300458', '300470', '300482', '300496', '300498', '300529', '300572', '300601', '300616', '300659', '300685', '300699', '300741', '300747', '300750', '300760', '300832']"
创医药,"['300003', '300006', '300009', '300015', '300016', '300026', '300110', '300119', '300122', '300142', '300143', '300147', '300158', '300194', '300206', '300233', '300238', '300244', '300273', '300294', '300298', '300318', '300326', '300347', '300357', '300406', '300463', '300482', '300497', '300529', '300558', '300562', '300573', '300595', '300601', '300630', '300633', '300639', '300653', '300676', '300677', '300685', '300702', '300725', '300759', '300760', '300832', '300841', '300869', '300896']"
创成长,"['300003', '300009', '300012', '300014', '300015', '300024', '300036', '300037', '300059', '300073', '300088', '300098', '300107', '300122', '300124', '300132', '300133', '300136', '300142', '300144', '300146', '300149', '300166', '300170', '300207', '300226', '300253', '300271', '300285', '300294', '300347', '300357', '300365', '300377', '300383', '300408', '300413', '300450', '300451', '300470', '300476', '300498', '300523', '300529', '300595', '300601', '300628', '300630', '300750', '300760']"
创投概念,"['000009', '000010', '000027', '000039', '000061', '000157', '000158', '000159', '000301', '000521', '000532', '000564', '000566', '000606', '000607', '000609', '000610', '000617', '000627', '000628', '000632', '000670', '000671', '000681', '000709', '000711', '000753', '000793', '000806', '000812', '000826', '000851', '000881', '000883', '000887', '000913', '000917', '000931', '000935', '000938', '000948', '000955', '000966', '000969', '000988', '000997', '002001', '002008', '002030', '002038', '002054', '002076', '002079', '002090', '002107', '002122', '002125', '002146', '002148', '002152', '002154', '002174', '002187', '002195', '002243', '002245', '002261', '002288', '002292', '002301', '002326', '002367', '002383', '002407', '002425', '002451', '002453', '002492', '002504', '002510', '002524', '002534', '002546', '002558', '002573', '002584', '002591', '002602', '002613', '002619', '002638', '002647', '002658', '002663', '002666', '002708', '002715', '002721', '002731', '002735', '002740', '002825', '002958', '300008', '300020', '300038', '300043', '300051', '300070', '300086', '300119', '300240', '300243', '300251', '300288', '300295', '300311', '300340', '300359', '300380', '300418', '300438', '300448', '300451', '300456', '300477', '300494', '300512', '300543', '300617', '300674', '300685', '300688', '300695', '300731', '600021', '600053', '600064', '600079', '600082', '600100', '600105', '600120', '600133', '600143', '600145', '600177', '600198', '600202', '600210', '600213', '600227', '600235', '600266', '600283', '600284', '600290', '600300', '600310', '600321', '600336', '600352', '600355', '600366', '600373', '600387', '600400', '600410', '600461', '600490', '600493', '600530', '600536', '600590', '600596', '600604', '600621', '600624', '600630', '600633', '600635', '600639', '600641', '600645', '600648', '600649', '600658', '600663', '600679', '600683', '600689', '600718', '600728', '600734', '600736', '600744', '600755', '600770', '600776', '600781', '600783', '600823', '600824', '600825', '600831', '600839', '600862', '600870', '600880', '600884', '600892', '600895', '600981', '601107', '601212', '601311', '601333', '601828', '601900', '601929', '601999', '603000', '603017', '603019', '603039', '603366', '603367', '603389', '603499', '603590', '603596', '603708', '603725', '603823', '603888']"
创新100,"['000063', '000157', '000513', '000547', '000625', '000661', '000733', '002001', '002008', '002013', '002028', '002030', '002049', '002074', '002129', '002152', '002153', '002179', '002180', '002212', '002230', '002236', '002250', '002371', '002382', '002396', '002405', '002410', '002414', '002415', '002439', '002465', '002555', '002558', '002583', '002594', '002602', '002624', '002643', '002690', '002706', '002920', '002975', '300002', '300003', '300014', '300037', '300124', '300142', '300171', '300188', '300212', '300315', '300316', '300369', '300408', '300418', '300450', '300454', '300496', '300607', '300628', '300676', '300682', '300699', '300726', '300750', '300760', '300782', '300861', '300866', '600031', '600196', '600276', '600372', '600380', '600406', '600521', '600570', '600582', '600588', '600633', '601360', '601698', '601766', '603039', '603087', '603160', '603392', '603444', '603501', '603712', '603786', '603986', '688002', '688006', '688008', '688111', '688208', '688363']"
创科技,"['300003', '300009', '300014', '300017', '300033', '300115', '300118', '300122', '300124', '300136', '300142', '300166', '300188', '300206', '300207', '300223', '300229', '300253', '300271', '300274', '300298', '300308', '300315', '300339', '300346', '300369', '300377', '300408', '300433', '300451', '300454', '300458', '300482', '300496', '300525', '300601', '300624', '300628', '300633', '300638', '300661', '300672', '300674', '300676', '300679', '300682', '300750', '300760', '300782', '300866']"
创质量,"['300009', '300012', '300014', '300030', '300031', '300034', '300037', '300046', '300073', '300101', '300119', '300121', '300122', '300124', '300132', '300136', '300142', '300144', '300188', '300206', '300223', '300244', '300251', '300253', '300260', '300274', '300285', '300308', '300316', '300327', '300346', '300347', '300350', '300357', '300379', '300383', '300390', '300394', '300398', '300406', '300415', '300416', '300443', '300450', '300451', '300460', '300464', '300470', '300494', '300496', '300502', '300548', '300558', '300567', '300568', '300578', '300587', '300590', '300593', '300595', '300596', '300604', '300607', '300617', '300618', '300628', '300630', '300638', '300639', '300643', '300661', '300662', '300671', '300673', '300676', '300677', '300680', '300686', '300690', '300696', '300699', '300715', '300724', '300726', '300729', '300737', '300738', '300740', '300747', '300751', '300755', '300763', '300770', '300772', '300782', '300792', '300799', '300809', '300850', '300896']"
券商重仓,"['000001', '000009', '000155', '000157', '000623', '000683', '000723', '000762', '000858', '000951', '002015', '002027', '002036', '002176', '002191', '002192', '002199', '002203', '002214', '002219', '002223', '002236', '002252', '002271', '002335', '002387', '002407', '002415', '002422', '002424', '002437', '002439', '002465', '002506', '002518', '002531', '002624', '002665', '002673', '002690', '002698', '002701', '002705', '002791', '300142', '300152', '300226', '300232', '300233', '300244', '300312', '300324', '300379', '300432', '300474', '300573', '300676', '300737', '300767', '300769', '300887', '300888', '300896', '300919', '600009', '600028', '600039', '600096', '600157', '600305', '600390', '600399', '600582', '600584', '600585', '600596', '600908', '600919', '601016', '601066', '601117', '601137', '601198', '601258', '601666', '601689', '601799', '601878', '601966', '603185', '603439', '603778', '603816', '603980', '688027', '688266', '688363', '688508', '688518', '688595']"
北上重仓,"['000001', '000002', '000333', '000338', '000538', '000568', '000651', '000725', '000858', '002008', '002027', '002049', '002050', '002142', '002230', '002241', '002271', '002304', '002352', '002353', '002371', '002410', '002460', '002475', '002557', '002594', '002709', '002714', '002747', '002812', '002821', '300012', '300014', '300015', '300059', '300122', '300124', '300207', '300274', '300285', '300316', '300347', '300450', '300454', '300496', '300661', '300750', '300751', '300759', '300760', '300782', '600009', '600019', '600030', '600031', '600036', '600048', '600104', '600132', '600176', '600276', '600298', '600309', '600406', '600436', '600438', '600519', '600570', '600585', '600588', '600660', '600690', '600741', '600745', '600809', '600845', '600885', '600887', '601012', '601100', '601138', '601166', '601318', '601398', '601601', '601615', '601668', '601888', '601899', '601901', '603259', '603288', '603501', '603605', '603659', '603737', '603799', '603833', '603882', '603986']"
北交所,"['000609', '000931', '000959', '002148', '002383', '300002', '300309', '300688', '600061', '600100', '600266', '600658', '600683', '600730', '601066', '601198', '601881', '601995', '603888']"
区块链,"['000021', '000034', '000038', '000040', '000061', '000066', '000158', '000488', '000555', '000606', '000607', '000673', '000676', '000681', '000711', '000793', '000851', '000889', '000948', '000961', '002010', '002012', '002024', '002044', '002049', '002063', '002065', '002104', '002117', '002118', '002123', '002131', '002137', '002152', '002153', '002168', '002177', '002191', '002195', '002229', '002235', '002268', '002269', '002276', '002279', '002280', '002296', '002298', '002303', '002316', '002321', '002331', '002352', '002369', '002374', '002386', '002400', '002401', '002405', '002416', '002421', '002447', '002467', '002474', '002488', '002530', '002537', '002575', '002583', '002585', '002587', '002589', '002610', '002642', '002647', '002656', '002657', '002660', '002670', '002699', '002707', '002722', '002740', '002769', '002777', '002797', '002799', '002803', '002808', '002822', '002869', '002929', '002987', '003029', '300002', '300007', '300018', '300020', '300036', '300038', '300044', '300047', '300052', '300059', '300067', '300075', '300077', '300078', '300079', '300085', '300089', '300096', '300099', '300130', '300137', '300148', '300155', '300166', '300168', '300170', '300180', '300188', '300195', '300202', '300205', '300208', '300220', '300223', '300235', '300245', '300248', '300249', '300253', '300271', '300287', '300297', '300300', '300311', '300324', '300339', '300352', '300356', '300377', '300379', '300383', '300386', '300418', '300420', '300427', '300448', '300451', '300459', '300465', '300468', '300469', '300472', '300477', '300478', '300496', '300510', '300520', '300525', '300531', '300532', '300541', '300542', '300550', '300561', '300562', '300579', '300608', '300612', '300634', '300638', '300645', '300663', '300674', '300675', '300676', '300678', '300682', '300688', '300712', '300736', '300773', '300872', '300996', '600050', '600070', '600093', '600146', '600179', '600190', '600208', '600271', '600410', '600446', '600570', '600588', '600590', '600598', '600633', '600718', '600797', '600839', '600986', '601107', '601108', '601222', '601298', '601360', '601598', '601789', '601811', '601880', '603000', '603106', '603232', '603366', '603383', '603390', '603636', '603716', '603825', '603888', '603927', '688010', '688012', '688015', '688051', '688369', '688579', '688590']"
区块链50,"['000001', '000158', '000333', '000555', '000676', '000681', '002010', '002024', '002063', '002065', '002104', '002117', '002118', '002123', '002131', '002152', '002168', '002195', '002235', '002268', '002352', '002400', '002410', '002517', '002530', '002537', '002558', '002610', '002869', '300007', '300033', '300059', '300099', '300113', '300130', '300170', '300212', '300271', '300339', '300352', '300377', '300379', '300386', '300427', '300465', '300468', '300525', '300579', '300663', '300676']"
医废处理,"['000546', '000685', '000826', '000881', '000900', '000928', '002140', '002310', '002483', '002496', '002514', '002672', '002973', '300055', '300140', '300145', '300187', '300197', '300266', '300385', '300422', '300500', '300786', '300815', '300867', '300929', '301049', '600008', '600587', '601330', '603588']"
医美概念,"['000150', '000516', '000560', '000592', '000615', '000650', '000718', '000766', '000790', '000813', '000908', '000917', '000919', '000963', '000989', '000990', '002004', '002019', '002038', '002118', '002162', '002172', '002173', '002222', '002332', '002345', '002435', '002471', '002524', '002538', '002556', '002566', '002612', '002626', '002728', '002762', '002900', '002950', '300015', '300143', '300158', '300227', '300238', '300239', '300255', '300272', '300300', '300632', '300740', '300896', '300957', '301017', '600129', '600137', '600196', '600200', '600223', '600227', '600315', '600321', '600393', '600420', '600439', '600513', '600572', '600594', '600704', '600735', '600738', '600739', '600774', '600814', '600896', '601886', '603222', '603630', '603858', '603880', '603990', '688336', '688363', '688366', '688389', '688505']"
半导体50,"['002049', '002079', '002156', '002185', '002371', '002409', '300053', '300101', '300223', '300236', '300316', '300327', '300373', '300456', '300458', '300474', '300604', '300613', '300623', '300661', '300666', '300672', '300782', '600171', '600206', '600360', '600460', '600584', '600703', '600745', '603005', '603068', '603160', '603290', '603501', '603690', '603893', '603986', '605111', '605358', '688002', '688008', '688012', '688018', '688019', '688037', '688099', '688126', '688200', '688396']"
华为概念,"['000004', '000021', '000032', '000034', '000040', '000049', '000050', '000058', '000062', '000066', '000070', '000100', '000158', '000413', '000555', '000629', '000636', '000665', '000725', '000800', '000801', '000806', '000810', '000829', '000909', '000917', '000925', '000928', '000948', '000988', '002011', '002036', '002049', '002055', '002056', '002065', '002074', '002079', '002089', '002090', '002104', '002106', '002121', '002123', '002138', '002151', '002152', '002167', '002178', '002179', '002182', '002185', '002189', '002194', '002197', '002202', '002213', '002217', '002241', '002256', '002261', '002268', '002273', '002279', '002281', '002284', '002309', '002316', '002341', '002368', '002369', '002384', '002387', '002388', '002396', '002405', '002416', '002421', '002426', '002436', '002446', '002456', '002463', '002475', '002484', '002512', '002544', '002547', '002555', '002579', '002585', '002594', '002600', '002622', '002635', '002655', '002660', '002681', '002706', '002751', '002768', '002786', '002792', '002819', '002824', '002837', '002845', '002848', '002855', '002861', '002866', '002878', '002881', '002885', '002886', '002889', '002892', '002897', '002902', '002903', '002916', '002922', '002927', '002929', '002935', '002938', '002947', '002949', '002953', '002955', '002957', '002962', '002965', '002975', '002983', '002992', '002993', '003015', '003029', '300007', '300019', '300020', '300025', '300032', '300036', '300041', '300044', '300047', '300057', '300066', '300068', '300074', '300075', '300077', '300079', '300081', '300083', '300085', '300088', '300096', '300097', '300113', '300115', '300128', '300131', '300134', '300136', '300148', '300153', '300167', '300168', '300170', '300177', '300182', '300183', '300184', '300207', '300212', '300213', '300218', '300221', '300227', '300231', '300232', '300241', '300249', '300252', '300256', '300259', '300263', '300264', '300270', '300287', '300292', '300306', '300310', '300319', '300322', '300328', '300331', '300337', '300339', '300345', '300348', '300349', '300351', '300352', '300354', '300366', '300369', '300373', '300378', '300379', '300384', '300386', '300390', '300393', '300394', '300397', '300398', '300400', '300408', '300410', '300414', '300419', '300432', '300433', '300446', '300449', '300456', '300458', '300465', '300466', '300468', '300469', '300479', '300490', '300496', '300502', '300520', '300530', '300537', '300538', '300541', '300542', '300545', '300548', '300560', '300566', '300578', '300579', '300588', '300598', '300602', '300603', '300608', '300621', '300624', '300648', '300663', '300666', '300668', '300674', '300678', '300679', '300684', '300686', '300687', '300691', '300709', '300726', '300731', '300735', '300742', '300752', '300766', '300770', '300778', '300781', '300782', '300806', '300814', '300830', '300857', '300868', '300921', '300938', '300964', '301013', '301018', '301031', '301042', '301180', '600035', '600050', '600105', '600114', '600152', '600171', '600183', '600203', '600206', '600225', '600237', '600293', '600360', '600363', '600418', '600458', '600460', '600487', '600496', '600503', '600552', '600601', '600734', '600745', '600804', '600850', '600986', '600996', '601137', '601238', '601298', '603005', '603019', '603083', '603133', '603160', '603203', '603228', '603256', '603319', '603322', '603327', '603328', '603330', '603386', '603390', '603496', '603602', '603613', '603700', '603712', '603728', '603738', '603773', '603882', '603887', '603912', '603918', '603927', '688010', '688020', '688058', '688066', '688088', '688127', '688157', '688168', '688195', '688286', '688360', '688386', '688536', '688538', '688559', '688579', '688608', '688668', '688733']"
博彩概念,"['000665', '000829', '000917', '000981', '002072', '002117', '002152', '002181', '002197', '002229', '002235', '002261', '002264', '002277', '002419', '002605', '002697', '300033', '300052', '300079', '300579', '300651', '600037', '600138', '600157', '600158', '600433', '600640', '600696', '600770', '600823', '601216', '601519', '603000', '603729']"
卫星导航,"['000058', '000066', '000409', '000547', '000561', '000670', '000801', '000818', '000901', '002003', '002025', '002046', '002052', '002115', '002151', '002191', '002232', '002296', '002357', '002361', '002383', '002402', '002405', '002413', '002446', '002465', '002512', '002535', '002544', '002583', '002669', '002829', '002935', '002977', '300013', '300018', '300036', '300045', '300053', '300075', '300101', '300102', '300123', '300159', '300177', '300212', '300226', '300252', '300287', '300322', '300324', '300342', '300447', '300455', '300456', '300469', '300516', '300581', '300590', '300627', '300672', '300680', '300762', '300782', '300965', '600118', '600130', '600198', '600345', '600435', '600476', '600590', '600764', '600775', '600877', '600879', '600968', '600990', '601698', '603045', '603068', '603131', '603528', '603712', '688066', '688135', '688311', '688333', '688568']"
即将解禁,"['000156', '000547', '000682', '000703', '000785', '000821', '000851', '000927', '000998', '001872', '002005', '002032', '002079', '002113', '002139', '002180', '002294', '002407', '002409', '002469', '002542', '002623', '002675', '002709', '002805', '002876', '002942', '002967', '003001', '003017', '003020', '003021', '003022', '003023', '003025', '003026', '003027', '003029', '300034', '300124', '300166', '300229', '300239', '300343', '300409', '300474', '300481', '300634', '300667', '300708', '300753', '300756', '300871', '300875', '300877', '300889', '300894', '300909', '300911', '300912', '300917', '300918', '300919', '300920', '300921', '300922', '300923', '300925', '300995', '300996', '301002', '301004', '301006', '301007', '301009', '301010', '301011', '301012', '301013', '301015', '301016', '600158', '600250', '600378', '600538', '600654', '600679', '600765', '600816', '600855', '600905', '600958', '600959', '600987', '601127', '601138', '601500', '601686', '601778', '601860', '601956', '603123', '603131', '603183', '603185', '603416', '603587', '603629', '603859', '605058', '605151', '605155', '605183', '605186', '605199', '605258', '605299', '605318', '605376', '605377', '688008', '688012', '688026', '688037', '688039', '688063', '688067', '688069', '688078', '688089', '688117', '688118', '688123', '688131', '688136', '688166', '688198', '688216', '688218', '688258', '688268', '688269', '688276', '688308', '688310', '688319', '688345', '688357', '688358', '688367', '688399', '688425', '688510', '688517', '688560', '688571', '688590', '688597', '688601', '688608', '688618', '688621', '688625', '688658', '688668', '688678', '688679', '688681', '688686', '688690', '688698', '688699', '688700']"
参股新股,"['000009', '000016', '000039', '000046', '000413', '000530', '000541', '000543', '000581', '000712', '000776', '000783', '000811', '000828', '000836', '000959', '002004', '002010', '002030', '002054', '002152', '002169', '002215', '002230', '002340', '002347', '002350', '002404', '002439', '002445', '002466', '002467', '002496', '002553', '002606', '002612', '002684', '002690', '002797', '002831', '300003', '300024', '300039', '300079', '300197', '300199', '300236', '300251', '300364', '300518', '300538', '600064', '600067', '600089', '600106', '600128', '600171', '600183', '600188', '600220', '600266', '600283', '600287', '600352', '600362', '600387', '600389', '600489', '600496', '600521', '600535', '600548', '600549', '600635', '600674', '600704', '600711', '600718', '600729', '600736', '600739', '600805', '600828', '600867', '600918', '600958', '600981', '600998', '601086', '601099', '601162', '601311', '601607', '601717', '601777', '601877', '601878', '603006', '603008', '603019', '603056', '603077', '603810', '603861', '603883', '603901']"
参股金融,"['000027', '000031', '000066', '000100', '000159', '000429', '000488', '000514', '000530', '000539', '000541', '000543', '000547', '000551', '000570', '000581', '000600', '000623', '000628', '000656', '000690', '000700', '000702', '000705', '000850', '000878', '000919', '000936', '000996', '002021', '002056', '002093', '002131', '002195', '002316', '002341', '002434', '002489', '002540', '002571', '002657', '002978', '300146', '300175', '600020', '600023', '600039', '600054', '600064', '600100', '600106', '600107', '600113', '600122', '600128', '600129', '600170', '600177', '600191', '600208', '600226', '600249', '600266', '600278', '600287', '600288', '600332', '600339', '600348', '600352', '600382', '600415', '600498', '600500', '600503', '600510', '600515', '600517', '600522', '600528', '600532', '600551', '600592', '600611', '600612', '600618', '600649', '600650', '600675', '600682', '600697', '600704', '600713', '600716', '600718', '600735', '600738', '600741', '600750', '600754', '600755', '600770', '600784', '600795', '600802', '600811', '600823', '600827', '600828', '600833', '600838', '600851', '600857', '600873', '600881', '600884', '600981', '601107', '601163', '601177', '601216', '601618', '601678', '601700', '601811', '601886', '601890', '601900', '601929', '601999', '603100', '603165', '603225', '603319', '603333', '603823', '603878', '603896', '603999', '605122', '605168']"
双创50,"['300003', '300014', '300015', '300033', '300122', '300124', '300136', '300142', '300253', '300274', '300347', '300408', '300413', '300433', '300450', '300454', '300496', '300558', '300595', '300601', '300628', '300661', '300676', '300750', '300759', '300760', '300782', '300832', '300869', '300896', '300919', '688008', '688009', '688012', '688036', '688111', '688126', '688169', '688180', '688185', '688256', '688289', '688363', '688396', '688521', '688561', '688777', '688819', '688981', '689009']"
发可转债,"['000498', '000589', '000703', '001203', '002060', '002120', '002234', '002381', '002422', '002458', '002534', '002645', '002850', '002864', '002911', '002928', '002959', '002982', '002989', '002995', '002996', '002997', '300130', '300185', '300212', '300265', '300283', '300290', '300305', '300381', '300406', '300454', '300486', '300556', '300560', '300605', '300606', '300663', '300673', '300692', '300725', '300727', '300743', '300763', '300787', '300813', '300827', '300843', '300863', '300869', '300871', '300883', '300891', '300894', '300933', '300956', '300966', '300967', '300975', '301002', '600075', '600251', '600348', '600496', '600903', '600985', '601012', '601128', '601166', '601330', '601665', '601686', '601689', '601865', '601878', '601881', '603012', '603055', '603058', '603112', '603185', '603186', '603305', '603466', '603477', '603535', '603568', '603585', '603605', '603609', '603638', '603681', '603690', '603713', '603799', '603806', '603810', '603833', '603878', '603901', '603916', '603936', '603992', '603995', '605007', '605008', '605068', '605166', '605189', '688019', '688026', '688030', '688059', '688116', '688166', '688179', '688186', '688208', '688219', '688229', '688321', '688328', '688350', '688556', '688590', '688595', '688680', '688689']"
口罩防护,"['000007', '000009', '000012', '000078', '000158', '000413', '000420', '000532', '000538', '000566', '000601', '000615', '000623', '000650', '000651', '000652', '000666', '000726', '000779', '000819', '000821', '000850', '000881', '000908', '000911', '000928', '000949', '000955', '000963', '000973', '000999', '001206', '002002', '002003', '002006', '002008', '002026', '002029', '002080', '002082', '002083', '002087', '002097', '002118', '002131', '002154', '002158', '002165', '002172', '002221', '002223', '002246', '002275', '002280', '002283', '002293', '002301', '002324', '002341', '002351', '002362', '002382', '002384', '002394', '002397', '002407', '002411', '002444', '002453', '002486', '002503', '002511', '002551', '002583', '002594', '002603', '002612', '002614', '002644', '002648', '002665', '002676', '002685', '002687', '002747', '002757', '002763', '002768', '002776', '002780', '002781', '002786', '002803', '002825', '002832', '002836', '002838', '002886', '002950', '002957', '002979', '003023', '300021', '300024', '300030', '300083', '300086', '300097', '300100', '300110', '300115', '300132', '300147', '300151', '300161', '300180', '300195', '300199', '300222', '300238', '300247', '300260', '300273', '300281', '300296', '300307', '300325', '300328', '300340', '300376', '300390', '300403', '300410', '300433', '300453', '300457', '300461', '300476', '300503', '300539', '300568', '300586', '300606', '300607', '300635', '300644', '300658', '300677', '300703', '300716', '300815', '300819', '300836', '300840', '300887', '300888', '300890', '300918', '300968', '300978', '300993', '301009', '301013', '600070', '600143', '600152', '600156', '600185', '600232', '600252', '600302', '600378', '600400', '600448', '600483', '600516', '600527', '600579', '600603', '600626', '600686', '600710', '600810', '600868', '600981', '600989', '601515', '601599', '601718', '603011', '603301', '603303', '603309', '603311', '603518', '603601', '603733', '603877', '603880', '603895', '603901', '603915', '605009', '605589', '688022', '688026', '688310', '688358', '688659']"
可燃冰,"['000039', '000554', '000852', '002140', '002207', '002221', '002278', '002342', '002353', '002554', '300084', '300157', '300164', '300191', '300228', '300309', '600028', '600098', '600282', '600378', '600583', '600871', '601808', '603727']"
台资背景,"['002047', '002084', '002105', '002158', '002162', '002333', '002463', '002655', '002938', '300260', '300378', '300549', '300671', '601002', '601138', '601231', '601388', '603002', '603015', '603408', '603580', '603886', '603922', '603929', '603958', '605366', '688585', '688678']"
含B股,"['000011', '000012', '000016', '000017', '000019', '000020', '000025', '000026', '000028', '000029', '000030', '000037', '000045', '000055', '000056', '000058', '000413', '000429', '000488', '000505', '000521', '000530', '000539', '000541', '000550', '000553', '000570', '000581', '000596', '000613', '000625', '000725', '000726', '000761', '000869', '001872', '600054', '600094', '600190', '600221', '600272', '600295', '600320', '600555', '600602', '600604', '600610', '600611', '600612', '600613', '600617', '600618', '600619', '600623', '600639', '600648', '600650', '600663', '600679', '600689', '600695', '600698', '600726', '600751', '600754', '600776', '600801', '600818', '600819', '600822', '600827', '600835', '600841', '600843', '600844', '600845', '600848', '600851']"
含GDR,"['600886', '600900', '601601', '601688']"
