代码,名称,涨幅%,涨速%,现价,市盈(动),行业PE,细分行业,所属行业,AB股总市值,上市日期,涨跌,买价,流通市值,主营构成,卖价,总量,总金额,市盈(静),换手%,地区,开盘换手Z,现量,今开,最高,最低,昨收,量比,振幅%,均价,内盘,外盘,内外比,买量,卖量,未匹配量,开盘金额,封成比,封单额,流通股(亿),强弱度%,活跃度,笔均量,笔换手,连涨天,3日涨幅%,20日涨幅%,60日涨幅%,年初至今%,换手Z,流通市值Z,流通比例Z%,市盈(TTM),贝塔系数,近日指标提示,短期形态,中期形态,长期形态,开盘%,最高%,最低%,均涨幅%,实体涨幅%,回头波%,攻击波%,现均差%,财务更新,总股本(亿),B/A股(亿),H股(亿),总资产(亿),净资产(亿),少数股权(亿),资产负债率%,流动资产(亿),固定资产(亿),无形资产(亿),流动负债(亿),存货(亿),应收账款(亿),资本公积金(亿),营业收入(亿),营业成本(亿),营业利润(亿),投资收益(亿),利润总额(亿),税后利润(亿),净利润(亿),扣非净利润(亿),未分利润(亿),经营现金流(亿),总现金流(亿),股东人数,人均持股,人均市值,利润同比%,收入同比%,市净率,市现率,市销率,股息率%,每股收益,每股净资,每股公积,每股未分配,每股现金流,权益比%,净益率%,毛利率%,营业利润率%,净利润率%,研发费用(亿),员工人数,交易代码,自选日,自选价,自选收益%
000506,中润资源,-4.82,0,3.16,5.95,35.22,黄金,材料-有色,         29.36亿,19930312,-0.16,3.15,         29.35亿,黄金销售,3.16,292325,9466.12,--  ,3.15,山东,0.05,3858,3.33,3.37,3.16,3.32,0.49,6.33,3.24,174261,118064,1.48,4586,823,--  ,100.03,--  ,--  ,9.29,-2.52,2864,102,0.0011,-3,-10.99,-8.93,2.26,-1.55,5,         18.46亿,62.88,17.09,0.77,KDJ死叉,10,6,10,0.3,1.51,-4.82,-2.41,-5.11,-6.23,0,-2.41,20220825,9.29,--  ,--  ,17.61,6.18,0.39,62.73,4.42,4.42,0.65,9.16,1.97,0.13,0.51,1.35,1.47,2.3,3.13,2.26,2.27,2.47,-0.59,-3.96,-0.83,0.29,58000,10072,3.18万,492.28,-35,4.75,-35.46,21.78,0,0.266㈡,0.66,0.06,-0.43,-0.09,35.07,  39.95㈡,-8.74,170.86,168.58,--  ,1482,506,--  ,--  ,--  
000507,珠海港,-5.33,-0.17,5.51,14.52,9.42,港口,交通运输-交通设施,         50.68亿,19930326,-0.31,5.51,         49.72亿,新能源板块,5.52,186562,10470.31,12,2.07,广东,0.02,3984,5.76,5.81,5.51,5.82,1.43,5.15,5.61,122187,64375,1.9,263,80,--  ,59.21,--  ,--  ,9.02,-3.02,3009,62,0.0007,-3,-6.77,-4.67,-12.82,-13.09,2.98,         34.53亿,68.13,14.45,0.8,MACD死叉,7,8,10,-1.03,-0.17,-5.33,-3.61,-4.34,-5.16,0,-1.72,20220913,9.2,--  ,--  ,213.13,67.74,19.39,59.12,66.69,70.31,13.41,47.39,4.15,15.05,13.71,27.9,21.45,3.43,1.09,3.44,2.8,1.75,1.66,19.39,5.66,11.53,88690,7065,3.89万,-30.16,-8.85,0.96,8.95,1.82,2.06,0.190㈡,5.74,1.49,2.11,0.62,31.78,   2.58㈡,23.12,12.3,10.02,0.38,5608,507,--  ,--  ,--  
000509,华塑控股,-1.06,0.54,3.72,308.73,40.28,元器件,信息产业-元器件,         39.92亿,19930507,-0.04,3.72,         39.92亿,电子产品,3.73,35613,1327.08,--  ,0.33,四川,0,361,3.78,3.78,3.67,3.76,0.79,2.93,3.73,19497,16116,1.21,717,167,--  ,3.78,--  ,--  ,10.73,1.24,767,46,0.0004,-1,-2.35,-3.63,-5.82,27.84,0.57,         23.30亿,58.36,--  ,0.82,KDJ金叉,14,5,10,0.53,0.53,-2.39,-0.8,-1.59,-1.59,1.36,-0.27,20220826,10.73,--  ,--  ,6.39,1.45,0.82,64.6,4.31,0.82,0.4,3.9,2.12,0.57,2.51,5.24,4.74,0.14,0.05,0.14,0.12,0.06,0.01,-11.95,0.37,0.51,28451,22012,8.19万,-40.71,2160,27.6,107.56,7.61,0,0.006㈡,0.13,0.23,-1.11,0.03,22.62,   4.47㈡,9.52,2.61,2.38,0.13,464,509,--  ,--  ,--  
000510,新金路,--  ,--  ,6.46,38.34,16.94,化工原料,材料-化工,         39.35亿,19930507,--  ,,         36.72亿,树脂产品,--  ,0,0,13.14,--  ,四川,--  ,0,--  ,--  ,--  ,6.46,0,0,6.46,0,0,--  ,0,0,--  ,0,--  ,--  ,5.68,2.3,0,--  ,--  ,1,0.93,-7.05,-0.62,9.31,--  ,         33.47亿,85.05,20.83,0.54,-- -- ,2,5,12,--  ,--  ,--  ,0,--  ,--  ,--  ,--  ,20220902,6.09,--  ,--  ,25.25,14.36,0.27,42.06,10.44,9.8,0.55,9.57,2.6,0.57,0.63,18.2,15.22,0.96,0.05,0.92,0.52,0.51,0.53,6.68,-1.58,-2.2,46166,11223,7.25万,-68.31,25.17,2.74,-24.88,2.16,0,0.084㈡,2.36,0.1,1.1,-0.26,56.88,   3.57㈡,16.36,5.3,2.86,0.09,2396,510,--  ,--  ,--  
000513,丽珠集团,-2.38,-0.15,30.77,14.44,28.74,化学制药,可选消费-医药,        198.48亿,19931028,-0.75,30.77,        192.37亿,化学制剂产品-消化道产品,30.79,52228,16167.21,16.95,0.84,广东,0.01,957,31.45,31.46,30.7,31.52,1.05,2.41,30.95,34045,18183,1.87,71,0,--  ,157.25,--  ,--  ,6.25,-0.08,2911,18,0.0003,-1,-0.87,-1.6,-10.76,-20.92,1.35,        119.07亿,59.99,17.39,0.61,KDJ金叉,13,5,13,-0.22,-0.19,-2.6,-1.81,-2.16,-2.19,0.23,-0.57,20220915,9.55,--  ,3.1,229.38,128.67,11.2,39.02,150.13,35.68,3.08,67.52,18.14,21.67,15.9,63.03,21.92,13.25,0.37,13.23,11.18,10.18,10.46,95.19,14.26,0.06,60560,6390,19.66万,-4.23,1.08,2.24,20.6,4.66,2.7,1.090㈡,13.76,1.67,9.97,1.49,56.1,   7.91㈡,65.22,21.03,17.73,5.55,8580,513,--  ,--  ,--  
000514,渝 开 发,0.22,-0.42,4.59,--  ,--  ,区域地产,建筑地产-房地产,         38.73亿,19930712,0.01,4.59,         38.73亿,石黄隧道经营权收入及其他,4.6,707372,32707.63,23.84,8.38,重庆,0.12,7111,4.52,4.79,4.36,4.58,1.85,9.39,4.62,331105,376267,0.88,3347,1659,--  ,162.86,--  ,--  ,8.44,2.52,3921,180,0.0021,2,4.32,10.6,-7.09,16.49,22.77,         14.26亿,36.81,26.64,0.48,多头排列,5,14,10,-1.31,4.59,-4.8,0.87,1.55,-4.18,5.28,-0.66,20220909,8.44,--  ,--  ,85.56,34.67,5.03,53.6,73.72,6.05,1.96,35.36,58.24,1.21,11.91,0.79,0.76,-0.54,0.08,-0.47,-0.31,-0.29,-0.34,12.5,-2.8,-1.48,54779,5670,2.60万,-138.05,-43.43,1.12,-13.85,49.27,0.44,-0.035㈡,4.11,1.41,1.48,-0.33,40.52,  -0.85㈡,2.93,-68.23,-39.37,--  ,831,514,--  ,--  ,--  
000516,国际医学,-3.87,0.1,9.69,--  ,18.55,医疗保健,可选消费-医疗保健,        220.47亿,19930809,-0.39,9.68,        184.81亿,医疗业,9.69,262917,25533.36,--  ,1.38,陕西,0,1700,10.08,10.14,9.38,10.08,1.43,7.54,9.71,153985,108932,1.41,752,956,--  ,13.91,--  ,--  ,19.07,-1.57,3272,80,0.0004,-4,-5.74,-9.61,-4.72,-12.15,1.84,        138.57亿,62.85,--  ,1.18,平台整理,1,10,2,0,0.6,-6.94,-3.67,-3.87,-4.44,3.3,-0.2,20220827,22.75,--  ,--  ,129.36,48.78,0,62.29,18.5,74,8.37,35.56,0.73,4.77,11.34,10.68,12.63,-6.1,0.06,-6.09,-6.1,-5.96,-5.79,12.23,-2.03,-6.34,111522,12823,12.43万,-65.53,-18.24,4.52,-108.84,20.64,0,-0.262㈡,2.14,0.5,0.54,-0.09,37.71, -12.21㈡,-18.28,-57.07,-57.08,0.06,8116,516,--  ,--  ,--  
000517,荣安地产,-4.66,-0.31,3.07,7.11,--  ,区域地产,建筑地产-房地产,         97.75亿,19930806,-0.15,3.06,         76.65亿,房屋销售,3.07,633448,19853.86,9.44,2.54,浙江,0.13,3997,3.27,3.29,3.06,3.22,1.06,7.14,3.13,376673,256775,1.47,2843,2181,--  ,305.03,--  ,--  ,24.97,-2.36,3780,168,0.0007,-1,-2.85,5.13,-5.54,33.48,8.53,         22.79亿,23.31,9.76,0.61,多头排列,2,5,8,1.55,2.17,-4.97,-2.8,-6.12,-6.69,0.33,-1.86,20220831,31.84,--  ,--  ,819.93,92.39,50.73,82.54,751.6,0.2,0.08,568.91,593.93,1.61,-18.33,62.69,50.51,8.6,1.41,8.55,6.78,6.88,7.56,74.79,63.02,1.09,49640,14953,4.59万,-4.9,-31.09,1.06,1.55,1.56,4.97,0.216㈡,2.9,-0.58,2.35,1.98,11.27,   7.44㈡,19.43,13.72,10.81,0.16,1155,517,--  ,--  ,--  
000518,四环生物,-2.6,0,3,--  ,88.14,生物制药,可选消费-医药,         30.89亿,19930908,-0.08,3,         30.89亿,EPO,3.01,76056,2302.96,--  ,0.74,江苏,0,757,3.07,3.1,3,3.08,1.32,3.25,3.03,49093,26963,1.82,5301,653,--  ,6.23,--  ,--  ,10.3,-0.29,1703,45,0.0004,-2,-3.84,-3.53,-3.84,-17.35,1.18,         19.31亿,62.52,--  ,0.61,KDJ死叉,14,5,9,-0.32,0.65,-2.6,-1.62,-2.28,-3.23,0,-0.97,20220822,10.3,--  ,--  ,7.6,5.73,0.37,19.65,5.74,0.55,0.2,1.17,4.33,0.92,0.36,1.18,0.36,-0.36,0,-0.36,-0.36,-0.33,-0.33,-5.31,0.07,-0.1,111828,5756,1.73万,-19,-20.94,5.39,434.68,26.09,0,-0.032㈡,0.56,0.03,-0.52,0.01,75.42,  -5.75㈡,69.71,-30.8,-30.58,0.3,254,518,--  ,--  ,--  
000519,中兵红箭,-0.04,0,26.49,26.29,40.85,专用机械,装备制造-工业机械,        368.89亿,19931008,-0.01,26.48,        368.61亿,超硬材料及其制品,26.49,352074,94078.97,76.04,2.53,湖南,0.04,5757,26.7,27.09,26.41,26.5,0.86,2.57,26.72,165736,186338,0.89,14,10507,--  ,903.26,--  ,--  ,13.92,2.27,4533,78,0.0006,-5,-8.17,-27.43,-6.89,-0.49,4.22,        221.19亿,59.96,42.91,1.25,跌破BOLL下轨,1,8,12,0.75,2.23,-0.34,0.83,-0.79,-2.21,0.3,-0.87,20220915,13.93,--  ,--  ,136.66,96.61,--  ,29.3,92.88,27.8,4.83,35.28,13.56,13.96,37.83,32.03,20.43,8.24,0.06,8.29,7.02,7.02,6.79,43.17,-8.56,-9.7,94000,8883,23.53万,114.61,11.19,3.82,-43.09,11.52,0.19,0.504㈡,6.94,2.72,3.1,-0.61,70.7,   7.26㈡,36.23,25.72,21.9,1.57,8585,519,--  ,--  ,--  
