代码,名称,涨幅%,涨速%,现价,市盈(动),行业PE,细分行业,所属行业,AB股总市值,上市日期,涨跌,买价,流通市值,主营构成,卖价,总量,总金额,市盈(静),换手%,地区,开盘换手Z,现量,今开,最高,最低,昨收,量比,振幅%,均价,内盘,外盘,内外比,买量,卖量,未匹配量,开盘金额,封成比,封单额,流通股(亿),强弱度%,活跃度,笔均量,笔换手,连涨天,3日涨幅%,20日涨幅%,60日涨幅%,年初至今%,换手Z,流通市值Z,流通比例Z%,市盈(TTM),贝塔系数,近日指标提示,短期形态,中期形态,长期形态,开盘%,最高%,最低%,均涨幅%,实体涨幅%,回头波%,攻击波%,现均差%,财务更新,总股本(亿),B/A股(亿),H股(亿),总资产(亿),净资产(亿),少数股权(亿),资产负债率%,流动资产(亿),固定资产(亿),无形资产(亿),流动负债(亿),存货(亿),应收账款(亿),资本公积金(亿),营业收入(亿),营业成本(亿),营业利润(亿),投资收益(亿),利润总额(亿),税后利润(亿),净利润(亿),扣非净利润(亿),未分利润(亿),经营现金流(亿),总现金流(亿),股东人数,人均持股,人均市值,利润同比%,收入同比%,市净率,市现率,市销率,股息率%,每股收益,每股净资,每股公积,每股未分配,每股现金流,权益比%,净益率%,毛利率%,营业利润率%,净利润率%,研发费用(亿),员工人数,交易代码,自选日,自选价,自选收益%
000001,平安银行,-3.38,-0.15,12.56,5.52,4.39,银行,金融-银行,       2437.38亿,19910403,-0.44,12.55,       2437.34亿,零售金融业务,12.56,1357448,171925.29,6.94,0.7,深圳,0.01,30005,12.92,12.95,12.56,13,0.97,3,12.67,761157,596291,1.28,8703,940,--  ,987.48,--  ,--  ,194.06,-1.08,4542,299,0.0002,-1,-3.01,2.53,-10.09,-22.71,1.58,       1080.27亿,44.32,6.18,0.28,上穿BOLL上轨,5,13,13,-0.62,-0.38,-3.38,-2.54,-2.79,-3.01,0,-0.85,20220818,194.06,--  ,--  ,51087.76,4120.98,--  ,91.93,0,112.68,55.16,0,0,0,808.16,920.22,640.61,279.61,77.69,277.83,220.88,220.88,220.42,1693.41,1504.83,-205.95,493029,17445,21.91万,25.62,8.67,0.71,1.62,2.65,1.75,1.030㈡,17.63,4.16,8.73,7.75,8.07,   5.36㈡,30.39,30.39,24,--  ,40745,1,--  ,--  ,--  
000002,万 科Ａ,-2.7,-0.16,18,8.56,17.88,全国地产,建筑地产-房地产,       1750.36亿,19910129,-0.5,18,       1749.12亿,房地产开发及相关资产经营业务,18.01,1144959,208516.35,9.55,1.18,深圳,0,17482,18.35,18.59,17.91,18.5,1.05,3.68,18.21,667799,477160,1.4,1534,64,--  ,426.27,--  ,--  ,97.17,-0.4,4726,242,0.0002,-1,-1,13.85,2.33,-4.15,1.77,       1165.42亿,66.58,9.08,0.32,多头排列,2,5,13,-0.81,0.49,-3.19,-1.57,-1.91,-3.17,0.5,-1.14,20220831,116.31,--  ,19.07,18792.02,2342.35,1574.74,79.16,15377.16,142.22,112.02,12434.38,10230.27,65.22,204.77,2069.16,1645.71,242.38,6.2,243.59,181.03,122.23,117.21,936.44,82.88,-33.03,518181,12495,22.49万,10.64,23.82,0.89,25.26,1.01,5.24,1.050㈡,20.28,1.76,8.05,0.71,12.46,   5.22㈡,20.46,11.71,8.75,2.89,139494,2,--  ,--  ,--  
000004,ST国华,-2.85,0.21,9.54,--  ,318.16,软件服务,信息产业-软件服务,         12.67亿,19910114,-0.28,9.53,         11.10亿,安全类,9.54,46793,4546.32,--  ,4.02,深圳,0.16,724,9.83,9.94,9.48,9.82,1.72,4.68,9.72,27169,19624,1.38,524,270,--  ,131.33,--  ,--  ,1.16,-0.55,1191,39,0.0034,-1,2.25,-1.55,2.7,-50.87,5.67,          7.88亿,62.16,--  ,0.72,-- -- ,3,11,13,0.1,1.22,-3.46,-1.02,-2.95,-4.02,0.63,-1.83,20220913,1.33,--  ,--  ,10.41,9.12,0,12.35,5.45,0.02,0.32,1.24,0.21,3.23,12.09,0.23,0.09,-0.4,0,-0.41,-0.36,-0.35,-0.36,-4.66,-0.34,-0.34,17160,4812,4.59万,-681.1,-75.63,1.63,-37.72,55.92,0,-0.230㈡,5.85,9.1,-3.51,-0.25,87.66,  -3.88㈡,59.99,-178.49,-158.79,0.22,309,4,--  ,--  ,--  
000005,ST星源,-4.32,0.57,1.77,139.48,28.19,环境保护,公用事业-环境保护,         18.74亿,19901210,-0.08,1.76,         18.73亿,环保业务收入,1.77,115956,2082.98,14.08,1.1,深圳,0,664,1.84,1.85,1.76,1.85,1.99,4.86,1.8,85501,30455,2.81,1091,2293,--  ,1.84,--  ,--  ,10.58,-2.02,700,166,0.0016,-2,-5.35,-2.75,-2.75,-23.05,1.33,         15.39亿,82.12,--  ,0.45,-- -- ,8,13,11,-0.54,0,-4.86,-2.7,-3.8,-4.32,0.57,-1.62,20220906,10.59,--  ,--  ,23.71,13.84,0.98,37.48,12.34,0.24,0.53,8.18,0.14,1.58,6.81,0.89,0.76,0.03,0.39,0.04,0.04,0.07,0.04,-3.85,0.31,-0.38,91786,9470,1.68万,-96.53,-45.39,1.35,61.13,20.97,0,0.006㈡,1.31,0.64,-0.36,0.03,58.37,   0.49㈡,14.98,3.88,4.63,0.07,563,5,--  ,--  ,--  
000006,深振业Ａ,-3.8,0.23,4.3,13.03,--  ,区域地产,建筑地产-房地产,         58.05亿,19920427,-0.17,4.29,         58.05亿,房产销售,4.3,243444,10691.97,11.14,1.8,深圳,0.01,1942,4.44,4.49,4.28,4.47,1.37,4.7,4.39,150315,93129,1.61,2159,2265,--  ,47.77,--  ,--  ,13.5,-1.5,2856,85,0.0006,-1,-2.94,4.87,-4.87,-0.92,2.86,         36.58亿,63.01,16.03,0.43,多头排列,5,10,11,-0.67,0.45,-4.25,-1.79,-3.15,-4.23,0.47,-2.01,20220825,13.5,--  ,--  ,244.67,77.05,5.56,66.23,204.55,0.42,0,86,162.44,0.18,4.84,13.54,8.03,3.15,0.36,3.16,2.4,2.23,2.22,37.6,2.42,10.02,66101,12868,5.53万,-42.59,-8.1,0.75,23.94,4.29,2.71,0.165㈡,5.71,0.36,2.79,0.18,31.49,   2.89㈡,40.73,23.27,17.75,--  ,403,6,--  ,--  ,--  
000007,全新好,-2.58,1.41,7.93,--  ,--  ,酒店餐饮,社会服务-酒店餐饮,         27.47亿,19920413,-0.21,7.92,         24.50亿,汽车销售及相关服务,7.93,182801,14433.66,70.55,5.92,深圳,0.02,3459,8.1,8.1,7.7,8.14,1.76,4.91,7.9,92354,90447,1.02,23,67,--  ,51.6,--  ,--  ,3.09,-0.28,2236,82,0.0026,-1,-2.83,1.15,14.1,30.21,7.04,         20.58亿,74.92,87.4,0,-- -- ,10,8,12,-0.49,-0.49,-5.41,-2.95,-2.1,-2.1,2.99,0.37,20220830,3.46,--  ,--  ,4.33,0.91,0.11,76.43,3.08,0.48,0,2.12,0.26,0.15,1.57,1.19,1.02,-0.02,-0.01,-0.11,-0.12,-0.1,0,-3.59,0.87,0.83,9465,27424,21.75万,-337.37,116.93,30.08,31.47,23.05,0,-0.029㈡,0.26,0.45,-1.04,0.25,21.09, -10.94㈡,14.45,-1.78,-10.06,--  ,82,7,--  ,--  ,--  
000008,神州高铁,-2.92,-0.42,2.33,--  ,20.6,运输设备,装备制造-运输设备,         64.79亿,19920507,-0.07,2.33,         62.78亿,车辆检修,2.34,239687,5653.14,--  ,0.89,北京,0,4910,2.41,2.41,2.33,2.4,1.24,3.33,2.36,168337,71350,2.36,8648,1355,--  ,8.41,--  ,--  ,26.94,-0.61,2203,109,0.0004,-4,-5.28,-5.66,-7.17,-20.75,1.47,         38.03亿,58.69,--  ,0.8,MACD死叉,9,2,5,0.42,0.42,-2.92,-1.67,-3.32,-3.32,0,-1.25,20220914,27.81,--  ,--  ,117.96,51.22,1.33,55.46,54.44,4.62,2.69,49.3,11.52,24.98,27.88,5.81,3.51,-0.78,0.61,-0.8,-0.85,-0.84,-1.01,-2.72,2.39,-3.82,96291,16949,3.95万,43.39,10.05,1.27,27.12,11.15,0,-0.030㈡,1.84,1,-0.1,0.09,43.42,  -1.64㈡,39.62,-13.51,-14.69,0.98,2240,8,--  ,--  ,--  
000009,中国宝安,-4.74,-0.7,12.67,38.61,30.46,电气设备,装备制造-电气设备,        326.79亿,19910625,-0.63,12.67,        323.27亿,营业收入,12.68,513829,66510.9,33.12,2.01,深圳,0.01,24453,13.26,13.31,12.67,13.3,1.06,4.81,12.94,275365,238464,1.15,916,427,--  ,179.01,--  ,--  ,25.51,-2.43,4182,123,0.0005,-6,-13.34,-26.04,-8.92,-11.95,2.92,        222.79亿,68.18,44.07,1.82,跌破BOLL下轨,10,12,2,-0.3,0.08,-4.74,-2.71,-4.45,-4.81,0,-2.03,20220825,25.79,--  ,--  ,452.17,83.97,82.83,63.11,302.2,59.88,12.45,209.79,126.37,53.22,14.22,135.11,104.08,12.28,1.12,12.21,10.18,4.23,4.29,40.8,-2.18,1.32,246858,7123,9.03万,-37.8,68.45,3.89,-149.86,2.42,0.26,0.164㈡,3.26,0.55,1.58,-0.08,18.57,   5.04㈡,22.97,9.09,7.53,6.32,14335,9,--  ,--  ,--  
000010,美丽生态,-5.25,-0.28,3.43,192.73,7.91,建筑工程,建筑地产-建筑,         36.31亿,19951027,-0.19,3.43,         17.91亿,工程组合,3.44,101806,3558.14,163.37,1.95,深圳,0,1121,3.61,3.64,3.42,3.62,1.14,6.08,3.5,54798,47008,1.17,195,832,--  ,3.1,--  ,--  ,5.22,-2.95,1906,53,0.001,-2,-7.3,-0.29,-21.51,-9.02,2.25,         15.49亿,42.66,153.9,0.92,-- -- ,11,5,14,-0.28,0.55,-5.52,-3.31,-4.99,-5.77,0.29,-1.93,20220907,10.59,--  ,--  ,45.75,12.51,3.44,65.14,35.54,0.16,0.02,28.26,1.64,23.33,19.68,4.35,3.74,0.21,0,0.16,0.12,0.09,-0.1,-17.84,-5.71,3.3,38064,11866,4.07万,18.09,-22.79,2.9,-6.36,8.35,0,0.009㈡,1.18,1.86,-1.69,-0.54,27.34,   0.75㈡,14.01,4.86,2.73,--  ,290,10,--  ,--  ,--  
000011,深物业A,-6.39,-0.09,10.11,12.01,--  ,区域地产,建筑地产-房地产,         60.25亿,19920330,-0.69,10.11,         53.23亿,房地产,10.12,134035,14036.14,6.41,2.55,深圳,0.02,1219,10.7,10.87,10.1,10.8,1.53,7.13,10.47,83912,50123,1.67,24,314,--  ,30.17,--  ,--  ,5.26,-4.09,2840,47,0.0009,-1,-3.07,-1.17,-17.81,-7.92,7.17,         18.91亿,31.38,11.15,0.41,上穿BOLL上轨,2,10,9,-0.93,0.65,-6.48,-3.06,-5.51,-6.99,0.1,-3.33,20220829,5.96,0.68,--  ,151.66,41.38,0.39,72.46,130.69,0.89,0.01,70.09,98.87,3.73,0.8,19.88,10.69,3.33,0.01,3.34,2.41,2.51,2.57,34.38,-3.96,-4.93,50123,5080,5.14万,-62.98,-26.54,1.46,-15.22,3.03,6.3,0.421㈡,6.94,0.14,5.77,-0.66,27.28,   6.06㈡,46.25,16.74,12.14,0.03,7658,11,--  ,--  ,--  
000012,南 玻Ａ,-5.35,0,7.26,11.13,17.6,玻璃,材料-建材,        222.93亿,19920228,-0.41,7.25,        142.06亿,玻璃产品,7.26,1435109,105434.66,15.4,7.33,深圳,0.29,14495,7.62,7.69,7.14,7.67,1.8,7.17,7.35,819090,616019,1.33,4683,326,--  ,2737.79,--  ,--  ,19.57,-3.04,4529,317,0.0016,-1,5.07,5.83,-2.68,-25.38,11.76,         88.61亿,39.75,19.99,0.65,顶部放量,2,5,1,-0.65,0.26,-6.91,-4.17,-4.72,-5.59,1.68,-1.17,20220831,30.71,11.09,--  ,224.71,118.17,4.44,45.43,77.76,93.36,12.1,63.13,17.67,8.42,5.97,65.19,46.38,11.66,0.16,11.78,10.09,10.01,8.88,68.38,9.03,1.04,171669,13572,9.85万,-25.98,-1.45,1.89,24.69,3.42,2.61,0.330㈡,3.85,0.19,2.23,0.29,52.59,   8.47㈡,28.86,17.89,15.47,2.66,11910,12,--  ,--  ,--  
000014,沙河股份,-9.97,0,9.84,27.16,17.88,全国地产,建筑地产-房地产,         23.82亿,19920602,-1.09,--  ,         23.82亿,房地产销售,9.84,529838,53827.78,74.68,21.89,深圳,0.94,1882,10.32,10.59,9.84,10.93,1.28,6.86,10.16,316835,213003,1.49,0,3815,--  ,1542.42,0.01,375.4,2.42,-7.67,4414,120,0.005,-1,8.85,18.56,9.82,50,33.17,         15.72亿,65.98,26.27,0.09,多头排列,6,6,8,-5.58,-3.11,-9.97,-7.04,-4.65,-7.08,0,-2.93,20220830,2.42,--  ,--  ,23.9,9.62,0.65,57.03,20.8,0.24,0,11.32,16.31,0.01,0.1,3.62,2.32,0.52,0,0.58,0.43,0.44,0.39,4.78,-0.6,0.21,29911,5340,5.25万,304.28,1926.91,2.48,-39.47,6.57,0.38,0.181㈡,3.97,0.04,1.97,-0.25,40.25,   4.56㈡,36,14.34,11.96,--  ,128,14,--  ,--  ,--  
000016,深康佳Ａ,-2.82,-0.18,5.16,35.95,16.67,家用电器,可选消费-家用电器,        124.25亿,19920327,-0.15,5.15,         82.38亿,工贸业务,5.16,97796,5116.17,14.12,0.61,深圳,0,1965,5.31,5.34,5.16,5.31,0.95,3.39,5.23,69114,28682,2.41,1106,344,--  ,8.07,--  ,--  ,15.97,-0.52,2425,40,0.0003,-4,-7.36,-7.02,-18.09,-20.62,0.91,         55.36亿,44.55,12.88,1.03,EXPMA死叉,2,14,11,0,0.56,-2.82,-1.51,-2.82,-3.37,0,-1.32,20220907,24.08,8.11,--  ,393.13,92.83,11,73.59,206.63,39.61,9.71,176.62,40.18,33.73,3.67,168.95,164.82,-0.57,7.38,-0.31,0.58,1.73,-7.42,52.82,-4.21,-0.94,86943,21671,11.18万,102.25,-22.53,1.34,-29.49,0.74,0.94,0.072㈡,3.86,0.15,2.19,-0.17,23.61,   1.86㈡,2.44,-0.34,0.34,2.37,16238,16,--  ,--  ,--  
000017,深中华A,-3.2,0,3.93,--  ,22.66,服饰,日常消费-纺织服饰,         21.67亿,19920331,-0.13,3.93,         11.91亿,珠宝黄金,3.94,48964,1947.75,--  ,1.62,深圳,0,211,4.07,4.07,3.9,4.06,0.99,4.19,3.98,31979,16985,1.88,393,433,--  ,4.19,--  ,--  ,3.03,-0.9,1343,36,0.0012,-3,-7.53,-13.63,-34.93,10.09,2.04,          9.41亿,43.43,--  ,1.11,空头排列,13,1,8,0.25,0.25,-3.94,-1.97,-3.44,-3.44,0.77,-1.23,20220829,5.51,2.48,--  ,1.01,0.07,0.15,77.55,0.96,0.03,0,0.79,0.24,0.43,6.28,1.07,1,-0.01,0,-0.01,-0.01,-0.01,-0.02,-12.04,-0.09,-0.1,52427,9305,3.66万,-208.63,97.05,291.43,-233.51,20.31,0,-0.003㈡,0.01,1.14,-2.18,-0.02,7.33, -19.95㈡,6.05,-1.34,-1.15,0.01,61,17,--  ,--  ,--  
000019,深粮控股,-3.22,-0.27,7.22,17.52,--  ,农业综合,日常消费-农林牧渔,         83.21亿,19921012,-0.24,7.22,         30.05亿,粮油贸易及加工,7.23,78636,5775.08,20.05,1.89,深圳,0.01,558,7.45,7.5,7.21,7.46,0.58,3.89,7.34,52263,26373,1.98,336,626,--  ,20.64,--  ,--  ,4.16,-0.91,2775,28,0.0007,-3,-7.91,-6.35,-11.19,7.6,2.91,         19.54亿,23.49,20.35,0.32,EXPMA死叉,7,5,8,-0.13,0.54,-3.35,-1.61,-3.09,-3.73,0.14,-1.61,20220914,11.53,0.52,--  ,76.33,45.8,0.72,39.05,41.75,21.23,5.95,21.55,36.19,1.74,12.6,43.38,37.76,2.4,0.03,2.41,2.38,2.38,2.27,17.62,2.6,0.22,54575,5908,4.27万,-2.59,-17.56,1.82,31.96,1.92,3.35,0.206㈡,3.97,1.09,1.53,0.23,60,   5.19㈡,12.96,5.53,5.49,0.1,1278,19,--  ,--  ,--  
000020,深华发Ａ,1.11,-0.26,10.92,175.55,40.28,元器件,信息产业-元器件,         30.92亿,19920428,0.12,10.92,         19.78亿,显示器,10.93,60588,6655.22,424.63,3.34,深圳,0.02,593,10.93,11.2,10.6,10.8,0.9,5.56,10.98,29159,31429,0.93,284,121,--  ,16.5,--  ,--  ,1.81,3.41,2404,25,0.0014,1,-0.37,5.91,4.4,19.21,9.79,          6.76亿,21.85,339.07,0.11,-- -- ,10,6,14,1.2,3.7,-1.85,1.67,-0.09,-2.5,3.02,-0.56,20220823,2.83,1.02,--  ,6.38,3.52,--  ,44.8,3.61,1.83,0.38,2.82,0.66,1.34,1.47,3.54,3.12,0.12,0,0.12,0.09,0.09,0.04,-1.55,0.5,0.28,24938,6571,7.18万,26,-9.57,8.78,62.19,8.73,0,0.031㈡,1.24,0.52,-0.55,0.18,55.2,   2.50㈡,11.94,3.29,2.49,0.05,1133,20,--  ,--  ,--  
000021,深科技,-1.83,-0.34,11.26,19.28,49.13,IT设备,信息产业-IT设备,        175.72亿,19940202,-0.21,11.26,        175.66亿,高端制造,11.27,91107,10423.21,23.08,0.58,深圳,0,3920,11.42,11.6,11.25,11.47,0.79,3.05,11.44,48282,42825,1.13,429,30,--  ,22.27,--  ,--  ,15.6,0.47,2748,33,0.0002,-4,-7.7,-17.93,0.09,-28.24,0.99,        103.19亿,58.72,18.69,0.87,EXPMA死叉,10,10,11,-0.44,1.13,-1.92,-0.26,-1.4,-2.93,0.09,-1.57,20220914,15.61,--  ,--  ,289.09,101.52,16.13,59.3,181.95,40.79,5.87,146.92,44.42,26.33,21.45,75.52,68.2,5.52,1.29,5.52,4.61,4.56,2.29,48.33,-1.06,-24.24,126600,7239,8.15万,66.86,-5.07,1.73,-165.26,2.33,1.31,0.292㈡,6.51,1.37,3.1,-0.07,35.12,   4.49㈡,9.69,7.3,6.1,1.67,26917,21,--  ,--  ,--  
000023,深天地Ａ,-5.87,-0.3,9.78,--  ,11.33,水泥,材料-建材,         13.57亿,19930429,-0.61,9.77,         13.57亿,商品混凝土,9.78,30024,3017.44,--  ,2.16,深圳,0.02,429,10.33,10.35,9.75,10.39,1.05,5.77,10.05,18459,11565,1.6,100,770,--  ,16.11,--  ,--  ,1.39,-3.57,1467,20,0.0015,-2,-4.77,-10.61,-24.07,-28.04,3.87,          7.58亿,55.87,--  ,0.81,-- -- ,2,14,9,-0.58,-0.38,-6.16,-3.27,-5.32,-5.51,0.31,-2.6,20220825,1.39,--  ,--  ,18.44,3.48,1.38,73.64,14.42,1.28,0.2,13,1.26,5.68,1.01,2.15,2.37,-0.66,0,-0.66,-0.66,-0.62,-0.62,0.58,0.72,0.91,11227,6905,6.75万,-1350.97,-73.35,3.9,18.82,6.33,0,-0.444㈡,2.51,0.73,0.42,0.52,18.87, -17.70㈡,-10.42,-30.64,-30.8,--  ,1021,23,--  ,--  ,--  
000025,特 力Ａ,2.37,-0.04,20.28,100.53,29.7,汽车服务,可选消费-汽车类,         87.42亿,19930621,0.47,20.27,         79.66亿,汽车销售,20.28,249425,49157.63,65.17,6.35,深圳,0.16,3304,19.82,20.69,18.88,19.81,2.12,9.14,19.71,127794,121631,1.05,314,89,--  ,419.39,--  ,--  ,3.93,4.68,3984,63,0.0016,2,4.22,-4.34,-29.07,35.75,18.58,         27.23亿,31.15,65.71,1.03,放量上攻,13,10,10,0.05,4.44,-4.69,-0.5,2.32,-1.98,7.42,2.88,20220829,4.31,0.38,--  ,19.02,14.66,0.24,21.68,7.49,1.13,0.49,2.72,0.27,0.55,4.31,2.5,1.88,0.54,0.23,0.54,0.43,0.43,0.31,5.77,-0.11,-0.23,73270,2355,4.78万,-2.39,0.21,5.96,-772.38,34.97,0.13,0.101㈡,3.4,1,1.34,-0.03,77.06,   2.97㈡,24.67,21.44,17.24,--  ,298,25,--  ,--  ,--  
000026,飞亚达,-3.74,0.21,9.53,14.41,25.1,其他商业,商贸-商业连锁,         40.56亿,19930603,-0.37,9.52,         34.25亿,手表零售服务业务,9.53,33785,3266.32,10.86,0.94,深圳,0.02,397,9.9,9.91,9.47,9.9,1.26,4.44,9.67,23652,10133,2.33,3,77,--  ,33.26,--  ,--  ,3.59,-1.43,1245,27,0.0008,-3,-6.29,-7.66,-7.39,-17.49,1.72,         18.72亿,46.16,14.28,0.66,空头排列,3,10,11,0,0.1,-4.34,-2.32,-3.74,-3.83,0.63,-1.41,20220820,4.26,0.58,--  ,41.62,29.92,--  ,28.12,29.48,3.4,0.32,11.12,19.8,4.2,10.47,21.84,13.74,1.79,0.02,1.78,1.41,1.41,1.3,13.54,2.78,1.83,34677,7336,6.99万,-39.76,-21.38,1.36,14.57,1.86,2.98,0.340㈡,7.02,2.46,3.18,0.65,71.88,   4.70㈡,37.09,8.2,6.44,0.25,5081,26,--  ,--  ,--  
000027,深圳能源,-4.48,-0.32,5.97,13.22,54,火力发电,能源-电力,        284.02亿,19930903,-0.28,5.97,        284.02亿,电力-燃煤,5.98,333932,20281.07,13.97,0.7,深圳,0.01,8078,6.27,6.27,5.96,6.25,1.6,4.96,6.07,204757,129175,1.59,920,617,--  ,48.91,--  ,--  ,47.57,-2.18,3719,90,0.0002,-5,-8.15,-8.16,-5.54,-24.63,2.61,         76.51亿,26.94,23.95,0.74,-- -- ,4,14,9,0.32,0.32,-4.64,-2.88,-4.78,-4.78,0.17,-1.6,20220908,47.57,--  ,--  ,1368.1,460.68,60.27,61.92,328.75,581.31,166.25,276.17,17.73,116.35,49.33,162.84,134.11,14.21,4.86,14.06,11.09,10.74,11,130.04,41.87,49.98,170190,7530,4.50万,-45.23,18.81,1.01,6.78,1.74,2.8,0.200㈡,5.9,1.04,2.73,0.88,33.67,   2.33㈡,17.64,8.73,6.81,0.17,12808,27,--  ,--  ,--  
000028,国药一致,-2.72,-0.19,29.33,9.31,14.9,医药商业,商贸-商业连锁,        125.57亿,19930809,-0.82,29.32,        107.86亿,药品,29.33,19548,5801.93,9.66,0.53,深圳,0.01,263,30.3,30.3,29.31,30.15,1.41,3.28,29.68,11742,7806,1.5,36,2,--  ,23.94,--  ,--  ,3.68,-0.42,2216,9,0.0002,-2,-2.79,1.28,-2.94,-19.37,1.53,         37.52亿,29.88,10.17,0.29,KDJ死叉,3,5,9,0.5,0.5,-2.79,-1.56,-3.2,-3.2,0.07,-1.16,20220908,4.28,0.55,--  ,459.69,153.42,31.88,59.69,349.67,8.36,6.82,250.29,79.05,190.66,43.72,361.29,319.39,10.32,0.49,10.35,7.95,6.74,6.53,103.06,10.42,5.46,43689,4184,12.27万,-9.07,8.94,0.82,12.05,0.35,1.99,1.570㈡,35.84,10.21,24.07,2.43,33.38,   4.39㈡,11.6,2.86,2.2,--  ,39386,28,--  ,--  ,--  
000029,深深房Ａ,-6.89,-0.56,8.78,30.6,--  ,区域地产,建筑地产-房地产,         88.82亿,19930915,-0.65,8.78,         78.29亿,住宅,8.79,122022,11141.73,43.2,1.37,深圳,0.02,790,9.3,9.43,8.78,9.43,1.25,6.89,9.13,74436,47586,1.56,492,489,--  ,43.62,--  ,--  ,8.92,-4.59,2376,51,0.0006,-1,-3.94,-7.58,-23.59,13.43,4.9,         21.84亿,24.59,40.85,0.38,平台整理,13,10,10,-1.38,0,-6.89,-3.18,-5.59,-6.89,0,-3.71,20220829,10.12,1.2,--  ,57.53,39.97,2.86,25.57,49.72,0.23,0,14.64,40.7,0.72,9.78,3.66,2.4,2.01,1.67,2.02,1.43,1.45,0.17,17.39,-5.48,-2.93,61286,6017,5.28万,9.57,-47.28,2.22,-16.21,24.26,0.93,0.143㈡,3.95,0.97,1.72,-0.54,69.47,   3.63㈡,34.49,55.02,39.04,--  ,1578,29,--  ,--  ,--  
000030,富奥股份,-4.52,0.22,4.65,37.39,38.31,汽车配件,可选消费-汽车类,         84.19亿,19930929,-0.22,4.64,         81.89亿,底盘系统,4.65,64817,3069.55,10.48,0.37,吉林,0,911,4.88,4.89,4.62,4.87,1.81,5.54,4.74,38843,25974,1.5,1176,1191,--  ,4.05,--  ,--  ,17.61,-2.21,1947,33,0.0002,-4,-10.58,-17.55,-19.69,-34.69,1.17,         25.73亿,30.57,19.3,1.14,MACD死叉,9,10,11,0.21,0.41,-5.13,-2.67,-4.71,-4.91,0.65,-1.85,20220829,18.11,0.48,--  ,139.8,70.66,9.58,42.61,65.22,28.9,6.56,47.81,12.43,23.99,5.49,55.51,52.06,0.37,2.03,0.36,0.44,1.13,0.88,43.31,-1.81,-9.19,30674,19600,9.11万,-77.35,-16.84,1.19,-46.4,1.52,5.85,0.070㈡,3.9,0.3,2.39,-0.1,50.54,   1.59㈡,6.23,0.67,0.79,2.04,7695,30,--  ,--  ,--  
000031,大悦城,-3.77,-0.27,3.57,89.06,17.88,全国地产,建筑地产-房地产,        153.02亿,19931008,-0.14,3.57,        142.90亿,商品房销售及一级土地开发,3.58,192292,7014.77,147.91,0.48,深圳,0.01,1907,3.75,3.76,3.57,3.71,1.2,5.12,3.65,116280,76012,1.53,106,185,--  ,25.46,--  ,--  ,40.03,-1.47,2900,66,0.0002,-1,-3.77,2.59,-8.46,-4.29,1.86,         36.89亿,24.11,--  ,0.48,-- -- ,3,11,2,1.08,1.35,-3.77,-1.62,-4.8,-5.05,0,-2.16,20220830,42.86,--  ,--  ,2180.3,187.6,331.54,76.19,1618.32,36,16.87,1080.55,1071.39,4.71,87.41,150.01,99.09,20.09,-0.82,20.84,10.58,0.86,0.51,45.71,-3.6,8.75,115684,8933,3.19万,-86.02,5.28,0.82,-42.48,1.02,0,0.020㈡,4.38,2.04,1.07,-0.08,8.6,   0.46㈡,33.94,13.39,7.05,0.02,10186,31,--  ,--  ,--  
000032,深桑达Ａ,-0.37,-0.14,13.6,--  ,40.28,元器件,信息产业-元器件,        154.76亿,19931028,-0.05,13.6,         87.69亿,高科技产业工程服务,13.61,29747,4103.36,42.88,0.46,深圳,0,467,13.59,14,13.5,13.65,1.02,3.66,13.79,14906,14841,1,92,44,--  ,0.68,--  ,--  ,6.45,1.94,1663,18,0.0003,-3,-4.29,-12.71,-10.7,-34.11,0.85,         47.74亿,30.85,--  ,1.13,-- -- ,9,13,13,-0.44,2.56,-1.1,1.03,0.07,-2.86,0.74,-1.39,20220902,11.38,--  ,--  ,472.44,55.66,36.34,80.53,371.51,42.53,10.7,312.31,8.96,102.24,32.18,216.3,193.83,2.4,-0.37,2.48,0.31,-3.32,-3.56,9.49,-16.49,6.2,19193,18289,24.87万,-1018.95,25.15,2.78,-9.39,0.72,0.73,-0.290㈡,4.89,2.83,0.83,-1.45,11.78,  -5.96㈡,10.39,1.11,0.14,6.64,20696,32,--  ,--  ,--  
000034,神州数码,3.81,0.06,17.7,15.04,115.46,综合类,综合类-综合类,        117.27亿,19940509,0.65,17.7,         95.96亿,消费电子业务,17.71,195664,34969.66,47.44,3.61,深圳,0,770,16.95,18.7,16.95,17.05,1.97,10.26,17.87,78696,116968,0.67,111,241,--  ,29.66,--  ,--  ,5.42,6.12,3976,49,0.0009,1,0.8,-10.97,17.37,13.18,4.73,         73.27亿,62.48,14.91,0.84,EXPMA死叉,1,10,11,-0.59,9.68,-0.59,4.81,4.42,-5.35,4.42,-1,20220913,6.63,--  ,--  ,384.64,66.78,5.53,81.2,310.92,1.86,2.45,301.6,120.08,115.34,38.44,576.74,554.52,5.11,0.12,5.14,4.07,3.9,3.77,21.33,-1.33,-8.2,41266,10032,17.76万,400.61,1.72,1.75,-88.05,0.2,1.08,0.610㈡,10.09,5.8,3.22,-0.2,17.36,   5.84㈡,3.85,0.89,0.71,1.29,5210,34,--  ,--  ,--  
