代码,名称,涨幅%,涨速%,现价,市盈(动),行业PE,细分行业,所属行业,AB股总市值,涨跌,买价,流通市值,主营构成,卖价,总量,总金额,市盈(静),换手%,地区,开盘换手Z,现量,今开,最高,最低,昨收,量比,振幅%,均价,内盘,外盘,内外比,买量,卖量,未匹配量,开盘金额,封成比,封单额,流通股(亿),强弱度%,活跃度,笔均量,笔换手,连涨天,3日涨幅%,20日涨幅%,60日涨幅%,年初至今%,换手Z,流通市值Z,流通比例Z%,市盈(TTM),贝塔系数,近日指标提示,短期形态,中期形态,长期形态,开盘%,最高%,最低%,均涨幅%,实体涨幅%,回头波%,攻击波%,现均差%,财务更新,上市日期,总股本(亿),B/A股(亿),H股(亿),总资产(亿),净资产(亿),少数股权(亿),资产负债率%,流动资产(亿),固定资产(亿),无形资产(亿),流动负债(亿),存货(亿),应收账款(亿),资本公积金(亿),营业收入(亿),营业成本(亿),营业利润(亿),投资收益(亿),利润总额(亿),税后利润(亿),净利润(亿),扣非净利润(亿),未分利润(亿),经营现金流(亿),总现金流(亿),股东人数,人均持股,人均市值,利润同比%,收入同比%,市净率,市现率,市销率,股息率%,每股收益,每股净资,每股公积,每股未分配,每股现金流,权益比%,净益率%,毛利率%,营业利润率%,净利润率%,研发费用(亿),员工人数,交易代码,自选日,自选价,自选收益%
605003,众望布艺,1.35,0,19.54,14.94,21.22,纺织,日常消费-纺织服饰,         21.49亿,0.26,19.52,          5.37亿,装饰面料,19.54,2423,471.08,14.6,0.88,浙江,0,57,19.28,19.55,19.28,19.28,0.4,1.4,19.45,847,1576,0.54,4,21,--  ,2.12,--  ,--  ,0.28,1.3,504,5,0.0017,1,-0.97,-4.22,-7.79,-30.14,0.88,          5.37亿,25,15.04,0.33,MACD金叉,9,14,14,0,1.4,0,0.88,1.35,-0.05,1.35,0.47,20220830,20200908,1.1,--  ,--  ,11.77,11.12,--  ,5.52,6.27,1.33,0.69,0.62,0.95,0.52,5.55,2.48,1.61,0.84,0.03,0.84,0.72,0.72,0.64,3.98,0.77,-1.06,5012,5487,10.72万,-5.66,-10.29,1.93,27.82,8.66,2.1,0.650㈡,10.11,5.05,3.62,0.7,94.48,   6.47㈡,35.23,33.74,28.99,0.08,662,605003,--  ,--  ,--  
605005,合兴股份,0.23,0.53,17.15,47.86,39.32,汽车配件,可选消费-汽车类,         69.31亿,0.04,17.12,          8.79亿,汽车电子,17.15,5082,868.48,35.54,0.99,浙江,0,102,17.11,17.41,16.91,17.11,0.61,2.92,17.09,3054,2028,1.51,23,20,--  ,1.03,--  ,--  ,0.51,0.19,593,9,0.0017,2,-0.53,-11.73,-1.66,-27.45,0.99,          8.79亿,12.69,43.01,0.42,-- -- ,10,2,1,0,1.75,-1.17,-0.12,0.23,-1.49,1.42,0.35,20220809,20210119,4.04,--  ,--  ,18.26,14.88,--  ,18.51,11.05,4.24,0.52,2.73,5.44,3.01,4.27,6.44,4.52,0.84,0.01,0.83,0.72,0.72,0.67,6.28,0.69,-0.78,11550,4439,7.61万,-31.86,-4.03,4.66,100.81,10.76,0.87,0.180㈡,3.68,1.06,1.55,0.17,81.49,   4.87㈡,29.79,12.98,11.24,0.39,2064,605005,--  ,--  ,--  
605006,山东玻纤,1.27,0.1,9.55,8.23,17.28,玻璃,材料-建材,         57.30亿,0.12,9.54,         27.08亿,无碱纱,9.55,18935,1804.46,10.49,0.67,山东,0,183,9.48,9.63,9.45,9.43,0.73,1.91,9.53,7731,11204,0.69,54,216,--  ,7.68,--  ,--  ,2.84,1.23,1160,16,0.0006,1,-2.16,-4.5,-8.44,-16.88,0.92,         19.62亿,34.24,10.17,1.2,-- -- ,9,10,1,0.53,2.12,0.21,1.06,0.74,-0.83,1.06,0.21,20220823,20200903,6,--  ,--  ,48.39,26.51,--  ,45.21,12.27,33.65,1.31,9.51,1.82,1.49,5.86,15.95,10.13,4.11,0,4.12,3.48,3.48,3.4,12.53,4,-3.81,29085,7064,6.75万,5.27,10.27,2.25,14.32,3.59,0.96,0.580㈡,4.24,0.98,2.09,0.67,54.79,  13.13㈡,36.51,25.79,21.81,0.59,2758,605006,--  ,--  ,--  
605007,五洲特纸,-1.38,0.06,15.68,14.68,20.27,造纸,材料-造纸,         62.72亿,-0.22,15.68,         12.91亿,食品包装纸,15.7,19534,3075.45,16.08,2.37,浙江,0,118,15.9,16.15,15.57,15.9,0.98,3.65,15.74,12532,7002,1.79,1,18,--  ,1.75,--  ,--  ,0.82,-1.43,1472,13,0.0016,-3,-6.16,-8.41,-0.95,-30.96,2.37,         12.91亿,20.59,18.3,1.41,KDJ死叉,4,14,9,0,1.57,-2.08,-1.01,-1.38,-2.91,0.71,-0.38,20220830,20201110,4,--  ,--  ,60.33,22.09,--  ,63.38,32.4,17.62,1.7,27.29,6.48,9.26,4.61,29.73,25.23,2.47,0,2.64,2.14,2.14,1.92,11.51,2.11,1.06,10756,7657,12.01万,-18.17,81.87,3.06,29.73,2.11,1.91,0.530㈡,5.13,1.15,2.88,0.53,36.62,   9.67㈡,15.15,8.29,7.19,0.75,1264,605007,--  ,--  ,--  
605008,长鸿高科,0.55,-0.05,16.57,39.93,75.47,橡胶,材料-化工,        106.44亿,0.09,16.56,         33.62亿,SBS,16.57,14851,2454.03,57.54,0.73,浙江,0.01,115,16.6,16.7,16.36,16.48,0.35,2.06,16.52,6603,8248,0.8,39,12,--  ,18.76,--  ,--  ,2.03,0.5,1251,12,0.0006,2,-0.17,-6.91,36.49,12.19,1.35,         18.22亿,17.12,45.37,0.48,空头排列,10,8,2,0.73,1.33,-0.73,0.24,-0.18,-0.78,1.28,0.3,20220901,20200821,6.42,--  ,--  ,38.58,19.6,--  ,49.2,18.37,16.15,0.99,11.83,3.21,5.58,3.48,14.24,11.61,1.71,0,1.69,1.33,1.33,1.16,8.74,-1.67,0.1,14325,7677,12.72万,59.34,83.66,5.43,-63.93,7.48,0,0.210㈡,3.05,0.54,1.36,-0.26,50.8,   6.80㈡,18.46,12.05,9.36,0.51,420,605008,--  ,--  ,--  
605009,豪悦护理,-1.02,-0.09,41.67,20.2,20.27,造纸,材料-造纸,         65.01亿,-0.43,41.65,         21.83亿,婴儿卫生用品,41.67,21253,8874.37,17.93,4.06,浙江,0.04,532,42.31,42.39,41.41,42.1,0.61,2.33,41.76,11361,9892,1.15,6,6,--  ,85.47,--  ,--  ,0.52,-1.07,2137,10,0.0019,-2,-0.43,10.24,11.48,-22.82,4.09,         21.67亿,33.34,19.63,1.02,-- -- ,1,2,11,0.5,0.69,-1.64,-0.81,-1.51,-1.7,0.63,-0.21,20220827,20200911,1.56,--  ,--  ,38.56,28.24,--  ,26.75,24.38,10.5,0.89,9.48,2.91,3.18,13.97,12.77,9.88,1.83,0.01,1.83,1.61,1.61,1.45,12.07,1.69,-2.06,24946,2085,8.69万,-16.37,17.7,2.3,38.45,5.09,2.39,1.030㈡,18.1,8.95,7.73,1.08,73.25,   5.70㈡,22.59,14.33,12.61,0.47,1700,605009,--  ,--  ,--  
605011,杭州热电,0.67,-0.11,16.51,29.75,22.23,供气供热,公用事业-供气供热,         66.06亿,0.11,16.5,         19.99亿,热电业务,16.51,15183,2526.04,28.29,1.25,浙江,0,172,16.4,16.8,16.4,16.4,0.63,2.44,16.64,5702,9481,0.6,48,33,--  ,1.48,--  ,--  ,1.21,0.62,1021,15,0.0012,1,-3.62,1.91,-3.17,-20.93,3.79,          6.62亿,10.02,31.31,1.5,-- -- ,7,5,11,0,2.44,0,1.46,0.67,-1.73,0.67,-0.79,20220823,20210630,4,--  ,--  ,41.03,19.35,4.35,42.25,16.27,21.42,1.11,12.54,1.83,2.28,7.16,18.17,16.52,1.51,0.37,1.65,1.4,1.11,0.8,7.22,1.48,0.57,19380,2069,3.42万,-16.85,30.55,3.41,44.76,3.64,1.09,0.280㈡,4.84,1.79,1.8,0.37,47.15,   5.74㈡,9.11,8.32,7.69,0.01,803,605011,--  ,--  ,--  
605016,百龙创园,-1.72,0.04,25.71,29.09,34.04,食品,日常消费-食品饮料,         45.64亿,-0.45,25.71,         22.94亿,膳食纤维系列,25.72,11127,2878.57,43.68,1.25,山东,0,112,26.16,26.45,25.66,26.16,0.72,3.02,25.87,7503,3624,2.07,241,66,--  ,5.76,--  ,--  ,0.89,-1.77,970,11,0.0013,-1,-3.74,-8.47,-5.23,2.76,1.82,         15.74亿,34.49,34.8,0.92,空头排列,4,10,10,0,1.11,-1.91,-1.11,-1.72,-2.8,0.19,-0.61,20220901,20210421,1.78,--  ,--  ,13.68,12.71,--  ,7.06,8.36,3.29,0.15,0.9,1.5,1.58,6.31,3.93,2.69,0.92,0.06,0.92,0.78,0.78,0.74,4.56,0.62,-0.53,8510,7194,18.50万,51.51,28.09,3.59,73.84,11.63,0.24,0.442㈡,7.16,3.55,2.57,0.35,92.94,   6.17㈡,31.41,23.56,19.99,0.14,607,605016,--  ,--  ,--  
605018,长华股份,2.29,0.07,13.42,103.73,39.32,汽车配件,可选消费-汽车类,         62.87亿,0.3,13.41,          5.59亿,汽车零部件收入,13.42,13410,1787.74,40.33,3.22,浙江,0.01,104,13.14,13.49,13.08,13.12,0.66,3.12,13.33,5219,8191,0.64,5,107,--  ,6.7,--  ,--  ,0.42,2.24,1131,12,0.0028,1,-4.14,-11.59,-4.48,-27.81,3.22,          5.59亿,8.9,64.29,0.94,-- -- ,14,9,1,0.15,2.82,-0.3,1.6,2.13,-0.52,2.6,0.69,20220827,20200929,4.68,--  ,--  ,31.59,26.66,--  ,15.61,15.19,6.49,2.04,4.18,5.12,1.84,14.87,7.64,6.45,0.3,0.2,0.3,0.3,0.3,0.28,6.63,0.78,3.14,8870,4699,6.31万,-65.72,7.86,2.36,80.54,8.23,2.16,0.070㈡,5.69,3.17,1.42,0.17,84.39,   1.14㈡,15.54,3.95,3.97,0.44,2187,605018,--  ,--  ,--  
605020,永和股份,7.81,-0.14,33.54,32.97,17.23,化工原料,材料-化工,         90.47亿,2.43,33.54,         41.28亿,氟碳化学品,33.55,53795,17685.16,32.54,4.37,浙江,0,1213,31.39,34.1,30.62,31.11,1.2,11.19,32.87,19445,34350,0.57,96,26,--  ,4.08,--  ,--  ,1.23,7.76,2522,21,0.0017,2,1.97,11.87,48.6,10.15,4.98,         36.25亿,40.07,29.81,0.78,-- -- ,8,8,3,0.9,9.61,-1.58,5.66,6.85,-1.64,9.54,2.15,20220830,20210709,2.7,--  ,--  ,42.15,21.12,0.01,49.87,15.3,13.02,1.38,18.32,5.27,3.65,7.89,17.66,14.53,1.8,0,1.8,1.37,1.37,1.3,10.01,1.36,0.28,25326,4268,14.31万,22.84,34.23,4.28,66.48,5.12,0.75,0.510㈡,7.83,2.93,3.71,0.5,50.1,   6.50㈡,17.7,10.2,7.78,0.21,2164,605020,--  ,--  ,--  
