代码,名称,涨幅%,涨速%,现价,市盈(动),行业PE,细分行业,所属行业,AB股总市值,涨跌,买价,流通市值,主营构成,卖价,总量,总金额,市盈(静),换手%,地区,开盘换手Z,现量,今开,最高,最低,昨收,量比,振幅%,均价,内盘,外盘,内外比,买量,卖量,未匹配量,开盘金额,封成比,封单额,流通股(亿),强弱度%,活跃度,笔均量,笔换手,连涨天,3日涨幅%,20日涨幅%,60日涨幅%,年初至今%,换手Z,流通市值Z,流通比例Z%,市盈(TTM),贝塔系数,近日指标提示,短期形态,中期形态,长期形态,开盘%,最高%,最低%,均涨幅%,实体涨幅%,回头波%,攻击波%,现均差%,财务更新,上市日期,总股本(亿),B/A股(亿),H股(亿),总资产(亿),净资产(亿),少数股权(亿),资产负债率%,流动资产(亿),固定资产(亿),无形资产(亿),流动负债(亿),存货(亿),应收账款(亿),资本公积金(亿),营业收入(亿),营业成本(亿),营业利润(亿),投资收益(亿),利润总额(亿),税后利润(亿),净利润(亿),扣非净利润(亿),未分利润(亿),经营现金流(亿),总现金流(亿),股东人数,人均持股,人均市值,利润同比%,收入同比%,市净率,市现率,市销率,股息率%,每股收益,每股净资,每股公积,每股未分配,每股现金流,权益比%,净益率%,毛利率%,营业利润率%,净利润率%,研发费用(亿),员工人数,交易代码,自选日,自选价,自选收益%
000001,平安银行,-0.79,0.08,12.51,5.5,4.3,银行,金融-银行,       2427.68亿,-0.1,12.5,       2427.63亿,零售金融业务,12.51,786363,98343.39,6.68,0.41,深圳,0,10006,12.62,12.69,12.43,12.61,0.76,2.06,12.51,446986,339377,1.32,4093,2418,--  ,466.26,--  ,--  ,194.06,-0.71,4389,179,0.0001,-2,0.24,1.62,-11.21,-23.02,0.91,       1075.97亿,44.32,5.94,0.38,KDJ死叉,9,13,13,0.08,0.63,-1.43,-0.79,-0.87,-1.42,0.64,0,20220818,19910403,194.06,--  ,--  ,51087.76,4120.98,--  ,91.93,0,112.68,55.16,0,0,0,808.16,920.22,640.61,279.61,77.69,277.83,220.88,220.88,220.42,1693.41,1504.83,-205.95,493029,17445,21.82万,25.62,8.67,0.71,1.61,2.64,1.82,1.030㈡,17.63,4.16,8.73,7.75,8.07,   5.36㈡,30.39,30.39,24,--  ,40745,1,--  ,--  ,--  
000002,万 科Ａ,-0.24,-0.17,16.8,7.99,16.32,全国地产,建筑地产-房地产,       1633.67亿,-0.04,16.8,       1632.52亿,房地产及相关业务,16.81,696804,116590.23,8.68,0.72,深圳,0.01,6635,16.93,16.95,16.57,16.84,0.72,2.26,16.73,314991,381813,0.82,790,598,--  ,694.42,--  ,--  ,97.17,-0.15,4673,149,0.0002,-1,5.72,8.53,-0.47,-10.54,1.08,       1087.72亿,66.58,8.24,0.43,-- -- ,13,14,13,0.53,0.65,-1.6,-0.65,-0.77,-0.88,1.39,0.42,20220831,19910129,116.31,--  ,19.07,18792.02,2342.35,1574.74,79.16,15377.16,142.22,112.02,12434.38,10230.27,65.22,204.77,2069.16,1645.71,242.38,6.2,243.59,181.03,122.23,117.21,936.44,82.88,-33.03,518181,12495,20.99万,10.64,23.82,0.83,23.58,0.94,5.77,1.050㈡,20.28,1.76,8.05,0.71,12.46,   5.22㈡,20.46,11.71,8.75,2.89,139494,2,--  ,--  ,--  
000004,ST国华,1.4,-0.2,9.39,--  ,326.72,软件服务,信息产业-软件服务,         12.47亿,0.13,9.39,         10.92亿,安全类,9.4,15000,1397.45,--  ,1.29,深圳,0.01,315,9.21,9.43,9.21,9.26,0.83,2.38,9.32,9066,5934,1.53,33,175,--  ,9.85,--  ,--  ,1.16,1.49,443,34,0.0029,1,-1.37,-0.84,-2.39,-51.65,1.82,          7.75亿,62.16,--  ,0.79,-- -- ,7,11,13,-0.54,1.84,-0.54,0.65,1.95,-0.42,1.95,0.76,20220901,19910114,1.33,--  ,--  ,10.41,9.12,0,12.35,5.45,0.02,0.32,1.24,0.21,3.23,12.09,0.23,0.09,-0.4,0,-0.41,-0.36,-0.35,-0.36,-4.66,-0.34,-0.34,17285,4778,4.49万,-681.1,-75.63,1.61,-37.13,55.04,0,-0.230㈡,5.85,9.1,-3.51,-0.25,87.66,  -3.88㈡,59.99,-178.49,-158.79,0.22,309,4,--  ,--  ,--  
000005,ST星源,0.56,0,1.81,142.63,28.74,环境保护,公用事业-环境保护,         19.16亿,0.01,1.81,         19.15亿,环保业务收入,1.82,38238,690.17,13.78,0.36,深圳,0,948,1.8,1.82,1.79,1.8,0.71,1.67,1.8,21550,16688,1.29,2155,11071,--  ,3.6,--  ,--  ,10.58,0.64,262,146,0.0014,1,-2.68,3.43,-0.55,-21.3,0.42,         16.51亿,86.19,--  ,0.39,-- -- ,3,9,9,0,1.11,-0.56,0,0.56,-0.55,1.12,0.56,20220827,19901210,10.59,--  ,--  ,23.71,13.84,0.98,37.48,12.34,0.24,0.53,8.18,0.14,1.58,6.81,0.89,0.76,0.03,0.39,0.04,0.04,0.07,0.04,-3.85,0.31,-0.38,91786,9940,1.80万,-96.53,-45.39,1.38,62.51,21.44,0,0.006㈡,1.31,0.64,-0.36,0.03,58.37,   0.49㈡,14.98,3.88,4.63,0.07,563,5,--  ,--  ,--  
000006,深振业Ａ,0.46,0,4.33,13.12,--  ,区域地产,建筑地产-房地产,         58.45亿,0.02,4.32,         58.45亿,房产销售,4.33,115604,4971.76,10.79,0.86,深圳,0,1369,4.29,4.34,4.27,4.31,0.81,1.62,4.3,51538,64066,0.8,665,2555,--  ,17.93,--  ,--  ,13.5,0.55,2377,49,0.0004,2,1.88,5.87,3.1,-0.23,1.36,         36.83亿,63.01,15.53,0.52,多头排列,14,10,11,-0.46,0.7,-0.93,-0.23,0.93,-0.23,1.41,0.7,20220825,19920427,13.5,--  ,--  ,244.67,77.05,5.56,66.23,204.55,0.42,0,86,162.44,0.18,4.84,13.54,8.03,3.15,0.36,3.16,2.4,2.23,2.22,37.6,2.42,10.02,66101,12868,5.57万,-42.59,-8.1,0.76,24.11,4.32,2.79,0.165㈡,5.71,0.36,2.79,0.18,31.49,   2.89㈡,40.73,23.27,17.75,--  ,403,6,--  ,--  ,--  
000007,全新好,3.05,0.11,8.78,--  ,--  ,酒店餐饮,社会服务-酒店餐饮,         30.42亿,0.26,8.77,         27.13亿,汽车销售,8.78,278992,24192.62,76.1,9.03,深圳,0.13,5785,8.62,8.88,8.47,8.52,1.31,4.81,8.67,125590,153402,0.82,1,4404,--  ,301.44,--  ,--  ,3.09,3.14,2517,111,0.0036,2,9.2,11.7,23.84,44.17,10.75,         22.79亿,74.92,94.28,0,多头排列,8,8,12,1.17,4.23,-0.59,1.76,1.86,-1.13,3.66,1.29,20220830,19920413,3.46,--  ,--  ,4.33,0.91,0.11,76.43,3.08,0.48,0,2.12,0.26,0.15,1.57,1.19,1.02,-0.02,-0.01,-0.11,-0.12,-0.1,0,-3.59,0.87,0.83,9465,27424,24.08万,-337.37,116.93,33.31,34.84,25.52,0,-0.029㈡,0.26,0.45,-1.04,0.25,21.09, -10.94㈡,14.45,-1.78,-10.06,--  ,82,7,--  ,--  ,--  
000008,神州高铁,0.84,0,2.4,--  ,20.99,运输设备,装备制造-运输设备,         66.74亿,0.02,2.4,         64.67亿,车辆检修,2.41,102730,2467.3,--  ,0.38,北京,0,1662,2.39,2.42,2.38,2.38,0.6,1.68,2.4,61725,41005,1.51,3589,5867,--  ,11.09,--  ,--  ,26.94,0.93,1845,56,0.0002,1,-1.64,-0.83,-5.14,-18.37,0.63,         39.17亿,58.69,--  ,0.79,平台整理,7,2,5,0.42,1.68,0,0.84,0.42,-0.83,0.84,0,20220831,19920507,27.81,--  ,--  ,117.96,51.22,1.33,55.46,54.44,4.62,2.69,49.3,11.52,24.98,27.88,5.81,3.51,-0.78,0.61,-0.8,-0.85,-0.84,-1.01,-2.72,2.39,-3.82,98842,16512,3.96万,43.39,10.05,1.3,27.94,11.49,0,-0.030㈡,1.84,1,-0.1,0.09,43.42,  -1.64㈡,39.62,-13.51,-14.69,0.98,2240,8,--  ,--  ,--  
000009,中国宝安,4.57,-0.19,15.09,45.98,32.22,电气设备,装备制造-电气设备,        389.20亿,0.66,15.09,        385.01亿,营业收入,15.1,788863,117730.33,37.58,3.09,深圳,0.02,12032,14.6,15.33,14.4,14.43,1.27,6.44,14.92,359542,429321,0.84,596,1553,--  ,496.69,--  ,--  ,25.51,4.66,4464,177,0.0007,1,0.8,5.6,10.39,4.86,4.49,        265.35亿,68.18,50,1.85,KDJ金叉,2,12,2,1.18,6.24,-0.21,3.4,3.36,-1.57,4.79,1.18,20220825,19910625,25.79,--  ,--  ,452.17,83.97,82.83,63.11,302.2,59.88,12.45,209.79,126.37,53.22,14.22,135.11,104.08,12.28,1.12,12.21,10.18,4.23,4.29,40.8,-2.18,1.32,246858,7123,10.75万,-37.8,68.45,4.63,-178.49,2.88,0.23,0.164㈡,3.26,0.55,1.58,-0.08,18.57,   5.04㈡,22.97,9.09,7.53,6.32,14335,9,--  ,--  ,--  
000010,美丽生态,0.56,0,3.57,200.6,7.75,建筑工程,建筑地产-建筑,         37.80亿,0.02,3.57,         18.64亿,工程组合,3.58,99570,3557.97,161.11,1.91,深圳,0.01,464,3.54,3.62,3.54,3.55,0.8,2.25,3.57,55990,43580,1.28,854,1561,--  ,9.31,--  ,--  ,5.22,0.65,1423,70,0.0013,2,-0.28,3.78,-14.8,-5.31,2.03,         17.52亿,46.36,151.78,1.12,-- -- ,11,5,14,-0.28,1.97,-0.28,0.56,0.85,-1.38,0.85,0,20220829,19951027,10.59,--  ,--  ,45.75,12.51,3.44,65.14,35.54,0.16,0.02,28.26,1.64,23.33,19.68,4.35,3.74,0.21,0,0.16,0.12,0.09,-0.1,-17.84,-5.71,3.3,38064,12893,4.60万,18.09,-22.79,3.02,-6.62,8.69,0,0.009㈡,1.18,1.86,-1.69,-0.54,27.34,   0.75㈡,14.01,4.86,2.73,--  ,290,10,--  ,--  ,--  
000011,深物业A,-1.46,0.2,10.14,12.05,--  ,区域地产,建筑地产-房地产,         60.43亿,-0.15,10.13,         53.38亿,房地产,10.14,47081,4779.6,6.02,0.89,深圳,0.01,314,10.26,10.32,10.07,10.29,1.28,2.43,10.15,29457,17624,1.67,423,119,--  ,12.83,--  ,--  ,5.26,-1.37,1715,27,0.0005,-1,-0.39,-0.78,-10.27,-7.65,2.52,         18.96亿,31.38,10.47,0.56,空头排列,13,10,9,-0.29,0.29,-2.14,-1.36,-1.17,-1.74,0.7,-0.1,20220829,19920330,5.96,0.68,--  ,151.66,41.38,0.39,72.46,130.69,0.89,0.01,70.09,98.87,3.73,0.8,19.88,10.69,3.33,0.01,3.34,2.41,2.51,2.57,34.38,-3.96,-4.93,50123,5080,5.15万,-62.98,-26.54,1.46,-15.26,3.04,6.71,0.421㈡,6.94,0.14,5.77,-0.66,27.28,   6.06㈡,46.25,16.74,12.14,0.03,7658,11,--  ,--  ,--  
000012,南 玻Ａ,-1.37,0,6.49,9.95,17.28,玻璃,材料-建材,        199.29亿,-0.09,6.49,        126.99亿,玻璃产品,6.5,286207,18561.21,13.03,1.46,深圳,0,2626,6.62,6.64,6.43,6.58,0.97,3.19,6.49,162880,123327,1.32,2666,1476,--  ,23.5,--  ,--  ,19.57,-1.28,3554,81,0.0004,-1,0.62,0.78,6.05,-33.3,2.34,         79.21亿,39.75,16.92,0.78,-- -- ,14,2,11,0.61,0.91,-2.28,-1.37,-1.96,-2.26,0.93,0,20220831,19920228,30.71,11.09,--  ,224.71,118.17,4.44,45.43,77.76,93.36,12.1,63.13,17.67,8.42,5.97,65.19,46.38,11.66,0.16,11.78,10.09,10.01,8.88,68.38,9.03,1.04,171669,13572,8.81万,-25.98,-1.45,1.69,22.07,3.06,3.08,0.330㈡,3.85,0.19,2.23,0.29,52.59,   8.47㈡,28.86,17.89,15.47,2.66,11910,12,--  ,--  ,--  
000014,沙河股份,-1.99,0.68,8.86,24.46,16.32,全国地产,建筑地产-房地产,         21.45亿,-0.18,8.85,         21.45亿,房地产销售,8.86,333135,29320.37,60.54,13.76,深圳,0.4,4148,9.24,9.24,8.66,9.04,4.22,6.42,8.8,179966,153169,1.17,135,546,--  ,593.67,--  ,--  ,2.42,-1.91,3717,90,0.0037,-1,5.73,12.15,-2.96,35.06,20.86,         14.15亿,65.98,21.29,0.43,-- -- ,11,14,2,2.21,2.21,-4.2,-2.65,-4.11,-4.11,2.31,0.66,20220830,19920602,2.42,--  ,--  ,23.9,9.62,0.65,57.03,20.8,0.24,0,11.32,16.31,0.01,0.1,3.62,2.32,0.52,0,0.58,0.43,0.44,0.39,4.78,-0.6,0.21,29911,5340,4.73万,304.28,1926.91,2.23,-35.53,5.92,0.47,0.181㈡,3.97,0.04,1.97,-0.25,40.25,   4.56㈡,36,14.34,11.96,--  ,128,14,--  ,--  ,--  
000016,深康佳Ａ,2.2,0,5.57,38.8,16.41,家用电器,可选消费-家用电器,        134.12亿,0.12,5.57,         88.93亿,工贸业务,5.58,102749,5686.82,14.81,0.64,深圳,0,1819,5.47,5.59,5.44,5.45,0.49,2.75,5.53,48189,54560,0.88,718,779,--  ,8.04,--  ,--  ,15.97,2.29,2268,45,0.0003,1,-1.59,1.46,-2.45,-14.31,0.96,         59.76亿,44.55,13.51,1.07,KDJ金叉,11,2,11,0.37,2.57,-0.18,1.47,1.83,-0.36,2.39,0.73,20220831,19920327,24.08,8.11,--  ,393.13,92.83,11,73.59,206.63,39.61,9.71,176.62,40.18,33.73,3.67,168.95,164.82,-0.57,7.38,-0.31,0.58,1.73,-7.42,52.82,-4.21,-0.94,87658,21495,11.97万,102.25,-22.53,1.44,-31.84,0.79,0.9,0.072㈡,3.86,0.15,2.19,-0.17,23.61,   1.86㈡,2.44,-0.34,0.34,2.37,16238,16,--  ,--  ,--  
000017,深中华A,2.12,0.23,4.34,--  ,22.98,服饰,日常消费-纺织服饰,         23.93亿,0.09,4.33,         13.15亿,珠宝黄金,4.34,77575,3347.27,--  ,2.56,深圳,0.02,490,4.22,4.37,4.2,4.25,1.05,4,4.31,31661,45914,0.69,90,367,--  ,22.16,--  ,--  ,3.03,2.2,1378,56,0.0019,2,0.93,2.12,30.72,21.57,3.24,         10.39亿,43.43,--  ,1.34,KDJ金叉,12,1,8,-0.71,2.82,-1.18,1.41,2.84,-0.69,3.33,0.71,20220829,19920331,5.51,2.48,--  ,1.01,0.07,0.15,77.55,0.96,0.03,0,0.79,0.24,0.43,6.28,1.07,1,-0.01,0,-0.01,-0.01,-0.01,-0.02,-12.04,-0.09,-0.1,52427,9305,4.04万,-208.63,97.05,321.83,-257.87,22.43,0,-0.003㈡,0.01,1.14,-2.18,-0.02,7.33, -19.95㈡,6.05,-1.34,-1.15,0.01,61,17,--  ,--  ,--  
000019,深粮控股,0.75,0,8.06,19.55,--  ,农业综合,日常消费-农林牧渔,         92.89亿,0.06,8.06,         33.54亿,粮油贸易及加工,8.07,118306,9500.84,21.67,2.84,深圳,0.04,1811,8.02,8.08,7.93,8,0.9,1.88,8.03,55640,62666,0.89,1105,917,--  ,85.25,--  ,--  ,4.16,0.84,2295,52,0.0012,2,0.25,2.81,-3.36,20.12,4.37,         21.82亿,23.49,21.99,0.21,平台整理,3,5,8,0.25,1,-0.87,0.37,0.5,-0.25,1.64,0.38,20220901,19921012,11.53,0.52,--  ,76.33,45.8,0.72,39.05,41.75,21.23,5.95,21.55,36.19,1.74,12.6,43.38,37.76,2.4,0.03,2.41,2.38,2.38,2.27,17.62,2.6,0.22,54388,5928,4.78万,-2.59,-17.56,2.03,35.68,2.14,3.1,0.206㈡,3.97,1.09,1.53,0.23,60,   5.19㈡,12.96,5.53,5.49,0.1,1278,19,--  ,--  ,--  
000020,深华发Ａ,3.72,0.21,9.77,157.07,41.79,元器件,信息产业-元器件,         27.66亿,0.35,9.76,         17.70亿,显示器,9.77,57574,5575.76,384.13,3.18,深圳,0.05,1541,9.43,9.89,9.41,9.42,0.52,5.1,9.68,22146,35428,0.63,54,1089,--  ,27.16,--  ,--  ,1.81,3.8,2116,27,0.0015,2,1.36,2.3,7.13,6.66,9.3,          6.05亿,21.85,306.73,0,阶段放量,8,6,11,0.11,4.99,-0.11,2.76,3.61,-1.21,3.83,0.96,20220823,19920428,2.83,1.02,--  ,6.38,3.52,--  ,44.8,3.61,1.83,0.38,2.82,0.66,1.34,1.47,3.54,3.12,0.12,0,0.12,0.09,0.09,0.04,-1.55,0.5,0.28,24938,6571,6.42万,26,-9.57,7.85,55.64,7.81,0,0.031㈡,1.24,0.52,-0.55,0.18,55.2,   2.50㈡,11.94,3.29,2.49,0.05,1133,20,--  ,--  ,--  
000021,深科技,2.06,0.24,12.39,21.22,51.12,IT设备,信息产业-IT设备,        193.36亿,0.25,12.38,        193.28亿,高端制造,12.39,147608,18205.36,24.94,0.95,深圳,0.01,1543,12.25,12.42,12.15,12.14,0.96,2.22,12.33,63231,84377,0.75,1206,982,--  ,64.8,--  ,--  ,15.6,2.14,2874,51,0.0003,1,-0.65,-3.58,13.05,-21.03,1.61,        113.54亿,58.72,20.18,0.82,-- -- ,10,2,9,0.91,2.31,0.08,1.57,1.14,-0.24,1.98,0.49,20220826,19940202,15.61,--  ,--  ,289.09,101.52,16.13,59.3,181.95,40.79,5.87,146.92,44.42,26.33,21.45,75.52,68.2,5.52,1.29,5.52,4.61,4.56,2.29,48.33,-1.06,-24.24,130437,7026,8.70万,66.86,-5.07,1.9,-181.84,2.56,1.21,0.292㈡,6.51,1.37,3.1,-0.07,35.12,   4.49㈡,9.69,7.3,6.1,1.67,26917,21,--  ,--  ,--  
000023,深天地Ａ,1.07,-0.47,10.35,--  ,10.98,水泥,材料-建材,         14.36亿,0.11,10.34,         14.36亿,商品混凝土,10.35,17122,1768.47,--  ,1.23,深圳,0,212,10.35,10.41,10.25,10.24,1.52,1.56,10.33,9208,7914,1.16,50,23,--  ,0.93,--  ,--  ,1.39,1.16,1012,17,0.0012,1,-2.27,1.87,-6.17,-23.84,2.21,          8.02亿,55.87,--  ,0.85,-- -- ,2,5,13,1.07,1.66,0.1,0.88,0,-0.58,0.98,0.2,20220825,19930429,1.39,--  ,--  ,18.44,3.48,1.38,73.64,14.42,1.28,0.2,13,1.26,5.68,1.01,2.15,2.37,-0.66,0,-0.66,-0.66,-0.62,-0.62,0.58,0.72,0.91,11227,6905,7.15万,-1350.97,-73.35,4.13,19.92,6.69,0,-0.444㈡,2.51,0.73,0.42,0.52,18.87, -17.70㈡,-10.42,-30.64,-30.8,--  ,1021,23,--  ,--  ,--  
000025,特 力Ａ,4.08,-0.04,19.15,94.93,29.82,汽车服务,可选消费-汽车类,         82.55亿,0.75,19.14,         75.22亿,汽车销售,19.15,150921,29181.16,63,3.84,深圳,0.01,1154,18.55,19.95,18.55,18.4,2.55,7.61,19.34,71906,79015,0.91,249,526,--  ,30.98,--  ,--  ,3.93,4.16,3133,48,0.0012,1,-0.73,-5.62,-18.09,28.18,11.24,         25.71亿,31.15,63.52,1.35,KDJ金叉,9,10,10,0.82,8.42,0.82,5.11,3.23,-4.01,3.23,-1.03,20220829,19930621,4.31,0.38,--  ,19.02,14.66,0.24,21.68,7.49,1.13,0.49,2.72,0.27,0.55,4.31,2.5,1.88,0.54,0.23,0.54,0.43,0.43,0.31,5.77,-0.11,-0.23,73270,2355,4.51万,-2.39,0.21,5.63,-729.34,33.02,0.13,0.101㈡,3.4,1,1.34,-0.03,77.06,   2.97㈡,24.67,21.44,17.24,--  ,298,25,--  ,--  ,--  
000026,飞亚达,1.41,0,10.09,15.26,25.99,其他商业,商贸-商业连锁,         42.94亿,0.14,10.08,         36.27亿,手表零售服务业务,10.09,21840,2192.32,11.07,0.61,深圳,0,254,9.96,10.14,9.9,9.95,0.88,2.41,10.04,9356,12484,0.75,119,590,--  ,4.68,--  ,--  ,3.59,1.49,898,24,0.0007,2,-0.49,5.32,-0.79,-12.64,1.11,         19.82亿,46.16,14.56,0.67,KDJ金叉,14,5,9,0.1,1.91,-0.5,0.9,1.31,-0.49,1.92,0.5,20220820,19930603,4.26,0.58,--  ,41.62,29.92,--  ,28.12,29.48,3.4,0.32,11.12,19.8,4.2,10.47,21.84,13.74,1.79,0.02,1.78,1.41,1.41,1.3,13.54,2.78,1.83,34677,7336,7.40万,-39.76,-21.38,1.44,15.43,1.97,2.92,0.340㈡,7.02,2.46,3.18,0.65,71.88,   4.70㈡,37.09,8.2,6.44,0.25,5081,26,--  ,--  ,--  
000027,深圳能源,0.64,-0.31,6.28,13.91,52.52,火力发电,能源-电力,        298.76亿,0.04,6.28,        298.76亿,电力-燃煤,6.29,115252,7264.31,14.04,0.24,深圳,0,1490,6.22,6.38,6.22,6.24,0.62,2.56,6.3,52627,62625,0.84,1762,35,--  ,16.79,--  ,--  ,47.57,0.73,2632,44,0.0001,1,-3.53,2.61,-2.18,-20.71,0.9,         80.48亿,26.94,24.06,0.77,-- -- ,7,2,9,-0.32,2.24,-0.32,0.96,0.96,-1.57,0.96,-0.32,20220831,19930903,47.57,--  ,--  ,1368.1,460.68,60.27,61.92,328.75,581.31,166.25,276.17,17.73,116.35,49.33,162.84,134.11,14.21,4.86,14.06,11.09,10.74,11,130.04,41.87,49.98,170190,7530,4.73万,-45.23,18.81,1.06,7.14,1.83,2.79,0.200㈡,5.9,1.04,2.73,0.88,33.67,   2.33㈡,17.64,8.73,6.81,0.17,12808,27,--  ,--  ,--  
000028,国药一致,1.5,-0.09,30.4,9.65,15.22,医药商业,商贸-商业连锁,        130.15亿,0.45,30.4,        111.79亿,药品,30.41,28909,8741.58,9.74,0.79,深圳,0.01,560,30.1,30.45,29.95,29.95,1.18,1.67,30.24,11378,17531,0.65,92,49,--  ,38.23,--  ,--  ,3.68,1.59,2370,12,0.0003,4,3.22,5.85,5.48,-16.44,2.17,         40.50亿,31.12,10.25,0.27,多头排列,3,5,9,0.5,1.67,0,0.97,1,-0.16,1.5,0.53,20220831,19930809,4.28,0.55,--  ,459.69,153.42,31.88,59.69,349.67,8.36,6.82,250.29,79.05,190.66,43.72,361.29,319.39,10.32,0.49,10.35,7.95,6.74,6.53,103.06,10.42,5.46,43689,4306,13.09万,-9.07,8.94,0.85,12.49,0.36,1.97,1.570㈡,35.84,10.21,24.07,2.43,33.38,   4.39㈡,11.6,2.86,2.2,--  ,39386,28,--  ,--  ,--  
000029,深深房Ａ,-2.54,-0.22,8.82,30.74,--  ,区域地产,建筑地产-房地产,         89.23亿,-0.23,8.81,         78.64亿,住宅,8.82,67798,5983.79,40.4,0.76,深圳,0.01,1047,8.95,8.99,8.69,9.05,1.23,3.31,8.83,46783,21015,2.23,133,297,--  ,15.48,--  ,--  ,8.92,-2.46,1552,44,0.0005,-1,-0.89,-6.57,-10.73,13.95,2.73,         21.94亿,24.59,38.21,0.5,空头排列,1,10,10,-1.1,-0.66,-3.98,-2.43,-1.45,-1.89,1.5,-0.11,20220829,19930915,10.12,1.2,--  ,57.53,39.97,2.86,25.57,49.72,0.23,0,14.64,40.7,0.72,9.78,3.66,2.4,2.01,1.67,2.02,1.43,1.45,0.17,17.39,-5.48,-2.93,61286,6017,5.31万,9.57,-47.28,2.23,-16.28,24.37,1,0.143㈡,3.95,0.97,1.72,-0.54,69.47,   3.63㈡,34.49,55.02,39.04,--  ,1578,29,--  ,--  ,--  
000030,富奥股份,1.78,0.39,5.14,41.33,39.32,汽车配件,可选消费-汽车类,         93.06亿,0.09,5.13,         90.52亿,底盘系统,5.14,28147,1433.79,11.06,0.16,吉林,0,600,5.08,5.15,5.04,5.05,0.77,2.18,5.09,11930,16217,0.74,306,312,--  ,7.52,--  ,--  ,17.61,1.87,978,29,0.0002,2,0.39,-5.86,-7.22,-27.81,0.51,         28.44亿,30.57,20.37,0.93,KDJ金叉,1,14,11,0.59,1.98,-0.2,0.79,1.18,-0.19,1.98,0.99,20220829,19930929,18.11,0.48,--  ,139.8,70.66,9.58,42.61,65.22,28.9,6.56,47.81,12.43,23.99,5.49,55.51,52.06,0.37,2.03,0.36,0.44,1.13,0.88,43.31,-1.81,-9.19,30674,19600,10.07万,-77.35,-16.84,1.32,-51.29,1.68,5.54,0.070㈡,3.9,0.3,2.39,-0.1,50.54,   1.59㈡,6.23,0.67,0.79,2.04,7695,30,--  ,--  ,--  
000031,大悦城,-0.28,-0.27,3.57,89.06,16.32,全国地产,建筑地产-房地产,        153.02亿,-0.01,3.57,        142.90亿,商品房销售及一级土地开发,3.58,88113,3144.57,142.33,0.22,深圳,0,475,3.61,3.61,3.54,3.58,0.68,1.96,3.57,48583,39530,1.23,540,444,--  ,17.54,--  ,--  ,40.03,-0.19,2187,40,0.0001,-1,-0.55,2.29,-4.03,-4.29,0.85,         36.89亿,24.11,--  ,0.56,平台整理,11,13,9,0.84,0.84,-1.12,-0.28,-1.11,-1.11,0.85,0,20220830,19931008,42.86,--  ,--  ,2180.3,187.6,331.54,76.19,1618.32,36,16.87,1080.55,1071.39,4.71,87.41,150.01,99.09,20.09,-0.82,20.84,10.58,0.86,0.51,45.71,-3.6,8.75,115684,8933,3.19万,-86.02,5.28,0.82,-42.48,1.02,0,0.020㈡,4.38,2.04,1.07,-0.08,8.6,   0.46㈡,33.94,13.39,7.05,0.02,10186,31,--  ,--  ,--  
000032,深桑达Ａ,0.52,0.07,13.55,--  ,41.79,元器件,信息产业-元器件,        154.19亿,0.07,13.55,         87.37亿,高科技产业工程服务,13.56,30635,4131.02,42.57,0.48,深圳,0.01,836,13.4,13.68,13.3,13.48,0.48,2.82,13.48,16866,13769,1.22,344,4,--  ,64.95,--  ,--  ,6.45,0.6,1565,20,0.0003,1,-7.07,-13.03,-12.92,-34.35,0.87,         47.56亿,30.85,--  ,1.03,-- -- ,14,13,13,-0.59,1.48,-1.34,0,1.12,-0.95,1.88,0.52,20220825,19931028,11.38,--  ,--  ,472.44,55.66,36.34,80.53,371.51,42.53,10.7,312.31,8.96,102.24,32.18,216.3,193.83,2.4,-0.37,2.48,0.31,-3.32,-3.56,9.49,-16.49,6.2,18912,18560,25.15万,-1018.95,25.15,2.77,-9.35,0.71,0.74,-0.290㈡,4.89,2.83,0.83,-1.45,11.78,  -5.96㈡,10.39,1.11,0.14,6.64,20696,32,--  ,--  ,--  
000034,神州数码,3.75,0.11,17.97,15.27,117.83,综合类,综合类-综合类,        119.06亿,0.65,17.97,         97.43亿,消费电子业务,17.98,154549,27642,50,2.85,深圳,0.01,1126,17.42,18.32,17.38,17.32,0.78,5.43,17.89,66457,88092,0.75,114,132,--  ,47.56,--  ,--  ,5.42,3.84,3945,39,0.0007,1,-7.99,-6.6,16.84,14.9,3.73,         74.39亿,62.48,15.72,0.86,-- -- ,10,10,11,0.58,5.77,0.35,3.29,3.16,-1.91,3.39,0.46,20220901,19940509,6.63,--  ,--  ,384.64,66.78,5.53,81.2,310.92,1.86,2.45,301.6,120.08,115.34,38.44,576.74,554.52,5.11,0.12,5.14,4.07,3.9,3.77,21.33,-1.33,-8.2,40958,10107,18.16万,400.61,1.72,1.78,-89.4,0.21,1.03,0.610㈡,10.09,5.8,3.22,-0.2,17.36,   5.84㈡,3.85,0.89,0.71,1.29,5210,34,--  ,--  ,--  
