code,code,decimal_point,name,pre_close,sec,sse,volunit
000104,000104,2,380能源,806.7092895508,index_cn,sh,100
000105,000105,2,380材料,3308.4362792969,index_cn,sh,100
000106,000106,2,380工业,4351.0014648438,index_cn,sh,100
000107,000107,2,380可选,3813.716796875,index_cn,sh,100
000108,000108,2,380消费,11145.703125,index_cn,sh,100
000109,000109,2,380医药,12490.8427734375,index_cn,sh,100
000110,000110,2,380金融,3080.1257324219,index_cn,sh,100
000111,000111,2,380信息,7211.2548828125,index_cn,sh,100
000112,000112,2,380电信,5717.240234375,index_cn,sh,100
000113,000113,2,380公用,1883.3572998047,index_cn,sh,100
000114,000114,2,持续产业,998.7700805664,index_cn,sh,100
000115,000115,2,380等权,5994.3891601562,index_cn,sh,100
000116,000116,2,信用100,191.7633056641,index_cn,sh,100
000117,000117,2,380成长,5019.1328125,index_cn,sh,100
000118,000118,2,380价值,6351.041015625,index_cn,sh,100
000119,000119,2,380R成长,4056.0703125,index_cn,sh,100
000120,000120,2,380R价值,5422.9526367188,index_cn,sh,100
000121,000121,2,医药主题,10734.4052734375,index_cn,sh,100
000122,000122,2,农业主题,1459.3017578125,index_cn,sh,100
000123,000123,2,180动态,6296.9306640625,index_cn,sh,100
000125,000125,2,180稳定,10050.4296875,index_cn,sh,100
000126,000126,2,消费50,7464.3930664062,index_cn,sh,100
000128,000128,2,380基本,5517.9702148438,index_cn,sh,100
000129,000129,2,180波动,11289.990234375,index_cn,sh,100
000130,000130,2,380波动,8185.9213867188,index_cn,sh,100
000131,000131,2,上证高新,2188.9619140625,index_cn,sh,100
000132,000132,2,上证100,5469.8588867188,index_cn,sh,100
000133,000133,2,上证150,4073.7241210938,index_cn,sh,100
000134,000134,2,上证银行,785.5642700195,index_cn,sh,100
000135,000135,2,180高贝,5803.583984375,index_cn,sh,100
000136,000136,2,180低贝,9110.873046875,index_cn,sh,100
000137,000137,2,380高贝,4029.580078125,index_cn,sh,100
000138,000138,2,380低贝,5160.083984375,index_cn,sh,100
000139,000139,2,上证转债,317.7315063477,index_cn,sh,100
000141,000141,2,380动态,3128.7741699219,index_cn,sh,100
