code,code,volunit,decimal_point,name,pre_close,sse,sec
000105,000105,100.0,2.0,380材料,3308.4362792969,sh,index_cn
000106,000106,100.0,2.0,380工业,4351.0014648438,sh,index_cn
000107,000107,100.0,2.0,380可选,3813.716796875,sh,index_cn
000108,000108,100.0,2.0,380消费,11145.703125,sh,index_cn
000109,000109,100.0,2.0,380医药,12490.8427734375,sh,index_cn
000110,000110,100.0,2.0,380金融,3080.1257324219,sh,index_cn
000111,000111,100.0,2.0,380信息,7211.2548828125,sh,index_cn
000112,000112,100.0,2.0,380电信,5717.240234375,sh,index_cn
000113,000113,100.0,2.0,380公用,1883.3572998047,sh,index_cn
000114,000114,100.0,2.0,持续产业,998.7700805664,sh,index_cn
000115,000115,100.0,2.0,380等权,5994.3891601562,sh,index_cn
000116,000116,100.0,2.0,信用100,191.7633056641,sh,index_cn
000117,000117,100.0,2.0,380成长,5019.1328125,sh,index_cn
000118,000118,100.0,2.0,380价值,6351.041015625,sh,index_cn
000119,000119,100.0,2.0,380R成长,4056.0703125,sh,index_cn
000120,000120,100.0,2.0,380R价值,5422.9526367188,sh,index_cn
000121,000121,100.0,2.0,医药主题,10734.4052734375,sh,index_cn
000122,000122,100.0,2.0,农业主题,1459.3017578125,sh,index_cn
000123,000123,100.0,2.0,180动态,6296.9306640625,sh,index_cn
000125,000125,100.0,2.0,180稳定,10050.4296875,sh,index_cn
000126,000126,100.0,2.0,消费50,7464.3930664062,sh,index_cn
000128,000128,100.0,2.0,380基本,5517.9702148438,sh,index_cn
000129,000129,100.0,2.0,180波动,11289.990234375,sh,index_cn
000130,000130,100.0,2.0,380波动,8185.9213867188,sh,index_cn
000131,000131,100.0,2.0,上证高新,2188.9619140625,sh,index_cn
000132,000132,100.0,2.0,上证100,5469.8588867188,sh,index_cn
000133,000133,100.0,2.0,上证150,4073.7241210938,sh,index_cn
000134,000134,100.0,2.0,上证银行,785.5642700195,sh,index_cn
000135,000135,100.0,2.0,180高贝,5803.583984375,sh,index_cn
000136,000136,100.0,2.0,180低贝,9110.873046875,sh,index_cn
000137,000137,100.0,2.0,380高贝,4029.580078125,sh,index_cn
000138,000138,100.0,2.0,380低贝,5160.083984375,sh,index_cn
000139,000139,100.0,2.0,上证转债,317.7315063477,sh,index_cn
000141,000141,100.0,2.0,380动态,3128.7741699219,sh,index_cn
000142,000142,100.0,2.0,380稳定,6397.4091796875,sh,index_cn
000145,000145,100.0,2.0,优势资源,2624.87890625,sh,index_cn
000146,000146,100.0,2.0,优势制造,5531.0625,sh,index_cn
