,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
129,sh000148,消费领先,11450.4291,242.031,2.159,11208.3985,11252.9663,11468.4064,11252.9663,15236036,48589257860
130,sh000149,180红利,3470.9712,22.165,0.643,3448.8065,3457.8746,3483.6704,3453.5667,14969751,11390755655
131,sh000150,380红利,8759.3807,97.648,1.127,8661.7327,8670.6979,8780.8362,8670.6979,3364360,2332496599
132,sh000151,上国红利,1152.5875,8.273,0.723,1144.3149,1146.196,1157.1829,1144.6818,12356851,7529918203
133,sh000152,上央红利,1964.5436,18.834,0.968,1945.7095,1950.7889,1969.3361,1950.7889,15788466,11939021738
134,sh000153,上民红利,2629.3267,48.165,1.866,2581.1613,2590.848,2632.9794,2590.848,5522727,5893555391
135,sh000155,市值百强,3478.2844,54.782,1.6,3423.5027,3440.6287,3485.9825,3440.1116,33539221,74018225825
136,sh000158,上证环保,1665.8402,55.101,3.421,1610.7395,1614.3757,1667.5937,1614.3757,12023382,17583648181
137,sh000159,沪股通,3650.8232,59.377,1.653,3591.4457,3605.7356,3655.2887,3605.7356,104025036,145644720170
138,sh000160,沪新丝路,1727.8197,36.009,2.128,1691.8105,1701.1563,1730.1543,1701.1563,27131644,22960625981
139,sh000161,沪中国造,1987.1964,36.2,1.855,1950.9962,1955.0723,1988.575,1955.0723,23093012,42642743785
140,sh000162,沪互联+,3047.3838,35.233,1.17,3012.1506,3015.4128,3051.0499,3015.4128,8222714,20592577547
141,sh000170,50AH优选,6498.7542,112.694,1.765,6386.0607,6428.5456,6513.6106,6416.4506,12323386,36657899529
142,sh000171,新兴成指,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
143,sh000188,中国波指,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
144,sh000300,沪深300,5025.3569,99.01,2.01,4926.3469,4953.9453,5032.4485,4953.9453,95918257,182288108399
145,sh000688,科创50,1248.9021,29.192,2.393,1219.7097,1224.6435,1249.6048,1224.6435,2252317,11706200355
146,sh000802,500沪市,6470.6954,97.845,1.535,6372.8502,6378.8176,6477.1109,6378.8176,41453794,38529307625
147,sh000805,A股资源,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
148,sh000806,消费服务,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
149,sh000807,食品饮料,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
150,sh000808,医药生物,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
151,sh000816,细分地产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
152,sh000819,有色金属,5129.586,125.296,2.504,5004.2896,5014.6609,5140.5507,5010.5259,19665978,23208183389
153,sh000821,300红利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
154,sh000823,800有色,5290.6719,119.236,2.306,5171.436,5182.9355,5302.5946,5177.5068,12712782,15973396611
155,sh000827,中证环保,1827.2499,67.533,3.838,1759.7171,1771.218,1830.6209,1771.218,31657362,49887520100
156,sh000828,300高贝,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
157,sh000832,中证转债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
158,sh000833,中高企债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
159,sh000841,800医药,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
160,sh000842,800等权,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
161,sh000846,ESG 100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
162,sh000847,腾讯济安,2784.7133,46.542,1.7,2738.1714,2741.4565,2786.45,2741.4565,14352522,17582628617
163,sh000849,300非银,10833.1606,103.258,0.962,10729.9025,10760.9807,10855.1101,10760.9807,8926342,17679622068
164,sh000851,百发100,17614.3802,491.311,2.869,17123.0695,17213.8773,17635.778,17209.6884,26363882,102305460439
165,sh000852,中证1000,6292.4752,101.763,1.644,6190.712,6198.5324,6295.6502,6198.5324,85451650,88415198786
166,sh000853,CSSW丝路,1981.8449,44.278,2.285,1937.5666,1951.1511,1984.3252,1949.9857,21233485,46232821477
167,sh000854,500原料,4772.6944,58.427,1.239,4714.2674,4722.8964,4793.096,4715.6237,20903277,19016626615
168,sh000855,央视500,1659.0151,33.507,2.061,1625.5085,1633.4007,1661.1905,1633.4007,124604928,233178855368
169,sh000856,500工业,5628.4192,110.527,2.003,5517.8926,5533.4273,5636.3581,5533.4273,20114072,23943056104
170,sh000857,500医药,14320.2099,114.429,0.806,14205.7806,14223.3914,14350.8052,14184.5989,2747345,5880236242
171,sh000858,500信息,7146.4954,44.051,0.62,7102.4447,7098.5402,7153.0234,7085.5783,6543972,7959805933
172,sh000860,结构调整,1094.1263,21.696,2.023,1072.4304,1076.3727,1095.2838,1076.3727,26095267,31276440493
173,sh000865,上海国企,1473.2173,18.72,1.287,1454.4973,1458.2081,1474.5678,1458.2081,5701109,6881511197
174,sh000867,港中小企,3560.3426,64.051,1.832,3496.2917,3512.976,3566.4743,3512.8421,11478011,10194493803
175,sh000869,HK银行,3044.599,-3.436,-0.113,3048.0351,3065.2726,3071.3742,3032.7797,4616925,3268759323
176,sh000891,新兴综指,1554.3867,39.682,2.62,1514.705,1521.7298,1555.9835,1521.7298,146174995,222026776510
177,sh000901,小康指数,5608.8746,76.367,1.38,5532.5079,5552.4299,5616.2619,5551.0398,40968399,51342293895
178,sh000903,中证100,5196.7727,91.636,1.795,5105.1364,5135.0641,5206.6865,5132.0946,40003952,98425223134
179,sh000904,中证200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
180,sh000905,中证500,6240.5311,83.124,1.35,6157.4072,6164.8237,6249.5379,6164.8237,88849870,88261481122
181,sh000906,中证800,5208.9063,95.102,1.86,5113.8043,5137.3371,5215.7511,5137.3371,184768127,270549589521
182,sh000908,300能源,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
183,sh000909,300材料,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
184,sh000910,300工业,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
