,datetime,id,open,high,low,close,volume,open_oi,close_oi,symbol,duration,ma0,ma1,ma2,ma3,ma4,cToMa1,cToMa2,std_cToMa1,std_cToMa2,cdlBody,cdlHl,std_cdl_b,std_cdl_f,ma_body,ma_cToMa1,ma_cToMa2,ma_min1_3,ma_max1_3,ma_band1_3,kl_base_ref,kl1_3_thresh,ma_kl1_3,ma_min1_4,ma_max1_4,ma_band1_4,kl1_4_thresh,ma_kl1_4,df_12,df_23,df_34,mv1,mv2,bodyU,bodyD,bdr,upperShadow,lowerShadow,stdCdlB,stdCdlF,maBody,zdStrengh,longUShadow,longLShadow,rng3D,rng5D,rng7D,rng9D,bRng,yby,ctpj,ybyD,wygd,tp3D,tp5D,tp7D,s001,time
0,1.6170249e+18,14539.0,4953.0,4955.0,4948.0,4949.0,18932.0,966627.0,965094.0,SHFE.rb2105,300,4949.0,4949.0,4949.0,4949.0,4949.0,0.0,0.0,,,-4.0,7.0,,,,,,4949.0,4949.0,0.0,0.4949,0.5938800000000001,True,4949.0,4949.0,0.0,0.5938800000000001,True,0.0,0.0,0.0,,,4953.0,4949.0,4.0,2.0,1.0,,,,,,,,,,,4.0,False,False,False,False,False,False,False,False,2021-03-29 21:35
1,1.6170252e+18,14540.0,4949.0,4955.0,4947.0,4950.0,17016.0,965094.0,964383.0,SHFE.rb2105,300,4949.222222222223,4949.0952380952385,4949.048780487804,4949.0327868852455,4949.01652892562,0.9047619047614717,0.9512195121960758,,,1.0,8.0,,,,,,4949.0327868852455,4949.0952380952385,0.062451209993014345,0.4949048780487804,0.5938858536585365,True,4949.01652892562,4949.0952380952385,0.07870916961837793,0.5938858536585365,True,0.04645760743460414,0.015993602558410203,0.016257959625363583,,,4950.0,4949.0,1.0,5.0,2.0,,,,,,,,,,,1.0,False,False,False,False,False,False,False,False,2021-03-29 21:40
2,1.6170255e+18,14541.0,4950.0,4963.0,4948.0,4957.0,23719.0,964383.0,963308.0,SHFE.rb2105,300,4950.950617283951,4949.848072562359,4949.436644854252,4949.294006987368,4949.148487125197,7.151927437640552,7.563355145747664,,,7.0,15.0,,,,,,4949.294006987368,4949.848072562359,0.5540655749910002,0.49494366448542526,0.5939323973825104,True,4949.148487125197,4949.848072562359,0.6995854371625683,0.5939323973825104,False,0.41142770810711227,0.1426378668838879,0.1455198621715681,,,4957.0,4950.0,7.0,6.0,2.0,,,,,,,8.0,,,,7.0,False,False,False,False,False,False,False,False,2021-03-29 21:45
3,1.6170258e+18,14542.0,4957.0,4957.0,4950.0,4955.0,17393.0,963308.0,960427.0,SHFE.rb2105,300,4951.85048010974,4950.338732318325,4949.708028032093,4949.481088725487,4949.245206346268,4.661267681674872,5.2919719679066475,,,-2.0,7.0,,,,,,4949.481088725487,4950.338732318325,0.8576435928380306,0.4949708028032094,0.5939649633638513,False,4949.245206346268,4950.338732318325,1.0935259720572503,0.5939649633638513,False,0.6307042862317758,0.22693930660625483,0.23588237921921973,,,4957.0,4955.0,2.0,0.0,5.0,,,,,,,7.0,,,,2.0,False,False,False,False,False,False,False,False,2021-03-29 21:50
4,1.6170261e+18,14543.0,4955.0,4957.0,4951.0,4956.0,11753.0,960427.0,959535.0,SHFE.rb2105,300,4952.772595640909,4950.877900668961,4950.014953493943,4949.694823521372,4949.356855828149,5.122099331038953,5.985046506057188,,,1.0,6.0,,,,,,4949.694823521372,4950.877900668961,1.1830771475888469,0.4950014953493943,0.5940017944192733,False,4949.356855828149,4950.877900668961,1.5210448408124648,0.5940017944192733,False,0.8629471750182347,0.32012997257061215,0.33796769322361797,,,4956.0,4955.0,1.0,1.0,4.0,,,,,,,2.0,8.0,,,1.0,False,False,False,False,False,False,False,False,2021-03-29 21:55
5,1.6170264e+18,14544.0,4956.0,4960.0,4950.0,4957.0,19456.0,959535.0,959019.0,SHFE.rb2105,300,4953.712018831818,4951.460957748108,4950.355687469848,4949.934337504278,4949.483188789667,5.53904225189217,6.644312530152092,,,1.0,10.0,,,,,,4949.934337504278,4951.460957748108,1.5266202438297114,0.4950355687469848,0.5940426824963818,False,4949.483188789667,4951.460957748108,1.9777689584407199,0.5940426824963818,False,1.1052702782599226,0.42134996556978876,0.4511487146110085,,,4957.0,4956.0,1.0,3.0,6.0,,,,,,,2.0,7.0,,,1.0,False,False,False,False,False,False,False,False,2021-03-29 22:00
6,1.6170267e+18,14545.0,4957.0,4962.0,4954.0,4962.0,16540.0,959019.0,958273.0,SHFE.rb2105,300,4955.553792424747,4952.464676057812,4950.923702715221,4950.329932995941,4949.69007823116,9.53532394218837,11.076297284778775,,,5.0,8.0,,,,,,4950.329932995941,4952.464676057812,2.134743061870722,0.49509237027152214,0.5941108443258265,False,4949.69007823116,4952.464676057812,2.7745978266511884,0.5941108443258265,False,1.540973342590405,0.5937697192803171,0.6398547647804662,,,4962.0,4957.0,5.0,0.0,3.0,,,,,,,6.0,7.0,13.0,,5.0,False,False,False,False,False,False,False,False,2021-03-29 22:05
7,1.617027e+18,14546.0,4962.0,4975.0,4960.0,4969.0,46782.0,958273.0,954347.0,SHFE.rb2105,300,4958.541838552581,4954.0394688142105,4951.805473314478,4950.942066340336,4950.009250491802,14.960531185789478,17.19452668552185,,,7.0,15.0,,,,,,4950.942066340336,4954.0394688142105,3.0974024738743537,0.49518054733144784,0.5942166567977374,False,4950.009250491802,4954.0394688142105,4.030218322408473,0.5942166567977374,False,2.233995499732373,0.8634069741419808,0.9328158485341191,21448.875,,4969.0,4962.0,7.0,6.0,2.0,,,,,,,12.0,14.0,19.0,,7.0,False,False,False,False,False,False,False,False,2021-03-29 22:10
8,1.6170273e+18,14547.0,4969.0,4971.0,4962.0,4962.0,32417.0,954347.0,950450.0,SHFE.rb2105,300,4959.31031887423,4954.7976146414285,4952.3027672991375,4951.304621542292,4950.20744469855,7.202385358571519,9.697232700862514,,,-7.0,9.0,,,,,,4951.304621542292,4954.7976146414285,3.4929930991365836,0.49523027672991377,0.5942763320758966,False,4950.20744469855,4954.7976146414285,4.590169942878674,0.5942763320758966,False,2.4948473422909956,0.998145756845588,1.0971768437420906,23134.5,,4969.0,4962.0,7.0,2.0,0.0,,,,,,,7.0,13.0,14.0,20.0,7.0,False,False,False,False,False,False,False,False,2021-03-29 22:15
9,1.6170276e+18,14548.0,4962.0,4967.0,4960.0,4966.0,22773.0,950450.0,946059.0,SHFE.rb2105,300,4960.796914679956,4955.864508485101,4952.970924991862,4951.78643722943,4950.468478670475,10.135491514898604,13.029075008137625,,,4.0,7.0,,,,,,4951.78643722943,4955.864508485101,4.078071255671603,0.49529709249918624,0.5943565109990235,False,4950.468478670475,4955.864508485101,5.396029814626672,0.5943565109990235,False,2.8935834932390208,1.1844877624325818,1.3179585589550697,23854.125,,4966.0,4962.0,4.0,1.0,2.0,,,,,,,7.0,12.0,14.0,19.0,4.0,False,False,False,False,False,False,False,False,2021-03-29 22:20
