,ma12_ratio,ma23_ratio,ma13_ratio,ma_category
0,1.0,1.0,1.0,4.0
1,0.9999254250307157,0.9999593243985985,0.9998847524626959,1.0
2,0.9999955160234539,0.999990980569778,0.9999864966336748,1.0
3,0.9999244129343436,0.9999522018618527,0.9998766184091173,1.0
4,0.9998328267821246,0.9998959876754777,0.9997288318456774,1.0
5,0.9995653617947933,0.9997361883086368,0.9993016647660702,1.0
6,0.9993183353100499,0.9995648512630353,0.998883483198614,1.0
7,0.9990468668455714,0.9993606982437664,0.9984081744290373,1.0
8,0.9984511834818143,0.9989595154378236,0.9974123104393147,1.0
9,0.9980969233401784,0.9986421829142912,0.9967416902844737,1.0
10,0.9980979756020152,0.9984946853309544,0.9965955240781967,1.0
11,0.9980432216563911,0.9983258512354323,0.99637234882987,1.0
12,0.998341783701578,0.9983529474520192,0.9966974623229766,1.0
13,0.998994958724942,0.9986077094388194,0.9976040674732423,1.0
14,0.9993044921091988,0.9987389581758963,0.9980443273496346,1.0
15,0.9998345342923155,0.999020036586919,0.9988547330295742,1.0
16,1.0002172937616818,0.9992681140911254,0.9994852488185649,2.0
17,1.0005488091496824,0.9995196967001405,1.0000682422549771,3.0
18,1.0004480115200847,0.9995603406543379,1.0000081552019708,3.0
19,1.0004269058625455,0.999629787632098,1.0000565354488131,3.0
20,1.000341478817364,0.9996573685992887,0.9999987304152871,2.0
21,1.0003337071112528,0.9997152929436274,1.0000489050461108,3.0
22,1.0003495318501923,0.9997816418880693,1.0001310974151467,3.0
23,1.0004558223159765,0.9998952591725844,1.0003510337453545,3.0
24,1.0005317388422343,0.9999983151950926,1.0005300531414507,3.0
25,1.000480308397989,1.0000348358014615,1.0005151609313783,4.0
26,1.0004921828961801,1.0000974519285242,1.000589682788877,4.0
27,1.0005471646111386,1.0001812399239856,1.0007285037031968,4.0
28,1.0003466370286094,1.0001271798090694,1.0004738609229098,4.0
29,1.0000505578483585,0.9999999688203458,1.000050526667128,3.0
30,0.9997562588065255,0.9998455891904238,0.9996018856332243,1.0
31,0.9996203543247756,0.9997513038726796,0.9993717526138645,1.0
32,0.9995967968530884,0.9997075278127698,0.9993044425915646,1.0
33,0.9996809089167293,0.9997222557421243,0.9994032532845697,1.0
34,0.9997170629153819,0.999720132334395,0.9994372744347183,1.0
35,0.9998689093493555,0.9997856106120214,0.9996545480658212,1.0
36,0.9999615776875554,0.9998332555428907,0.9997948396371539,1.0
37,0.999996272885372,0.9998576269511994,0.999853900367212,1.0
38,1.0000201794563182,0.9998788428655166,0.9998990198769497,2.0
39,1.0000211095394622,0.9998891382810466,0.9999102454802691,2.0
40,1.000095930118743,0.9999392293947122,1.000035153683724,3.0
41,1.0000849811170593,0.9999485684888155,1.0000335452351676,3.0
42,1.0001350237520918,0.9999892864468484,1.0001243087523561,3.0
43,1.0001508875764384,1.0000149588552507,1.0001658486887945,4.0
44,1.0001578273367069,1.0000361303550778,1.0001939633941423,4.0
45,1.00021822262851,1.0000860238291487,1.0003042652300047,4.0
46,1.0002240775299898,1.0001104610435032,1.0003345633253307,4.0
47,1.0001774202197944,1.0001054775383749,1.0002829164720173,4.0
48,1.0001108823068847,1.0000842944154287,1.0001951860690728,4.0
49,1.000107140800878,1.0000905858961746,1.000197736402498,4.0
50,1.0001316505531492,1.000111454119561,1.0002431193457066,4.0
51,1.0001450261674873,1.0001279551169777,1.0002729998413054,4.0
52,1.0001952214484076,1.0001651648917156,1.0003604185838524,4.0
53,1.00016481606832,1.0001622329889062,1.0003270757958298,4.0
54,1.0001396408713452,1.0001586458479619,1.0002983088727517,4.0
55,1.0001485850446332,1.0001708372578024,1.000319447686297,4.0
56,1.0001807055848704,1.0001960179513014,1.0003767589577104,4.0
57,1.0001980194316984,1.0002154890899113,1.0004135511926369,4.0
58,1.0001897889984226,1.0002219430441015,1.000411774164872,4.0
59,1.0002687593963402,1.0002745831139968,1.000543416307129,4.0
