time,open,high,low,close,volume
 2024/09/19-14:35,114.76,114.77,114.55,114.61,2778
 2024/09/19-14:40,114.62,114.8,114.56,114.8,3215
 2024/09/19-14:45,114.8,114.85,114.75,114.77,1921
 2024/09/19-14:50,114.77,114.77,114.71,114.75,1126
 2024/09/19-14:55,114.76,114.8,114.71,114.73,1107
 2024/09/19-15:00,114.73,114.74,114.61,114.71,2503
 2024/09/19-15:05,114.71,114.72,114.65,114.68,1246
 2024/09/19-15:10,114.67,114.7,114.64,114.68,1392
 2024/09/19-15:15,114.68,114.71,114.66,114.7,1404
 2024/09/20-09:35,114.88,115.05,114.84,114.99,4923
 2024/09/20-09:40,115,115.08,114.97,115.06,2909
 2024/09/20-09:45,115.07,115.11,115.04,115.06,2558
 2024/09/20-09:50,115.05,115.09,115.05,115.06,768
 2024/09/20-09:55,115.07,115.18,115.07,115.18,1970
 2024/09/20-10:00,115.18,115.23,115.14,115.2,1668
 2024/09/20-10:05,115.2,115.28,115.19,115.24,1758
 2024/09/20-10:10,115.23,115.24,115.14,115.15,1283
 2024/09/20-10:15,115.14,115.25,115.14,115.18,1527
 2024/09/20-10:20,115.19,115.22,115.17,115.22,778
 2024/09/20-10:25,115.23,115.27,115.22,115.26,1390
 2024/09/20-10:30,115.26,115.29,115.22,115.28,820
 2024/09/20-10:35,115.28,115.28,115.21,115.22,678
 2024/09/20-10:40,115.22,115.27,115.22,115.25,768
 2024/09/20-10:45,115.25,115.29,115.25,115.28,490
 2024/09/20-10:50,115.28,115.3,115.27,115.3,610
 2024/09/20-10:55,115.3,115.33,115.26,115.27,1252
 2024/09/20-11:00,115.28,115.29,115.26,115.28,549
 2024/09/20-11:05,115.27,115.28,115.19,115.2,936
 2024/09/20-11:10,115.21,115.24,115.18,115.21,1323
 2024/09/20-11:15,115.22,115.24,115.2,115.23,328
 2024/09/20-11:20,115.22,115.22,115.12,115.17,1858
 2024/09/20-11:25,115.17,115.2,115.17,115.2,526
 2024/09/20-11:30,115.19,115.22,115.19,115.22,351
 2024/09/20-13:05,115.17,115.19,115.13,115.19,1461
 2024/09/20-13:10,115.19,115.24,115.17,115.23,474
 2024/09/20-13:15,115.24,115.26,115.22,115.25,512
 2024/09/20-13:20,115.24,115.28,115.15,115.18,1095
 2024/09/20-13:25,115.19,115.21,115.18,115.19,187
 2024/09/20-13:30,115.18,115.21,115.17,115.18,471
 2024/09/20-13:35,115.18,115.22,115.18,115.22,763
 2024/09/20-13:40,115.22,115.23,115.2,115.21,677
 2024/09/20-13:45,115.21,115.24,115.18,115.19,587
 2024/09/20-13:50,115.2,115.26,115.2,115.23,710
 2024/09/20-13:55,115.23,115.26,115.21,115.25,457
 2024/09/20-14:00,115.25,115.27,115.23,115.26,531
 2024/09/20-14:05,115.26,115.26,115.22,115.22,397
 2024/09/20-14:10,115.22,115.23,115.21,115.23,337
 2024/09/20-14:15,115.23,115.24,115.18,115.2,858
 2024/09/20-14:20,115.2,115.23,115.18,115.2,475
 2024/09/20-14:25,115.19,115.2,115.15,115.18,1058
