,volume,vol_prev,mv1,mv2,mv3,vol1_strength,vol2_strength,vol3_strength,mv13_ratio,mv23_ratio,mv12_ratio
0,882,,,,,,,,,,
1,1396,882.0,,,,,,,,,
2,1248,1396.0,,,,,,,,,
3,988,1248.0,,,,,,,,,
4,1505,988.0,,,,,,,,,
5,4804,1505.0,,,,,,,,,
6,1487,4804.0,,,,,,,,,
7,1030,1487.0,,,,,,,,,
8,1204,1030.0,,,,,,,,,
9,986,1204.0,,,,,,,,,
10,802,986.0,,,,,,,,,
11,1432,802.0,1480.3333333333333,,,,,,,,
12,748,1432.0,1469.1666666666667,,,0.5052916009907679,,,,,
13,383,748.0,1384.75,,,0.26069200226885986,,,,,
14,725,383.0,1341.1666666666667,,,0.5235602094240838,,,,,
15,873,725.0,1331.5833333333333,,,0.6509258108611905,,,,,
16,462,873.0,1244.6666666666667,,,0.346955378934852,,,,,
17,856,462.0,915.6666666666666,,,0.6877343331547937,,,,,
18,580,856.0,840.0833333333334,,,0.6334182744812523,,,,,
19,313,580.0,780.3333333333334,,,0.3725820851106041,,,,,
20,112,313.0,689.3333333333334,,,0.14352840666381889,,,,,
21,1367,112.0,721.0833333333334,,,1.9830754352030946,,,,,
22,402,1367.0,687.75,,,0.5574945105743673,,,,,
23,1081,402.0,658.5,,,1.5717920756088695,,,,,
24,348,1081.0,625.1666666666666,,,0.5284738041002278,,,,,
25,317,348.0,619.6666666666666,,,0.5070647827246068,,,,,
26,729,317.0,620.0,,,1.176438945669715,,,,,
27,566,729.0,594.4166666666666,,,0.9129032258064517,,,,,
28,1730,566.0,700.0833333333334,,,2.910416374596944,,,,,
29,2543,1730.0,840.6666666666666,,,3.6324247113438872,,,,,
30,1616,2543.0,927.0,,,1.922283901665345,,,,,
31,906,1616.0,976.4166666666666,,,0.9773462783171522,,,,,
32,607,906.0,1017.6666666666666,,,0.6216608346846463,,,,,
33,381,607.0,935.5,,,0.3743858499836227,,,,,
34,644,381.0,955.6666666666666,,,0.6884019241047569,,,,,
35,579,644.0,913.8333333333334,,,0.6058597837460761,,,,,
36,704,579.0,943.5,,,0.7703811781871238,,,,,
37,317,704.0,943.5,,,0.3359830418653948,,,,,
38,540,317.0,927.75,,,0.5723370429252782,,,,,
39,1803,540.0,1030.8333333333333,,,1.9434114793856103,,,,,
40,1041,1803.0,973.4166666666666,,,1.0098625707356508,,,,,
41,1024,1041.0,846.8333333333334,,,1.0519647290471708,,,,,
42,542,1024.0,757.3333333333334,,,0.6400314898641999,,,,,
43,819,542.0,750.0833333333334,,,1.081426056338028,,,,,
44,518,819.0,742.6666666666666,,,0.6905899344517276,,,,,
45,1218,518.0,812.4166666666666,981.695652173913,,1.640035906642729,,,,,0.8275646987613859
46,716,1218.0,818.4166666666666,978.0869565217391,,0.8813211611447328,0.7293502812347757,,,,0.8367524596965387
47,620,716.0,821.8333333333334,961.2173913043479,,0.757560329905305,0.6338904694167852,,,,0.8549921597008624
48,976,620.0,844.5,955.304347826087,,1.187588724396674,1.0153790483083047,,,,0.884011469142545
49,975,976.0,899.3333333333334,955.0217391304348,,1.1545293072824157,1.0206171490988531,,,,0.9416888605616384
50,1108,975.0,946.6666666666666,946.3913043478261,,1.2320237212750185,1.1601830142723817,,,,1.0002909603222
51,827,1108.0,865.3333333333334,859.9347826086956,,0.8735915492957746,0.8738457297744292,,,,1.0062778606399205
52,606,827.0,829.0833333333334,840.7826086956521,,0.7003081664098613,0.7047046034835807,,,,0.9860852552832076
53,556,606.0,790.0833333333334,830.4782608695652,,0.6706201628304352,0.6612886544627159,,,,0.9513594401689266
54,2779,556.0,976.5,864.7173913043479,,3.5173504904545934,3.346264593476781,,,,1.1292706840636548
55,3377,2779.0,1189.6666666666667,916.695652173913,,3.458269329237071,3.905322171103904,,,,1.2977771453867073
56,2638,3377.0,1366.3333333333333,956.6086956521739,,2.217427850938638,2.8777271864921268,,,,1.4283095476168832
57,2165,2638.0,1445.25,972.5434782608696,,1.5845328128811906,2.263203345150441,,,,1.4860518139347743
58,597,2165.0,1435.3333333333333,969.2608695652174,,0.4130773222625843,0.6138543040436327,,,,1.48085348166091
59,1910,597.0,1542.8333333333333,1002.4565217391304,,1.3307013469577336,1.970573722693222,,,,1.5390526171217083
60,777,1910.0,1526.25,1003.5869565217391,,0.5036188830074538,0.7750959599245333,,,,1.5207949745478175
61,995,777.0,1527.9166666666667,1006.2391304347826,,0.6519246519246519,0.9914437344308459,,,,1.5184429033349898
62,687,995.0,1492.8333333333333,1011.1304347826087,,0.44963185164985,0.6827402942510856,,,,1.4764003554638228
63,2593,687.0,1640.0,1048.891304347826,,1.7369655018421348,2.564456484348125,,,,1.563555721362101
64,1174,2593.0,1687.3333333333333,1061.804347826087,,0.7158536585365853,1.1192770834628698,,,,1.5891188774918275
65,1222,1174.0,1742.8333333333333,1081.5652173913043,,0.7242196760173845,1.150871158610241,,,,1.6113992067320577
66,459,1222.0,1549.5,1089.108695652174,,0.263364253610022,0.4243849493487699,,,,1.4227230084432823
67,1048,459.0,1355.4166666666667,1082.1739130434783,,0.6763472087770248,0.9622547356234654,,,,1.2524943082898086
68,576,1048.0,1183.5833333333333,1085.9565217391305,,0.42496157393175527,0.5322619525914022,,,,1.08989937409083
69,531,576.0,1047.4166666666667,1074.0,,0.4486376117721608,0.4889698522640829,,,,0.9752482929857232
70,793,531.0,1063.75,1083.6739130434783,,0.7571008035643249,0.7383612662942272,,,,0.9816144757166644
