time,pro_loss,orders
2022/06/10-22:55,-40.0,-1
2022/06/10-09:40,-16.0,1
2022/06/10-10:00,-16.0,-1
2022/06/10-10:05,80.0,1
2022/06/10-11:25,80.0,-1
2022/06/10-13:35,-40.0,1
2022/06/10-13:40,-40.0,-1
2022/06/10-14:00,112.0,1
2022/06/10-14:55,112.0,-1
2022/06/13-09:35,-40.0,1
2022/06/13-09:45,-40.0,-1
2022/06/13-09:50,-36.0,1
2022/06/13-10:00,-36.0,-1
2022/06/13-13:50,180.0,1
2022/06/14-22:10,180.0,-1
2022/06/14-09:35,-40.0,1
2022/06/14-09:40,-40.0,-1
2022/06/14-10:10,-48.0,1
2022/06/14-10:35,-48.0,-1
2022/06/14-14:05,48.0,1
2022/06/14-14:55,48.0,-1
2022/06/15-22:05,-24.0,1
2022/06/15-22:30,-24.0,-1
2022/06/15-22:35,4.0,1
2022/06/15-09:25,4.0,-1
2022/06/15-09:35,-12.0,1
2022/06/15-10:05,-12.0,-1
2022/06/15-10:10,52.0,1
2022/06/15-11:05,52.0,-1
2022/06/15-13:45,-48.0,1
2022/06/15-14:10,-48.0,-1
2022/06/16-21:10,-4.0,1
2022/06/16-22:15,-4.0,-1
2022/06/16-22:20,12.0,1
2022/06/16-09:25,12.0,-1
2022/06/16-14:25,-40.0,1
2022/06/16-14:35,-40.0,-1
2022/06/16-14:50,-36.0,1
2022/06/16-14:55,-36.0,-1
2022/06/16-15:00,-188.0,1
2022/06/17-21:05,-188.0,-1
2022/06/17-22:15,64.0,1
2022/06/17-22:45,64.0,-1
2022/06/17-23:00,20.0,1
2022/06/17-09:25,20.0,-1
2022/06/17-10:55,-48.0,1
2022/06/17-11:05,-48.0,-1
2022/06/17-13:50,-84.0,1
2022/06/17-14:00,-84.0,-1
2022/06/20-21:30,-20.0,1
2022/06/20-22:00,-20.0,-1
2022/06/20-10:40,-16.0,1
2022/06/20-11:00,-16.0,-1
2022/06/20-11:20,124.0,1
2022/06/20-14:05,124.0,-1
2022/06/20-14:40,-20.0,1
2022/06/20-14:55,-20.0,-1
2022/06/20-15:00,-108.0,1
2022/06/21-21:05,-108.0,-1
2022/06/21-21:10,0.0,1
2022/06/21-21:30,0.0,-1
2022/06/21-22:40,412.0,1
2022/06/21-09:35,412.0,-1
2022/06/21-10:55,-36.0,1
2022/06/21-11:00,-36.0,-1
2022/06/21-11:25,-52.0,1
2022/06/21-13:35,-52.0,-1
2022/06/21-14:00,40.0,1
2022/06/21-14:40,40.0,-1
2022/06/21-15:00,88.0,1
2022/06/22-21:05,88.0,-1
2022/06/22-21:25,-8.0,1
2022/06/22-21:55,-8.0,-1
2022/06/22-22:05,16.0,1
2022/06/22-22:55,16.0,-1
2022/06/22-11:25,64.0,1
2022/06/22-13:45,64.0,-1
2022/06/22-15:00,132.0,1
2022/06/23-21:45,132.0,-1
2022/06/23-22:40,16.0,1
2022/06/23-09:05,16.0,-1
2022/06/23-09:55,-60.0,1
2022/06/23-10:15,-60.0,-1
2022/06/23-10:50,-36.0,1
2022/06/23-10:55,-36.0,-1
2022/06/23-11:15,232.0,1
2022/06/23-13:50,232.0,-1
2022/06/23-15:00,84.0,1
2022/06/24-21:45,84.0,-1
