time,open,high,low,close,volume
2025/07/17-11:05,5940.6,5943,5934.2,5938.8,405
2025/07/17-11:10,5939,5941.8,5936.2,5938.6,294
2025/07/17-11:15,5938.6,5938.6,5928.4,5938,664
2025/07/17-11:20,5938.6,5954.6,5938.6,5941.6,1812
2025/07/17-11:25,5941.8,5951,5940,5948,655
2025/07/17-11:30,5947.8,5953,5942.2,5952,679
2025/07/17-13:05,5953,5956.6,5948.4,5954.6,814
2025/07/17-13:10,5954,5957.4,5944,5945.6,605
2025/07/17-13:15,5945.8,5952.6,5942.2,5951.4,537
2025/07/17-13:20,5952,5952.2,5943.2,5949.4,429
2025/07/17-13:25,5950,5958.8,5949.2,5953.8,598
2025/07/17-13:30,5952.8,5956.2,5950.4,5954,475
2025/07/17-13:35,5954.8,5956,5951.4,5954.8,414
2025/07/17-13:40,5954.8,5968.4,5954,5962.8,1071
2025/07/17-13:45,5962.8,5975.4,5960,5971.4,1393
2025/07/17-13:50,5971.2,5971.4,5961.4,5963,844
2025/07/17-13:55,5963.2,5966.2,5958.4,5966.2,517
2025/07/17-14:00,5966.4,5970,5964,5967.2,517
2025/07/17-14:05,5967.4,5978,5967.4,5972.6,1016
2025/07/17-14:10,5973,5981,5970.4,5973,793
2025/07/17-14:15,5972.4,5974,5961.2,5963.2,669
2025/07/17-14:20,5963.6,5975.8,5963,5975.4,494
2025/07/17-14:25,5975.6,5976.8,5969.6,5970,428
2025/07/17-14:30,5970,5972,5965.4,5966,469
2025/07/17-14:35,5965.4,5977,5964,5977,617
2025/07/17-14:40,5977,5979.8,5974.8,5978.8,743
2025/07/17-14:45,5978.2,5978.8,5968.8,5970.4,760
2025/07/17-14:50,5970.2,5972.6,5968.4,5971.6,585
2025/07/17-14:55,5971,5972.6,5966.6,5972.6,833
2025/07/17-15:00,5971.8,5978.2,5970.2,5978,1382
2025/07/18-09:35,5988.8,6015,5988.8,6007.6,3866
2025/07/18-09:40,6007.6,6017.8,6000.2,6017.6,2325
2025/07/18-09:45,6018.6,6022,6007.4,6008.4,1787
2025/07/18-09:50,6008.4,6020.8,5995.6,6000,2042
2025/07/18-09:55,6000.4,6013,5998.6,5998.6,1272
2025/07/18-10:00,5998.2,6002.4,5992.6,5996.6,1125
2025/07/18-10:05,5997.2,6005.6,5987.8,5990,1296
2025/07/18-10:10,5989.8,5996.8,5984.2,5986,1038
2025/07/18-10:15,5985.8,6003.8,5985,6002.6,960
2025/07/18-10:20,6002.4,6004,5995.2,5997.6,752
2025/07/18-10:25,5997.2,6003.8,5995.2,6000.6,751
2025/07/18-10:30,6001.6,6007.8,6000.2,6000.8,652
2025/07/18-10:35,6002.4,6003.2,5997,5999.6,610
2025/07/18-10:40,6000.2,6003.4,5996,5998,585
2025/07/18-10:45,5998.6,6006,5997.4,6003,587
2025/07/18-10:50,6003.6,6007.4,5999.6,6004.6,467
2025/07/18-10:55,6005,6008,6001.2,6004,343
2025/07/18-11:00,6003.8,6013.8,6003,6004,705
2025/07/18-11:05,6004.4,6010,6001.2,6010,449
2025/07/18-11:10,6009.8,6012,6000,6001,558
2025/07/18-11:15,6001,6001,5991.2,5995.6,786
2025/07/18-11:20,5995.6,6003.8,5994.4,6001,446
2025/07/18-11:25,6000.4,6004,5997,6002.8,293
2025/07/18-11:30,6002.6,6003,5995.4,5997.6,423
2025/07/18-13:05,5998,5998,5978,5980,1525
2025/07/18-13:10,5979.2,5984.6,5974.8,5984.2,1037
2025/07/18-13:15,5984,5989,5982.4,5983.2,575
2025/07/18-13:20,5983,5987.4,5981.6,5984.8,429
2025/07/18-13:25,5985,5989.6,5984.4,5987.8,449
2025/07/18-13:30,5988.4,5989.2,5982.2,5984.6,492
2025/07/18-13:35,5984.6,5988,5983.2,5983.4,280
2025/07/18-13:40,5983.4,5986.8,5978,5983.2,813
2025/07/18-13:45,5983.2,5984.6,5976,5976.6,598
2025/07/18-13:50,5976.8,5977.6,5972.4,5974.6,647
2025/07/18-13:55,5974.6,5974.8,5968,5970.6,745
2025/07/18-14:00,5971.4,5975.6,5970,5973,551
2025/07/18-14:05,5972.8,5983,5972.2,5983,657
2025/07/18-14:10,5983,5992,5981.2,5986.4,741
2025/07/18-14:15,5986.2,5989.2,5984.2,5988.2,478
2025/07/18-14:20,5988.8,5991.8,5985,5986.2,440
2025/07/18-14:25,5985.6,5988,5984,5987,263
2025/07/18-14:30,5986,5988,5983.2,5984.4,304
2025/07/18-14:35,5984.4,5988,5981.4,5985.6,401
2025/07/18-14:40,5985.2,5991,5983.6,5990,614
2025/07/18-14:45,5990.8,5997.4,5989.2,5997.4,961
2025/07/18-14:50,5997.6,6002.2,5996.4,5997.6,1167
2025/07/18-14:55,5997.8,6005.8,5997,6003,1275
2025/07/18-15:00,6003,6003.4,5997.2,6000.8,1623
2025/07/21-09:35,6036,6051.2,6022.8,6048.8,4659
2025/07/21-09:40,6049.4,6059.2,6043,6048.4,3030
2025/07/21-09:45,6048.6,6066,6046,6066,1916
2025/07/21-09:50,6066,6067.8,6041.2,6048.8,1870
2025/07/21-09:55,6049.8,6059,6040.2,6059,1401
2025/07/21-10:00,6058.6,6068,6057,6060.4,1463
2025/07/21-10:05,6060.8,6061.8,6053.2,6053.4,940
2025/07/21-10:10,6053.4,6065.8,6050.8,6065,620
2025/07/21-10:15,6065.6,6074.6,6062.2,6072.2,1311
2025/07/21-10:20,6071.6,6077.4,6068.4,6068.8,1255
2025/07/21-10:25,6068.4,6070.6,6065.8,6066.6,636
2025/07/21-10:30,6066.2,6066.2,6058.2,6063.2,711
2025/07/21-10:35,6063.6,6074.2,6062.6,6072,851
2025/07/21-10:40,6072.8,6073.2,6063.6,6067.8,553
2025/07/21-10:45,6067,6070.6,6061.8,6062.4,346
2025/07/21-10:50,6061.6,6064.6,6056.8,6058.2,601
2025/07/21-10:55,6057.6,6065,6056.6,6062.4,482
2025/07/21-11:00,6063.2,6063.2,6056,6060,349
2025/07/21-11:05,6060.2,6061.4,6056,6060.4,487
2025/07/21-11:10,6060.2,6061,6051,6051,423
2025/07/21-11:15,6051,6057.4,6047.2,6047.6,492
2025/07/21-11:20,6047,6049.4,6034.2,6040.2,1574
2025/07/21-11:25,6039.8,6054,6039.4,6052.2,859
2025/07/21-11:30,6051.4,6056,6049.4,6050.8,445
2025/07/21-13:05,6050.2,6050.8,6035.4,6040.2,1020
2025/07/21-13:10,6041,6044.6,6037.6,6041.6,669
2025/07/21-13:15,6041.8,6043,6036.6,6040,567
2025/07/21-13:20,6040.2,6051,6039.2,6046,759
2025/07/21-13:25,6045,6049.6,6041.6,6049,436
2025/07/21-13:30,6048.2,6053,6048,6050,394
2025/07/21-13:35,6050,6054.8,6048,6050.8,493
2025/07/21-13:40,6051,6060.4,6050.2,6060,672
2025/07/21-13:45,6059.4,6066.6,6058,6064.8,764
2025/07/21-13:50,6064.6,6065.2,6058,6058.4,640
2025/07/21-13:55,6059.2,6059.4,6053,6056,529
2025/07/21-14:00,6055.4,6055.4,6049.6,6051,461
2025/07/21-14:05,6051.8,6062,6050.8,6058.6,423
2025/07/21-14:10,6058.6,6063,6057.8,6060.2,371
2025/07/21-14:15,6060.8,6062,6059.4,6060.6,306
2025/07/21-14:20,6060,6065,6058.2,6059.6,611
2025/07/21-14:25,6059.8,6064.6,6059.8,6062.6,449
2025/07/21-14:30,6062.8,6068,6061.4,6063.4,635
2025/07/21-14:35,6063.8,6066.6,6062,6063.6,473
2025/07/21-14:40,6063.6,6063.6,6056,6062.4,709
2025/07/21-14:45,6061.6,6063.6,6060.2,6060.6,536
2025/07/21-14:50,6060.6,6062.2,6057,6061,810
2025/07/21-14:55,6061.2,6061.2,6056.2,6056.8,1090
2025/07/21-15:00,6056.6,6058,6055.4,6055.6,1373
2025/07/22-09:35,6064,6073.4,6056,6067.2,2962
2025/07/22-09:40,6067.2,6080.8,6066.6,6074.6,1751
2025/07/22-09:45,6074.4,6078,6069.2,6077,1202
2025/07/22-09:50,6078,6079.4,6067.2,6067.2,979
2025/07/22-09:55,6067,6075,6066.4,6074.2,733
2025/07/22-10:00,6074,6075.2,6063,6073.4,865
2025/07/22-10:05,6073.6,6076.8,6066,6069.6,781
2025/07/22-10:10,6069.6,6075,6069.6,6071.8,450
2025/07/22-10:15,6071.4,6075,6069,6074.4,541
2025/07/22-10:20,6073.6,6074.8,6062.8,6063.4,706
2025/07/22-10:25,6062.8,6064.6,6051.2,6051.2,1625
2025/07/22-10:30,6051,6059.8,6050,6057.4,1071
2025/07/22-10:35,6057,6066,6056,6066,925
2025/07/22-10:40,6066,6073.8,6064.6,6072.4,1002
2025/07/22-10:45,6072.4,6078.6,6071.4,6075.2,935
2025/07/22-10:50,6075.8,6089.8,6075,6089.6,1014
2025/07/22-10:55,6089.4,6095,6087.6,6094.6,1349
2025/07/22-11:00,6094,6095,6087.2,6091,799
