time,open,high,low,close,volume,LH_MA_ALL.M1S   ,LH_MA_ALL.M2S   ,LH_MA_ALL.M3S   ,LH_MA_ALL.M2M   ,LH_MA_ALL.M3M   ,LH_MA_ALL.PV1   ,LH_MA_ALL.PV2   ,LH_MA_ALL.PV3   ,LH_MA_ALL.PEAK_PREV1,LH_MA_ALL.PEAK_PREV2,LH_MA_ALL.T_PREV1,LH_MA_ALL.T_PREV2,LH_VOL_TDX2.AMO1  ,LH_VOL_TDX2.VOLUME,LH_VOL_TDX2.MV1   ,LH_VOL_TDX2.MV2   ,LH_VOL_TDX2.MV3   ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.TL    ,LH_VOL_TDX2.      ,LH_VOL_TDX2.R23   ,LH_VOL_TDX2.R13   ,LH_VOL_TDX2.R12   ,LH_VOL_TDX2.V1S   ,LH_VOL_TDX2.V2S   ,LH_VOL_TDX2.V3S   ,LH_VOL_TDX2.VVRATIO,LH_VOL_TDX2.AMO1  ,LH_VOL_TDX2.VOLUME,LH_VOL_TDX2.MV1   ,LH_VOL_TDX2.MV2   ,LH_VOL_TDX2.MV3   ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.TL    ,LH_VOL_TDX2.      ,LH_VOL_TDX2.R23   ,LH_VOL_TDX2.R13   ,LH_VOL_TDX2.R12   ,LH_VOL_TDX2.V1S   ,LH_VOL_TDX2.V2S   ,LH_VOL_TDX2.V3S   ,LH_VOL_TDX2.VVRATIO
2025/07/21-10:25,6068.4,6070.6,6065.8,6066.6,636,6063.22,6058.68,6054.1,6050.7,6048.61,6068.37,6068.37,6057.09,           ,           ,           ,           ,0,6.36,16.68,32.37,12.16,0,0,0,0,16.68,1,0,0,0,0,0,2.66,1.37,0.52,0.38,0.2,0.52,0.35,0,6.36,16.68,32.37,12.16,0,0,0,0,16.68,1,0,0,0,0,0,2.66,1.37,0.52,0.38,0.2,0.52,0.35
2025/07/21-10:30,6066.2,6066.2,6058.2,6063.2,711,6063.21,6059.38,6054.83,6051.21,6048.92,6070.58,6070.58,6058.18,           ,           ,           ,           ,0,7.11,14.94,31.13,11.32,0,0,0,0,14.94,1,0,0,0,0,0,2.75,1.32,0.48,0.48,0.23,0.63,1.12,0,7.11,14.94,31.13,11.32,0,0,0,0,14.94,1,0,0,0,0,0,2.75,1.32,0.48,0.48,0.23,0.63,1.12
2025/07/21-10:35,6063.6,6074.2,6062.6,6072.8,841,6065.95,6061.44,6056.26,6052.09,6049.41,6072.8,6072.8,6059.27,6072.8,6072.8,           ,           ,0,8.41,13.75,30.03,10.87,0,0,0,0,           ,1,0,0,0,0,0,2.76,1.27,0.46,0.61,0.28,0.77,1.18,0,8.41,13.75,30.03,10.87,0,0,0,0,           ,1,0,0,0,0,0,2.76,1.27,0.46,0.61,0.28,0.77,1.18
2025/07/21-10:40,6072,6073.2,6063.6,6067.8,563,6066.48,6062.42,6057.19,6052.73,6049.79,6070.46,6070.46,6060.36,6072.8,6072.8,           ,           ,0,5.63,12.27,28.84,10.12,0,0,0,0,           ,1,0,0,0,0,0,2.85,1.21,0.43,0.46,0.2,0.56,0.67,0,5.63,12.27,28.84,10.12,0,0,0,0,           ,1,0,0,0,0,0,2.85,1.21,0.43,0.46,0.2,0.56,0.67
2025/07/21-10:45,6067,6070.6,6061.8,6062.4,346,6065.31,6062.42,6057.6,6053.13,6050.05,6068.11,6068.11,6061.45,6072.8,6072.8,           ,           ,0,3.46,10.67,27.6,9.23,0,0,0,0,           ,1,0,0,0,0,0,2.99,1.16,0.39,0.32,0.13,0.37,0.61,0,3.46,10.67,27.6,9.23,0,0,0,0,           ,1,0,0,0,0,0,2.99,1.16,0.39,0.32,0.13,0.37,0.61
2025/07/21-10:50,6061.6,6064.6,6056.8,6058.2,601,6063.28,6061.77,6057.65,6053.34,6050.22,6065.77,6065.77,6062.54,6072.8,6072.8,           ,           ,0,6.01,9.82,26.55,8.83,0,0,0,0,           ,1,0,0,1,0,0,3.01,1.11,0.37,0.61,0.23,0.68,1.74,0,6.01,9.82,26.55,8.83,0,0,0,0,           ,1,0,0,1,0,0,3.01,1.11,0.37,0.61,0.23,0.68,1.74
2025/07/21-10:55,6057.6,6065,6056.6,6062.4,482,6063.03,6061.86,6058.03,6053.71,6050.47,6063.43,6063.43,6063.63,6072.8,6072.8,           ,           ,0,4.82,8.91,25.49,8.36,0,0,0,0,           ,1,0,0,0,0,0,3.05,1.07,0.35,0.54,0.19,0.58,0.8,0,4.82,8.91,25.49,8.36,0,0,0,0,           ,1,0,0,0,0,0,3.05,1.07,0.35,0.54,0.19,0.58,0.8
2025/07/21-11:00,6063.2,6063.2,6056,6060,349,6062.16,6061.58,6058.19,6053.96,6050.66,6061.09,6061.09,6064.72,6072.8,6072.8,           ,           ,0,3.49,7.93,24.41,7.82,0,0,0,0,           ,1,0,0,0,0,0,3.12,1.01,0.32,0.44,0.14,0.45,0.72,0,3.49,7.93,24.41,7.82,0,0,0,0,           ,1,0,0,0,0,0,3.12,1.01,0.32,0.44,0.14,0.45,0.72
2025/07/21-11:05,6060.2,6061.4,6056,6060.4,487,6061.66,6061.4,6058.37,6054.23,6050.86,6058.74,6058.74,6065.81,6072.8,6072.8,           ,           ,0,4.87,7.37,23.46,7.51,0,0,0,0,           ,1,0,0,0,0,0,3.13,0.98,0.31,0.66,0.21,0.65,1.4,0,4.87,7.37,23.46,7.51,0,0,0,0,           ,1,0,0,0,0,0,3.13,0.98,0.31,0.66,0.21,0.65,1.4
2025/07/21-11:10,6060.2,6061,6051,6051,423,6058.61,6059.8,6057.78,6054.09,6050.87,6056.4,6056.4,6066.9,6072.8,6072.8,           ,           ,0,4.23,6.8,22.52,7.18,0,0,0,0,           ,1,0,0,0,0,0,3.14,0.95,0.3,0.62,0.19,0.59,0.87,0,4.23,6.8,22.52,7.18,0,0,0,0,           ,1,0,0,0,0,0,3.14,0.95,0.3,0.62,0.19,0.59,0.87
2025/07/21-11:15,6051,6057.4,6047.2,6047.6,492,6055.47,6057.92,6056.96,6053.83,6050.8,6054.06,6054.06,6067.99,6072.8,6072.8,           ,           ,0,4.92,6.46,21.66,6.96,0,0,0,0,           ,1,0,0,0,0,0,3.11,0.93,0.3,0.76,0.23,0.71,1.16,0,4.92,6.46,21.66,6.96,0,0,0,0,           ,1,0,0,0,0,0,3.11,0.93,0.3,0.76,0.23,0.71,1.16
