,ma20,ma40,ma60,ma80,bias_cdl_b,bias_cdl_l,mazf,min,max,band,makl
66,4821.5,4806.925,4803.4,,7.243145580114821,4.632550735371333,1.4,4803.4,4821.5,18.100000000000364,False
67,4823.55,4808.15,4803.583333333333,,6.927253575932036,4.6407803336576015,1.75,4803.583333333333,4823.55,19.96666666666715,False
68,4825.45,4809.55,4804.116666666667,,6.931241249816509,4.543358368339207,1.6,4804.116666666667,4825.45,21.33333333333303,False
69,4827.85,4811.05,4804.966666666666,,6.789310483554665,4.639362478889349,2.1,4804.966666666666,4827.85,22.88333333333412,False
70,4830.2,4812.35,4805.766666666666,,6.816967994026301,4.751454071068528,2.05,4805.766666666666,4830.2,24.433333333333394,False
71,4832.0,4813.4,4806.65,,6.871757608616515,4.317650433182138,1.8,4806.65,4832.0,25.350000000000364,False
72,4833.55,4814.65,4807.616666666667,,6.565259444907519,4.255027985559525,1.55,4807.616666666667,4833.55,25.933333333333394,False
73,4835.95,4816.425,4808.816666666667,,7.155417527999329,4.615762467663901,2.4,4808.816666666667,4835.95,27.133333333333212,False
74,4837.65,4818.175,4809.883333333333,,6.513952636254614,4.024922359499623,1.7,4809.883333333333,4837.65,27.766666666666424,False
75,4839.5,4819.9,4810.883333333333,,6.409491317364306,4.006245124802027,1.85,4810.883333333333,4839.5,28.616666666666788,False
76,4841.3,4821.75,4811.916666666667,,6.428554720111955,4.029823033857757,1.8,4811.916666666667,4841.3,29.383333333333212,False
77,4843.3,4823.675,4813.066666666667,,6.431828748702159,3.9735970711951327,2.0,4813.066666666667,4843.3,30.233333333333576,False
78,4845.6,4825.95,4814.283333333334,,6.726812023536856,4.183614654691249,2.25,4814.283333333334,4845.6,31.316666666666606,False
79,4848.2,4828.425,4815.833333333333,4812.6,6.984757841562095,4.396170582390279,2.55,4812.6,4848.2,35.599999999999454,False
80,4850.85,4830.95,4817.333333333333,4813.775,6.946411417339704,4.541040919390503,2.6,4813.775,4850.85,37.07500000000073,False
81,4853.2,4833.3,4818.85,4814.7875,7.101519481587616,4.447056980686629,2.3,4814.7875,4853.2,38.412499999999454,False
82,4854.9,4835.475,4820.283333333334,4815.675,6.853927034151568,4.356181331105683,1.65,4815.675,4854.9,39.224999999999454,False
83,4857.6,4837.4,4821.833333333333,4816.6375,5.264328817117797,3.7682887362833553,2.65,4816.6375,4857.6,40.962500000000546,False
84,4859.9,4839.15,4823.2,4817.5,5.68354040884266,4.4777226354476225,2.25,4817.5,4859.9,42.399999999999636,False
85,4862.35,4841.075,4824.666666666667,4818.1625,5.771071231400177,4.568484719420537,2.4,4818.1625,4862.35,44.1875,False
86,4864.95,4843.225,4826.266666666666,4818.7875,5.880162905011535,4.568484719420537,2.55,4818.7875,4864.95,46.162499999999454,False
87,4867.65,4845.6,4827.983333333334,4819.6,5.833433583098471,4.568484719420537,2.65,4819.6,4867.65,48.04999999999927,False
88,4869.95,4847.7,4829.683333333333,4820.575,6.281761402328928,4.523622209550311,2.25,4820.575,4869.95,49.375,False
89,4872.6,4850.225,4831.566666666667,4821.875,6.628487165655764,4.701623459816271,2.6,4821.875,4872.6,50.725000000000364,False
90,4875.35,4852.775,4833.35,4823.1625,6.570267958967245,4.435206041615083,2.7,4823.1625,4875.35,52.1875,False
91,4878.3,4855.15,4835.033333333334,4824.5625,6.4799285246220535,4.431941477857968,2.9,4824.5625,4878.3,53.73750000000018,False
92,4881.5,4857.525,4836.933333333333,4826.0875,6.737756928017859,4.2855325776015505,3.15,4826.0875,4881.5,55.412500000000364,False
93,4884.75,4860.35,4839.2,4827.8,6.833354728250634,6.11813525082344,3.2,4827.8,4884.75,56.94999999999982,False
94,4888.0,4862.825,4841.45,4829.4125,6.833354728250634,6.0689026147540375,3.2,4829.4125,4888.0,58.587499999999636,False
95,4891.65,4865.575,4843.816666666667,4831.075,6.808663212176245,6.188911986686136,3.6,4831.075,4891.65,60.57499999999982,False
96,4895.9,4868.6,4846.466666666666,4832.9125,6.727007624415732,5.984849292390873,3.9,4832.9125,4895.9,62.98749999999927,False
97,4899.85,4871.575,4849.066666666667,4834.7625,6.854886846929754,5.984849292390873,3.6,4834.7625,4899.85,65.08750000000055,False
98,4903.25,4874.425,4851.716666666666,4836.525,6.568665649966716,6.135316231716002,3.1,4836.525,4903.25,66.72500000000036,False
99,4906.0,4877.1,4854.283333333334,4838.375,6.386457711851162,6.14281780018875,2.45,4838.375,4906.0,67.625,False
100,4908.95,4879.9,4856.95,4840.2375,6.30183766013826,6.301837660138256,2.65,4840.2375,4908.95,68.71249999999964,False
101,4911.6,4882.4,4859.4,4842.0375,6.761150633933315,6.278409117971808,2.35,4842.0375,4911.6,69.5625,False
102,4914.35,4884.625,4861.766666666666,4843.8,6.708007783317836,6.183807377676838,2.45,4843.8,4914.35,70.55000000000018,False
103,4916.35,4886.975,4863.716666666666,4845.4625,7.441703257213438,5.8543730843298905,1.7,4845.4625,4916.35,70.88750000000073,False
104,4919.0,4889.45,4865.766666666666,4847.15,7.205809060093554,5.843574969233526,2.35,4847.15,4919.0,71.85000000000036,False
105,4921.0,4891.675,4867.716666666666,4848.75,7.349185418520171,5.974507246803307,1.7,4848.75,4921.0,72.25,False
106,4922.6,4893.775,4869.683333333333,4850.35,7.204530738215693,6.138746657609822,1.3,4850.35,4922.6,72.25,False
107,4924.85,4896.25,4872.016666666666,4852.2,7.742398649133568,6.079300513779696,1.95,4852.2,4924.85,72.65000000000055,False
108,4927.85,4898.9,4874.416666666667,4854.225,7.448772417406496,6.100043140485929,2.7,4854.225,4927.85,73.625,False
109,4930.6,4901.6,4877.016666666666,4856.325,7.199963450199629,6.014018710698491,2.45,4856.325,4930.6,74.27500000000055,False
110,4933.75,4904.55,4879.766666666666,4858.45,7.278483069257887,5.981330603592619,2.85,4858.45,4933.75,75.30000000000018,False
111,4936.45,4907.375,4882.25,4860.3875,7.604707683229411,5.952443107444908,2.4,4860.3875,4936.45,76.0625,False
112,4938.95,4910.225,4884.666666666667,4862.4375,7.388468967533838,5.946029192485915,2.2,4862.4375,4938.95,76.51249999999982,False
113,4941.15,4912.95,4887.283333333334,4864.6875,6.904613255681039,4.259972819285657,1.9,4864.6875,4941.15,76.46249999999964,False
114,4943.95,4915.975,4889.866666666667,4867.075,7.330541733409828,4.259972819285657,2.5,4867.075,4943.95,76.875,False
115,4946.4,4919.025,4892.516666666666,4869.4625,7.271248354414733,3.7822299186980555,2.15,4869.4625,4946.4,76.9375,False
116,4948.5,4922.2,4895.233333333334,4871.975,7.254036988572567,3.727564465184368,2.1,4871.975,4948.5,76.52499999999964,False
117,4950.7,4925.275,4897.95,4874.475,7.208182484984833,3.66491186079125,2.2,4874.475,4950.7,76.22499999999945,False
118,4953.15,4928.2,4900.666666666667,4877.075,7.28715524597544,3.546681176596088,2.45,4877.075,4953.15,76.07499999999982,False
119,4955.65,4930.825,4903.283333333334,4879.625,7.2583889759584945,3.611021141479302,2.5,4879.625,4955.65,76.02499999999964,False
